"","reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
"1",2024-05-04,-1,"wk inc covid hosp",2024-04-27,"01","quantile",0.01,9
"2",2024-05-04,-1,"wk inc covid hosp",2024-04-27,"01","quantile",0.025,9
"3",2024-05-04,-1,"wk inc covid hosp",2024-04-27,"01","quantile",0.05,9
"4",2024-05-04,-1,"wk inc covid hosp",2024-04-27,"01","quantile",0.1,9
"5",2024-05-04,-1,"wk inc covid hosp",2024-04-27,"01","quantile",0.15,9
"6",2024-05-04,-1,"wk inc covid hosp",2024-04-27,"01","quantile",0.2,9
"7",2024-05-04,-1,"wk inc covid hosp",2024-04-27,"01","quantile",0.25,9
"8",2024-05-04,-1,"wk inc covid hosp",2024-04-27,"01","quantile",0.3,9
"9",2024-05-04,-1,"wk inc covid hosp",2024-04-27,"01","quantile",0.35,9
"10",2024-05-04,-1,"wk inc covid hosp",2024-04-27,"01","quantile",0.4,9
"11",2024-05-04,-1,"wk inc covid hosp",2024-04-27,"01","quantile",0.45,9
"12",2024-05-04,-1,"wk inc covid hosp",2024-04-27,"01","quantile",0.5,9
"13",2024-05-04,-1,"wk inc covid hosp",2024-04-27,"01","quantile",0.55,9
"14",2024-05-04,-1,"wk inc covid hosp",2024-04-27,"01","quantile",0.6,9
"15",2024-05-04,-1,"wk inc covid hosp",2024-04-27,"01","quantile",0.65,9
"16",2024-05-04,-1,"wk inc covid hosp",2024-04-27,"01","quantile",0.7,9
"17",2024-05-04,-1,"wk inc covid hosp",2024-04-27,"01","quantile",0.75,9
"18",2024-05-04,-1,"wk inc covid hosp",2024-04-27,"01","quantile",0.8,9
"19",2024-05-04,-1,"wk inc covid hosp",2024-04-27,"01","quantile",0.85,9
"20",2024-05-04,-1,"wk inc covid hosp",2024-04-27,"01","quantile",0.9,9
"21",2024-05-04,-1,"wk inc covid hosp",2024-04-27,"01","quantile",0.95,9
"22",2024-05-04,-1,"wk inc covid hosp",2024-04-27,"01","quantile",0.975,9
"23",2024-05-04,-1,"wk inc covid hosp",2024-04-27,"01","quantile",0.99,9
"24",2024-05-04,-1,"wk inc covid hosp",2024-04-27,"02","quantile",0.01,9
"25",2024-05-04,-1,"wk inc covid hosp",2024-04-27,"02","quantile",0.025,9
"26",2024-05-04,-1,"wk inc covid hosp",2024-04-27,"02","quantile",0.05,9
"27",2024-05-04,-1,"wk inc covid hosp",2024-04-27,"02","quantile",0.1,9
"28",2024-05-04,-1,"wk inc covid hosp",2024-04-27,"02","quantile",0.15,9
"29",2024-05-04,-1,"wk inc covid hosp",2024-04-27,"02","quantile",0.2,9
"30",2024-05-04,-1,"wk inc covid hosp",2024-04-27,"02","quantile",0.25,9
"31",2024-05-04,-1,"wk inc covid hosp",2024-04-27,"02","quantile",0.3,9
"32",2024-05-04,-1,"wk inc covid hosp",2024-04-27,"02","quantile",0.35,9
"33",2024-05-04,-1,"wk inc covid hosp",2024-04-27,"02","quantile",0.4,9
"34",2024-05-04,-1,"wk inc covid hosp",2024-04-27,"02","quantile",0.45,9
"35",2024-05-04,-1,"wk inc covid hosp",2024-04-27,"02","quantile",0.5,9
"36",2024-05-04,-1,"wk inc covid hosp",2024-04-27,"02","quantile",0.55,9
"37",2024-05-04,-1,"wk inc covid hosp",2024-04-27,"02","quantile",0.6,9
"38",2024-05-04,-1,"wk inc covid hosp",2024-04-27,"02","quantile",0.65,9
"39",2024-05-04,-1,"wk inc covid hosp",2024-04-27,"02","quantile",0.7,9
"40",2024-05-04,-1,"wk inc covid hosp",2024-04-27,"02","quantile",0.75,9
"41",2024-05-04,-1,"wk inc covid hosp",2024-04-27,"02","quantile",0.8,9
"42",2024-05-04,-1,"wk inc covid hosp",2024-04-27,"02","quantile",0.85,9
"43",2024-05-04,-1,"wk inc covid hosp",2024-04-27,"02","quantile",0.9,9
"44",2024-05-04,-1,"wk inc covid hosp",2024-04-27,"02","quantile",0.95,9
"45",2024-05-04,-1,"wk inc covid hosp",2024-04-27,"02","quantile",0.975,9
"46",2024-05-04,-1,"wk inc covid hosp",2024-04-27,"02","quantile",0.99,9
"47",2024-05-04,-1,"wk inc covid hosp",2024-04-27,"04","quantile",0.01,76
"48",2024-05-04,-1,"wk inc covid hosp",2024-04-27,"04","quantile",0.025,76
"49",2024-05-04,-1,"wk inc covid hosp",2024-04-27,"04","quantile",0.05,76
"50",2024-05-04,-1,"wk inc covid hosp",2024-04-27,"04","quantile",0.1,76
"51",2024-05-04,-1,"wk inc covid hosp",2024-04-27,"04","quantile",0.15,76
"52",2024-05-04,-1,"wk inc covid hosp",2024-04-27,"04","quantile",0.2,76
"53",2024-05-04,-1,"wk inc covid hosp",2024-04-27,"04","quantile",0.25,76
