date,state,value,location
2024-11-09,AK,13,02
2024-11-16,AK,10,02
2024-11-23,AK,8,02
2024-11-30,AK,5,02
2024-12-07,AK,16,02
2024-11-09,AL,115,01
2024-11-16,AL,83,01
2024-11-23,AL,71,01
2024-11-30,AL,91,01
2024-12-07,AL,97,01
2024-11-09,AR,61,05
2024-11-16,AR,46,05
2024-11-23,AR,52,05
2024-11-30,AR,57,05
2024-12-07,AR,50,05
2024-11-09,AZ,515,04
2024-11-16,AZ,674,04
2024-11-23,AZ,778,04
2024-11-30,AZ,744,04
2024-12-07,AZ,829,04
2024-11-09,CA,615,06
2024-11-16,CA,663,06
2024-11-23,CA,632,06
2024-11-30,CA,675,06
2024-12-07,CA,662,06
2024-11-09,CO,145,08
2024-11-16,CO,163,08
2024-11-23,CO,150,08
2024-11-30,CO,169,08
2024-12-07,CO,180,08
2024-11-09,CT,82,09
2024-11-16,CT,70,09
2024-11-23,CT,79,09
2024-11-30,CT,68,09
2024-12-07,CT,93,09
2024-11-09,DC,11,11
2024-11-16,DC,17,11
2024-11-23,DC,24,11
2024-11-30,DC,11,11
2024-12-07,DC,14,11
2024-11-09,DE,20,10
2024-11-16,DE,18,10
2024-11-23,DE,20,10
2024-11-30,DE,26,10
2024-12-07,DE,24,10
2024-11-09,FL,419,12
2024-11-16,FL,332,12
2024-11-23,FL,257,12
2024-11-30,FL,257,12
2024-12-07,FL,266,12
2024-11-09,GA,89,13
2024-11-16,GA,80,13
2024-11-23,GA,76,13
2024-11-30,GA,84,13
2024-12-07,GA,104,13
2024-11-09,HI,22,15
2024-11-16,HI,20,15
2024-11-23,HI,13,15
2024-11-30,HI,10,15
2024-12-07,HI,15,15
2024-11-09,IA,49,19
2024-11-16,IA,40,19
2024-11-23,IA,52,19
2024-11-30,IA,52,19
2024-12-07,IA,83,19
2024-11-09,ID,35,16
2024-11-16,ID,22,16
2024-11-23,ID,21,16
2024-11-30,ID,16,16
2024-12-07,ID,29,16
2024-11-09,IL,232,17
2024-11-16,IL,202,17
2024-11-23,IL,254,17
2024-11-30,IL,269,17
2024-12-07,IL,294,17
2024-11-09,IN,185,18
2024-11-16,IN,145,18
2024-11-23,IN,166,18
2024-11-30,IN,156,18
2024-12-07,IN,253,18
2024-11-09,KS,62,20
2024-11-16,KS,45,20
2024-11-23,KS,56,20
2024-11-30,KS,49,20
2024-12-07,KS,70,20
2024-11-09,KY,126,21
2024-11-16,KY,97,21
2024-11-23,KY,95,21
2024-11-30,KY,91,21
2024-12-07,KY,120,21
2024-11-09,LA,76,22
2024-11-16,LA,68,22
2024-11-23,LA,69,22
2024-11-30,LA,64,22
2024-12-07,LA,76,22
2024-11-09,MA,217,25
2024-11-16,MA,295,25
2024-11-23,MA,368,25
2024-11-30,MA,368,25
2024-12-07,MA,413,25
2024-11-09,MD,99,24
2024-11-16,MD,67,24
2024-11-23,MD,86,24
2024-11-30,MD,74,24
2024-12-07,MD,70,24
2024-11-09,ME,36,23
2024-11-16,ME,25,23
2024-11-23,ME,21,23
2024-11-30,ME,25,23
