"reference_date","target","horizon","target_end_date","location","output_type","output_type_id","value"
2026-04-11,"wk inc covid hosp",0,2026-04-11,"06","quantile",0.01,106.135490822515
2026-04-11,"wk inc covid hosp",0,2026-04-11,"06","quantile",0.025,111.056947666183
2026-04-11,"wk inc covid hosp",0,2026-04-11,"06","quantile",0.05,115.762107616224
2026-04-11,"wk inc covid hosp",0,2026-04-11,"06","quantile",0.1,121.20594323607
2026-04-11,"wk inc covid hosp",0,2026-04-11,"06","quantile",0.15,125.106001480527
2026-04-11,"wk inc covid hosp",0,2026-04-11,"06","quantile",0.2,128.289069624051
2026-04-11,"wk inc covid hosp",0,2026-04-11,"06","quantile",0.25,131.080256209884
2026-04-11,"wk inc covid hosp",0,2026-04-11,"06","quantile",0.3,133.576715571205
2026-04-11,"wk inc covid hosp",0,2026-04-11,"06","quantile",0.35,135.900122753591
2026-04-11,"wk inc covid hosp",0,2026-04-11,"06","quantile",0.4,138.160541675541
2026-04-11,"wk inc covid hosp",0,2026-04-11,"06","quantile",0.45,140.374975143058
2026-04-11,"wk inc covid hosp",0,2026-04-11,"06","quantile",0.5,142.728804202654
2026-04-11,"wk inc covid hosp",0,2026-04-11,"06","quantile",0.55,144.964751877598
2026-04-11,"wk inc covid hosp",0,2026-04-11,"06","quantile",0.6,147.28201370334
2026-04-11,"wk inc covid hosp",0,2026-04-11,"06","quantile",0.65,149.740871166704
2026-04-11,"wk inc covid hosp",0,2026-04-11,"06","quantile",0.7,152.343372637276
2026-04-11,"wk inc covid hosp",0,2026-04-11,"06","quantile",0.75,155.255882006963
2026-04-11,"wk inc covid hosp",0,2026-04-11,"06","quantile",0.8,158.651409942963
2026-04-11,"wk inc covid hosp",0,2026-04-11,"06","quantile",0.85,162.626666324885
2026-04-11,"wk inc covid hosp",0,2026-04-11,"06","quantile",0.9,167.757039322081
2026-04-11,"wk inc covid hosp",0,2026-04-11,"06","quantile",0.95,175.629007137358
2026-04-11,"wk inc covid hosp",0,2026-04-11,"06","quantile",0.975,182.441290045774
2026-04-11,"wk inc covid hosp",0,2026-04-11,"06","quantile",0.99,190.87735073034
2026-04-11,"wk inc covid hosp",1,2026-04-18,"06","quantile",0.01,81.2199013829079
2026-04-11,"wk inc covid hosp",1,2026-04-18,"06","quantile",0.025,87.0752554384145
2026-04-11,"wk inc covid hosp",1,2026-04-18,"06","quantile",0.05,92.9422995067467
2026-04-11,"wk inc covid hosp",1,2026-04-18,"06","quantile",0.1,100.03553504814
2026-04-11,"wk inc covid hosp",1,2026-04-18,"06","quantile",0.15,105.131387629711
2026-04-11,"wk inc covid hosp",1,2026-04-18,"06","quantile",0.2,109.37888257598
