reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-02-07,wk inc covid hosp,0,2026-02-07,01,quantile,0.01,90.0
2026-02-07,wk inc covid hosp,1,2026-02-14,01,quantile,0.01,75.0
2026-02-07,wk inc covid hosp,2,2026-02-21,01,quantile,0.01,61.0
2026-02-07,wk inc covid hosp,3,2026-02-28,01,quantile,0.01,50.0
2026-02-07,wk inc covid hosp,0,2026-02-07,01,quantile,0.025,94.0
2026-02-07,wk inc covid hosp,1,2026-02-14,01,quantile,0.025,80.0
2026-02-07,wk inc covid hosp,2,2026-02-21,01,quantile,0.025,68.0
2026-02-07,wk inc covid hosp,3,2026-02-28,01,quantile,0.025,56.0
2026-02-07,wk inc covid hosp,0,2026-02-07,01,quantile,0.05,97.0
2026-02-07,wk inc covid hosp,1,2026-02-14,01,quantile,0.05,86.0
2026-02-07,wk inc covid hosp,2,2026-02-21,01,quantile,0.05,74.0
2026-02-07,wk inc covid hosp,3,2026-02-28,01,quantile,0.05,63.0
2026-02-07,wk inc covid hosp,0,2026-02-07,01,quantile,0.1,102.0
2026-02-07,wk inc covid hosp,1,2026-02-14,01,quantile,0.1,94.0
2026-02-07,wk inc covid hosp,2,2026-02-21,01,quantile,0.1,84.0
2026-02-07,wk inc covid hosp,3,2026-02-28,01,quantile,0.1,73.0
2026-02-07,wk inc covid hosp,0,2026-02-07,01,quantile,0.15,105.0
2026-02-07,wk inc covid hosp,1,2026-02-14,01,quantile,0.15,99.0
2026-02-07,wk inc covid hosp,2,2026-02-21,01,quantile,0.15,91.0
2026-02-07,wk inc covid hosp,3,2026-02-28,01,quantile,0.15,82.0
2026-02-07,wk inc covid hosp,0,2026-02-07,01,quantile,0.2,108.0
2026-02-07,wk inc covid hosp,1,2026-02-14,01,quantile,0.2,104.0
2026-02-07,wk inc covid hosp,2,2026-02-21,01,quantile,0.2,97.0
2026-02-07,wk inc covid hosp,3,2026-02-28,01,quantile,0.2,89.0
2026-02-07,wk inc covid hosp,0,2026-02-07,01,quantile,0.25,111.0
2026-02-07,wk inc covid hosp,1,2026-02-14,01,quantile,0.25,108.0
2026-02-07,wk inc covid hosp,2,2026-02-21,01,quantile,0.25,103.0
2026-02-07,wk inc covid hosp,3,2026-02-28,01,quantile,0.25,95.0
2026-02-07,wk inc covid hosp,0,2026-02-07,01,quantile,0.3,113.0
2026-02-07,wk inc covid hosp,1,2026-02-14,01,quantile,0.3,113.0
2026-02-07,wk inc covid hosp,2,2026-02-21,01,quantile,0.3,108.0
2026-02-07,wk inc covid hosp,3,2026-02-28,01,quantile,0.3,101.0
2026-02-07,wk inc covid hosp,0,2026-02-07,01,quantile,0.35,115.0
2026-02-07,wk inc covid hosp,1,2026-02-14,01,quantile,0.35,117.0
2026-02-07,wk inc covid hosp,2,2026-02-21,01,quantile,0.35,114.0
2026-02-07,wk inc covid hosp,3,2026-02-28,01,quantile,0.35,108.0
2026-02-07,wk inc covid hosp,0,2026-02-07,01,quantile,0.4,117.0
2026-02-07,wk inc covid hosp,1,2026-02-14,01,quantile,0.4,121.0
2026-02-07,wk inc covid hosp,2,2026-02-21,01,quantile,0.4,119.0
2026-02-07,wk inc covid hosp,3,2026-02-28,01,quantile,0.4,114.0
2026-02-07,wk inc covid hosp,0,2026-02-07,01,quantile,0.45,120.0
2026-02-07,wk inc covid hosp,1,2026-02-14,01,quantile,0.45,125.0
2026-02-07,wk inc covid hosp,2,2026-02-21,01,quantile,0.45,125.0
2026-02-07,wk inc covid hosp,3,2026-02-28,01,quantile,0.45,121.0
2026-02-07,wk inc covid hosp,0,2026-02-07,01,quantile,0.5,122.0
2026-02-07,wk inc covid hosp,1,2026-02-14,01,quantile,0.5,128.0
2026-02-07,wk inc covid hosp,2,2026-02-21,01,quantile,0.5,130.0
2026-02-07,wk inc covid hosp,3,2026-02-28,01,quantile,0.5,128.0
2026-02-07,wk inc covid hosp,0,2026-02-07,01,quantile,0.55,124.0
2026-02-07,wk inc covid hosp,1,2026-02-14,01,quantile,0.55,132.0
2026-02-07,wk inc covid hosp,2,2026-02-21,01,quantile,0.55,136.0
2026-02-07,wk inc covid hosp,3,2026-02-28,01,quantile,0.55,134.0
2026-02-07,wk inc covid hosp,0,2026-02-07,01,quantile,0.6,126.0
2026-02-07,wk inc covid hosp,1,2026-02-14,01,quantile,0.6,136.0
2026-02-07,wk inc covid hosp,2,2026-02-21,01,quantile,0.6,142.0
2026-02-07,wk inc covid hosp,3,2026-02-28,01,quantile,0.6,142.0
2026-02-07,wk inc covid hosp,0,2026-02-07,01,quantile,0.65,128.0
2026-02-07,wk inc covid hosp,1,2026-02-14,01,quantile,0.65,140.0
2026-02-07,wk inc covid hosp,2,2026-02-21,01,quantile,0.65,148.0
2026-02-07,wk inc covid hosp,3,2026-02-28,01,quantile,0.65,149.0
2026-02-07,wk inc covid hosp,0,2026-02-07,01,quantile,0.7,130.0
2026-02-07,wk inc covid hosp,1,2026-02-14,01,quantile,0.7,145.0
2026-02-07,wk inc covid hosp,2,2026-02-21,01,quantile,0.7,155.0
2026-02-07,wk inc covid hosp,3,2026-02-28,01,quantile,0.7,157.0
2026-02-07,wk inc covid hosp,0,2026-02-07,01,quantile,0.75,133.0
2026-02-07,wk inc covid hosp,1,2026-02-14,01,quantile,0.75,151.0
2026-02-07,wk inc covid hosp,2,2026-02-21,01,quantile,0.75,162.0
2026-02-07,wk inc covid hosp,3,2026-02-28,01,quantile,0.75,167.0
2026-02-07,wk inc covid hosp,0,2026-02-07,01,quantile,0.8,136.0
2026-02-07,wk inc covid hosp,1,2026-02-14,01,quantile,0.8,157.0
2026-02-07,wk inc covid hosp,2,2026-02-21,01,quantile,0.8,172.0
2026-02-07,wk inc covid hosp,3,2026-02-28,01,quantile,0.8,178.0
2026-02-07,wk inc covid hosp,0,2026-02-07,01,quantile,0.85,139.0
2026-02-07,wk inc covid hosp,1,2026-02-14,01,quantile,0.85,164.0
2026-02-07,wk inc covid hosp,2,2026-02-21,01,quantile,0.85,183.0
2026-02-07,wk inc covid hosp,3,2026-02-28,01,quantile,0.85,193.0
2026-02-07,wk inc covid hosp,0,2026-02-07,01,quantile,0.9,144.0
2026-02-07,wk inc covid hosp,1,2026-02-14,01,quantile,0.9,173.0
2026-02-07,wk inc covid hosp,2,2026-02-21,01,quantile,0.9,196.0
2026-02-07,wk inc covid hosp,3,2026-02-28,01,quantile,0.9,211.0
2026-02-07,wk inc covid hosp,0,2026-02-07,01,quantile,0.95,151.0
2026-02-07,wk inc covid hosp,1,2026-02-14,01,quantile,0.95,186.0
2026-02-07,wk inc covid hosp,2,2026-02-21,01,quantile,0.95,218.0
2026-02-07,wk inc covid hosp,3,2026-02-28,01,quantile,0.95,238.0
2026-02-07,wk inc covid hosp,0,2026-02-07,01,quantile,0.975,156.0
2026-02-07,wk inc covid hosp,1,2026-02-14,01,quantile,0.975,198.0
2026-02-07,wk inc covid hosp,2,2026-02-21,01,quantile,0.975,238.0
2026-02-07,wk inc covid hosp,3,2026-02-28,01,quantile,0.975,263.0
2026-02-07,wk inc covid hosp,0,2026-02-07,01,quantile,0.99,161.0
2026-02-07,wk inc covid hosp,1,2026-02-14,01,quantile,0.99,211.0
2026-02-07,wk inc covid hosp,2,2026-02-21,01,quantile,0.99,255.0
2026-02-07,wk inc covid hosp,3,2026-02-28,01,quantile,0.99,288.0
2026-02-07,wk inc covid hosp,0,2026-02-07,02,quantile,0.01,3.0
2026-02-07,wk inc covid hosp,1,2026-02-14,02,quantile,0.01,1.0
2026-02-07,wk inc covid hosp,2,2026-02-21,02,quantile,0.01,1.0
2026-02-07,wk inc covid hosp,3,2026-02-28,02,quantile,0.01,0.0
2026-02-07,wk inc covid hosp,0,2026-02-07,02,quantile,0.025,3.0
2026-02-07,wk inc covid hosp,1,2026-02-14,02,quantile,0.025,2.0
2026-02-07,wk inc covid hosp,2,2026-02-21,02,quantile,0.025,1.0
2026-02-07,wk inc covid hosp,3,2026-02-28,02,quantile,0.025,1.0
2026-02-07,wk inc covid hosp,0,2026-02-07,02,quantile,0.05,3.0
2026-02-07,wk inc covid hosp,1,2026-02-14,02,quantile,0.05,2.0
2026-02-07,wk inc covid hosp,2,2026-02-21,02,quantile,0.05,1.0
2026-02-07,wk inc covid hosp,3,2026-02-28,02,quantile,0.05,1.0
2026-02-07,wk inc covid hosp,0,2026-02-07,02,quantile,0.1,4.0
2026-02-07,wk inc covid hosp,1,2026-02-14,02,quantile,0.1,3.0
2026-02-07,wk inc covid hosp,2,2026-02-21,02,quantile,0.1,2.0
2026-02-07,wk inc covid hosp,3,2026-02-28,02,quantile,0.1,1.0
2026-02-07,wk inc covid hosp,0,2026-02-07,02,quantile,0.15,4.0
2026-02-07,wk inc covid hosp,1,2026-02-14,02,quantile,0.15,3.0
2026-02-07,wk inc covid hosp,2,2026-02-21,02,quantile,0.15,2.0
2026-02-07,wk inc covid hosp,3,2026-02-28,02,quantile,0.15,1.0
2026-02-07,wk inc covid hosp,0,2026-02-07,02,quantile,0.2,4.0
2026-02-07,wk inc covid hosp,1,2026-02-14,02,quantile,0.2,3.0
2026-02-07,wk inc covid hosp,2,2026-02-21,02,quantile,0.2,3.0
2026-02-07,wk inc covid hosp,3,2026-02-28,02,quantile,0.2,2.0
2026-02-07,wk inc covid hosp,0,2026-02-07,02,quantile,0.25,5.0
2026-02-07,wk inc covid hosp,1,2026-02-14,02,quantile,0.25,4.0
2026-02-07,wk inc covid hosp,2,2026-02-21,02,quantile,0.25,3.0
2026-02-07,wk inc covid hosp,3,2026-02-28,02,quantile,0.25,2.0
2026-02-07,wk inc covid hosp,0,2026-02-07,02,quantile,0.3,5.0
2026-02-07,wk inc covid hosp,1,2026-02-14,02,quantile,0.3,4.0
2026-02-07,wk inc covid hosp,2,2026-02-21,02,quantile,0.3,3.0
2026-02-07,wk inc covid hosp,3,2026-02-28,02,quantile,0.3,3.0
2026-02-07,wk inc covid hosp,0,2026-02-07,02,quantile,0.35,5.0
2026-02-07,wk inc covid hosp,1,2026-02-14,02,quantile,0.35,4.0
2026-02-07,wk inc covid hosp,2,2026-02-21,02,quantile,0.35,4.0
2026-02-07,wk inc covid hosp,3,2026-02-28,02,quantile,0.35,3.0
2026-02-07,wk inc covid hosp,0,2026-02-07,02,quantile,0.4,5.0
2026-02-07,wk inc covid hosp,1,2026-02-14,02,quantile,0.4,5.0
2026-02-07,wk inc covid hosp,2,2026-02-21,02,quantile,0.4,4.0
2026-02-07,wk inc covid hosp,3,2026-02-28,02,quantile,0.4,4.0
2026-02-07,wk inc covid hosp,0,2026-02-07,02,quantile,0.45,5.0
2026-02-07,wk inc covid hosp,1,2026-02-14,02,quantile,0.45,5.0
2026-02-07,wk inc covid hosp,2,2026-02-21,02,quantile,0.45,5.0
2026-02-07,wk inc covid hosp,3,2026-02-28,02,quantile,0.45,4.0
2026-02-07,wk inc covid hosp,0,2026-02-07,02,quantile,0.5,6.0
2026-02-07,wk inc covid hosp,1,2026-02-14,02,quantile,0.5,5.0
2026-02-07,wk inc covid hosp,2,2026-02-21,02,quantile,0.5,5.0
2026-02-07,wk inc covid hosp,3,2026-02-28,02,quantile,0.5,5.0
2026-02-07,wk inc covid hosp,0,2026-02-07,02,quantile,0.55,6.0
2026-02-07,wk inc covid hosp,1,2026-02-14,02,quantile,0.55,6.0
2026-02-07,wk inc covid hosp,2,2026-02-21,02,quantile,0.55,6.0
2026-02-07,wk inc covid hosp,3,2026-02-28,02,quantile,0.55,5.0
2026-02-07,wk inc covid hosp,0,2026-02-07,02,quantile,0.6,6.0
2026-02-07,wk inc covid hosp,1,2026-02-14,02,quantile,0.6,6.0
2026-02-07,wk inc covid hosp,2,2026-02-21,02,quantile,0.6,6.0
2026-02-07,wk inc covid hosp,3,2026-02-28,02,quantile,0.6,6.0
2026-02-07,wk inc covid hosp,0,2026-02-07,02,quantile,0.65,6.0
2026-02-07,wk inc covid hosp,1,2026-02-14,02,quantile,0.65,7.0
2026-02-07,wk inc covid hosp,2,2026-02-21,02,quantile,0.65,7.0
2026-02-07,wk inc covid hosp,3,2026-02-28,02,quantile,0.65,7.0
2026-02-07,wk inc covid hosp,0,2026-02-07,02,quantile,0.7,7.0
2026-02-07,wk inc covid hosp,1,2026-02-14,02,quantile,0.7,7.0
2026-02-07,wk inc covid hosp,2,2026-02-21,02,quantile,0.7,8.0
2026-02-07,wk inc covid hosp,3,2026-02-28,02,quantile,0.7,8.0
2026-02-07,wk inc covid hosp,0,2026-02-07,02,quantile,0.75,7.0
2026-02-07,wk inc covid hosp,1,2026-02-14,02,quantile,0.75,8.0
2026-02-07,wk inc covid hosp,2,2026-02-21,02,quantile,0.75,8.0
2026-02-07,wk inc covid hosp,3,2026-02-28,02,quantile,0.75,9.0
2026-02-07,wk inc covid hosp,0,2026-02-07,02,quantile,0.8,7.0
2026-02-07,wk inc covid hosp,1,2026-02-14,02,quantile,0.8,9.0
2026-02-07,wk inc covid hosp,2,2026-02-21,02,quantile,0.8,10.0
2026-02-07,wk inc covid hosp,3,2026-02-28,02,quantile,0.8,10.0
2026-02-07,wk inc covid hosp,0,2026-02-07,02,quantile,0.85,8.0
2026-02-07,wk inc covid hosp,1,2026-02-14,02,quantile,0.85,9.0
2026-02-07,wk inc covid hosp,2,2026-02-21,02,quantile,0.85,11.0
2026-02-07,wk inc covid hosp,3,2026-02-28,02,quantile,0.85,12.0
2026-02-07,wk inc covid hosp,0,2026-02-07,02,quantile,0.9,8.0
2026-02-07,wk inc covid hosp,1,2026-02-14,02,quantile,0.9,11.0
2026-02-07,wk inc covid hosp,2,2026-02-21,02,quantile,0.9,13.0
2026-02-07,wk inc covid hosp,3,2026-02-28,02,quantile,0.9,15.0
2026-02-07,wk inc covid hosp,0,2026-02-07,02,quantile,0.95,9.0
2026-02-07,wk inc covid hosp,1,2026-02-14,02,quantile,0.95,13.0
2026-02-07,wk inc covid hosp,2,2026-02-21,02,quantile,0.95,16.0
2026-02-07,wk inc covid hosp,3,2026-02-28,02,quantile,0.95,19.0
2026-02-07,wk inc covid hosp,0,2026-02-07,02,quantile,0.975,10.0
2026-02-07,wk inc covid hosp,1,2026-02-14,02,quantile,0.975,15.0
2026-02-07,wk inc covid hosp,2,2026-02-21,02,quantile,0.975,19.0
2026-02-07,wk inc covid hosp,3,2026-02-28,02,quantile,0.975,23.0
2026-02-07,wk inc covid hosp,0,2026-02-07,02,quantile,0.99,11.0
2026-02-07,wk inc covid hosp,1,2026-02-14,02,quantile,0.99,16.0
2026-02-07,wk inc covid hosp,2,2026-02-21,02,quantile,0.99,23.0
2026-02-07,wk inc covid hosp,3,2026-02-28,02,quantile,0.99,27.0
2026-02-07,wk inc covid hosp,0,2026-02-07,04,quantile,0.01,17.0
2026-02-07,wk inc covid hosp,1,2026-02-14,04,quantile,0.01,7.0
2026-02-07,wk inc covid hosp,2,2026-02-21,04,quantile,0.01,2.0
2026-02-07,wk inc covid hosp,3,2026-02-28,04,quantile,0.01,1.0
2026-02-07,wk inc covid hosp,0,2026-02-07,04,quantile,0.025,21.0
2026-02-07,wk inc covid hosp,1,2026-02-14,04,quantile,0.025,9.0
2026-02-07,wk inc covid hosp,2,2026-02-21,04,quantile,0.025,4.0
2026-02-07,wk inc covid hosp,3,2026-02-28,04,quantile,0.025,1.0
2026-02-07,wk inc covid hosp,0,2026-02-07,04,quantile,0.05,23.0
2026-02-07,wk inc covid hosp,1,2026-02-14,04,quantile,0.05,12.0
2026-02-07,wk inc covid hosp,2,2026-02-21,04,quantile,0.05,6.0
2026-02-07,wk inc covid hosp,3,2026-02-28,04,quantile,0.05,2.0
2026-02-07,wk inc covid hosp,0,2026-02-07,04,quantile,0.1,27.0
2026-02-07,wk inc covid hosp,1,2026-02-14,04,quantile,0.1,16.0
2026-02-07,wk inc covid hosp,2,2026-02-21,04,quantile,0.1,9.0
2026-02-07,wk inc covid hosp,3,2026-02-28,04,quantile,0.1,5.0
2026-02-07,wk inc covid hosp,0,2026-02-07,04,quantile,0.15,30.0
2026-02-07,wk inc covid hosp,1,2026-02-14,04,quantile,0.15,19.0
2026-02-07,wk inc covid hosp,2,2026-02-21,04,quantile,0.15,11.0
2026-02-07,wk inc covid hosp,3,2026-02-28,04,quantile,0.15,7.0
2026-02-07,wk inc covid hosp,0,2026-02-07,04,quantile,0.2,32.0
2026-02-07,wk inc covid hosp,1,2026-02-14,04,quantile,0.2,21.0
2026-02-07,wk inc covid hosp,2,2026-02-21,04,quantile,0.2,14.0
2026-02-07,wk inc covid hosp,3,2026-02-28,04,quantile,0.2,9.0
2026-02-07,wk inc covid hosp,0,2026-02-07,04,quantile,0.25,35.0
2026-02-07,wk inc covid hosp,1,2026-02-14,04,quantile,0.25,24.0
2026-02-07,wk inc covid hosp,2,2026-02-21,04,quantile,0.25,17.0
2026-02-07,wk inc covid hosp,3,2026-02-28,04,quantile,0.25,11.0
2026-02-07,wk inc covid hosp,0,2026-02-07,04,quantile,0.3,37.0
2026-02-07,wk inc covid hosp,1,2026-02-14,04,quantile,0.3,27.0
2026-02-07,wk inc covid hosp,2,2026-02-21,04,quantile,0.3,20.0
2026-02-07,wk inc covid hosp,3,2026-02-28,04,quantile,0.3,14.0
2026-02-07,wk inc covid hosp,0,2026-02-07,04,quantile,0.35,39.0
2026-02-07,wk inc covid hosp,1,2026-02-14,04,quantile,0.35,30.0
2026-02-07,wk inc covid hosp,2,2026-02-21,04,quantile,0.35,22.0
2026-02-07,wk inc covid hosp,3,2026-02-28,04,quantile,0.35,17.0
2026-02-07,wk inc covid hosp,0,2026-02-07,04,quantile,0.4,41.0
2026-02-07,wk inc covid hosp,1,2026-02-14,04,quantile,0.4,33.0
2026-02-07,wk inc covid hosp,2,2026-02-21,04,quantile,0.4,26.0
2026-02-07,wk inc covid hosp,3,2026-02-28,04,quantile,0.4,19.0
2026-02-07,wk inc covid hosp,0,2026-02-07,04,quantile,0.45,43.0
2026-02-07,wk inc covid hosp,1,2026-02-14,04,quantile,0.45,36.0
2026-02-07,wk inc covid hosp,2,2026-02-21,04,quantile,0.45,29.0
2026-02-07,wk inc covid hosp,3,2026-02-28,04,quantile,0.45,23.0
2026-02-07,wk inc covid hosp,0,2026-02-07,04,quantile,0.5,45.0
2026-02-07,wk inc covid hosp,1,2026-02-14,04,quantile,0.5,39.0
2026-02-07,wk inc covid hosp,2,2026-02-21,04,quantile,0.5,32.0
2026-02-07,wk inc covid hosp,3,2026-02-28,04,quantile,0.5,27.0
2026-02-07,wk inc covid hosp,0,2026-02-07,04,quantile,0.55,47.0
2026-02-07,wk inc covid hosp,1,2026-02-14,04,quantile,0.55,42.0
2026-02-07,wk inc covid hosp,2,2026-02-21,04,quantile,0.55,37.0
2026-02-07,wk inc covid hosp,3,2026-02-28,04,quantile,0.55,32.0
2026-02-07,wk inc covid hosp,0,2026-02-07,04,quantile,0.6,49.0
2026-02-07,wk inc covid hosp,1,2026-02-14,04,quantile,0.6,46.0
2026-02-07,wk inc covid hosp,2,2026-02-21,04,quantile,0.6,42.0
2026-02-07,wk inc covid hosp,3,2026-02-28,04,quantile,0.6,37.0
2026-02-07,wk inc covid hosp,0,2026-02-07,04,quantile,0.65,52.0
2026-02-07,wk inc covid hosp,1,2026-02-14,04,quantile,0.65,50.0
2026-02-07,wk inc covid hosp,2,2026-02-21,04,quantile,0.65,47.0
2026-02-07,wk inc covid hosp,3,2026-02-28,04,quantile,0.65,43.0
2026-02-07,wk inc covid hosp,0,2026-02-07,04,quantile,0.7,54.0
2026-02-07,wk inc covid hosp,1,2026-02-14,04,quantile,0.7,55.0
2026-02-07,wk inc covid hosp,2,2026-02-21,04,quantile,0.7,53.0
2026-02-07,wk inc covid hosp,3,2026-02-28,04,quantile,0.7,51.0
2026-02-07,wk inc covid hosp,0,2026-02-07,04,quantile,0.75,57.0
2026-02-07,wk inc covid hosp,1,2026-02-14,04,quantile,0.75,60.0
2026-02-07,wk inc covid hosp,2,2026-02-21,04,quantile,0.75,61.0
2026-02-07,wk inc covid hosp,3,2026-02-28,04,quantile,0.75,59.0
2026-02-07,wk inc covid hosp,0,2026-02-07,04,quantile,0.8,61.0
2026-02-07,wk inc covid hosp,1,2026-02-14,04,quantile,0.8,67.0
2026-02-07,wk inc covid hosp,2,2026-02-21,04,quantile,0.8,70.0
2026-02-07,wk inc covid hosp,3,2026-02-28,04,quantile,0.8,71.0
2026-02-07,wk inc covid hosp,0,2026-02-07,04,quantile,0.85,65.0
2026-02-07,wk inc covid hosp,1,2026-02-14,04,quantile,0.85,75.0
2026-02-07,wk inc covid hosp,2,2026-02-21,04,quantile,0.85,82.0
2026-02-07,wk inc covid hosp,3,2026-02-28,04,quantile,0.85,86.0
2026-02-07,wk inc covid hosp,0,2026-02-07,04,quantile,0.9,71.0
2026-02-07,wk inc covid hosp,1,2026-02-14,04,quantile,0.9,87.0
2026-02-07,wk inc covid hosp,2,2026-02-21,04,quantile,0.9,101.0
2026-02-07,wk inc covid hosp,3,2026-02-28,04,quantile,0.9,110.0
2026-02-07,wk inc covid hosp,0,2026-02-07,04,quantile,0.95,79.0
2026-02-07,wk inc covid hosp,1,2026-02-14,04,quantile,0.95,106.0
2026-02-07,wk inc covid hosp,2,2026-02-21,04,quantile,0.95,132.0
2026-02-07,wk inc covid hosp,3,2026-02-28,04,quantile,0.95,155.0
2026-02-07,wk inc covid hosp,0,2026-02-07,04,quantile,0.975,87.0
2026-02-07,wk inc covid hosp,1,2026-02-14,04,quantile,0.975,122.0
2026-02-07,wk inc covid hosp,2,2026-02-21,04,quantile,0.975,160.0
2026-02-07,wk inc covid hosp,3,2026-02-28,04,quantile,0.975,191.0
2026-02-07,wk inc covid hosp,0,2026-02-07,04,quantile,0.99,96.0
2026-02-07,wk inc covid hosp,1,2026-02-14,04,quantile,0.99,144.0
2026-02-07,wk inc covid hosp,2,2026-02-21,04,quantile,0.99,194.0
2026-02-07,wk inc covid hosp,3,2026-02-28,04,quantile,0.99,237.0
2026-02-07,wk inc covid hosp,0,2026-02-07,05,quantile,0.01,30.0
2026-02-07,wk inc covid hosp,1,2026-02-14,05,quantile,0.01,20.0
2026-02-07,wk inc covid hosp,2,2026-02-21,05,quantile,0.01,13.0
2026-02-07,wk inc covid hosp,3,2026-02-28,05,quantile,0.01,9.0
2026-02-07,wk inc covid hosp,0,2026-02-07,05,quantile,0.025,32.0
2026-02-07,wk inc covid hosp,1,2026-02-14,05,quantile,0.025,22.0
2026-02-07,wk inc covid hosp,2,2026-02-21,05,quantile,0.025,15.0
2026-02-07,wk inc covid hosp,3,2026-02-28,05,quantile,0.025,10.0
2026-02-07,wk inc covid hosp,0,2026-02-07,05,quantile,0.05,33.0
2026-02-07,wk inc covid hosp,1,2026-02-14,05,quantile,0.05,24.0
2026-02-07,wk inc covid hosp,2,2026-02-21,05,quantile,0.05,17.0
2026-02-07,wk inc covid hosp,3,2026-02-28,05,quantile,0.05,12.0
2026-02-07,wk inc covid hosp,0,2026-02-07,05,quantile,0.1,35.0
2026-02-07,wk inc covid hosp,1,2026-02-14,05,quantile,0.1,26.0
2026-02-07,wk inc covid hosp,2,2026-02-21,05,quantile,0.1,20.0
2026-02-07,wk inc covid hosp,3,2026-02-28,05,quantile,0.1,14.0
2026-02-07,wk inc covid hosp,0,2026-02-07,05,quantile,0.15,37.0
2026-02-07,wk inc covid hosp,1,2026-02-14,05,quantile,0.15,28.0
2026-02-07,wk inc covid hosp,2,2026-02-21,05,quantile,0.15,22.0
2026-02-07,wk inc covid hosp,3,2026-02-28,05,quantile,0.15,17.0
2026-02-07,wk inc covid hosp,0,2026-02-07,05,quantile,0.2,38.0
2026-02-07,wk inc covid hosp,1,2026-02-14,05,quantile,0.2,30.0
2026-02-07,wk inc covid hosp,2,2026-02-21,05,quantile,0.2,24.0
2026-02-07,wk inc covid hosp,3,2026-02-28,05,quantile,0.2,18.0
2026-02-07,wk inc covid hosp,0,2026-02-07,05,quantile,0.25,39.0
2026-02-07,wk inc covid hosp,1,2026-02-14,05,quantile,0.25,32.0
2026-02-07,wk inc covid hosp,2,2026-02-21,05,quantile,0.25,26.0
2026-02-07,wk inc covid hosp,3,2026-02-28,05,quantile,0.25,20.0
2026-02-07,wk inc covid hosp,0,2026-02-07,05,quantile,0.3,40.0
2026-02-07,wk inc covid hosp,1,2026-02-14,05,quantile,0.3,33.0
2026-02-07,wk inc covid hosp,2,2026-02-21,05,quantile,0.3,27.0
2026-02-07,wk inc covid hosp,3,2026-02-28,05,quantile,0.3,22.0
2026-02-07,wk inc covid hosp,0,2026-02-07,05,quantile,0.35,41.0
2026-02-07,wk inc covid hosp,1,2026-02-14,05,quantile,0.35,35.0
2026-02-07,wk inc covid hosp,2,2026-02-21,05,quantile,0.35,29.0
2026-02-07,wk inc covid hosp,3,2026-02-28,05,quantile,0.35,24.0
2026-02-07,wk inc covid hosp,0,2026-02-07,05,quantile,0.4,42.0
2026-02-07,wk inc covid hosp,1,2026-02-14,05,quantile,0.4,36.0
2026-02-07,wk inc covid hosp,2,2026-02-21,05,quantile,0.4,31.0
2026-02-07,wk inc covid hosp,3,2026-02-28,05,quantile,0.4,26.0
2026-02-07,wk inc covid hosp,0,2026-02-07,05,quantile,0.45,42.0
2026-02-07,wk inc covid hosp,1,2026-02-14,05,quantile,0.45,37.0
2026-02-07,wk inc covid hosp,2,2026-02-21,05,quantile,0.45,32.0
2026-02-07,wk inc covid hosp,3,2026-02-28,05,quantile,0.45,27.0
2026-02-07,wk inc covid hosp,0,2026-02-07,05,quantile,0.5,43.0
2026-02-07,wk inc covid hosp,1,2026-02-14,05,quantile,0.5,39.0
2026-02-07,wk inc covid hosp,2,2026-02-21,05,quantile,0.5,34.0
2026-02-07,wk inc covid hosp,3,2026-02-28,05,quantile,0.5,29.0
2026-02-07,wk inc covid hosp,0,2026-02-07,05,quantile,0.55,44.0
2026-02-07,wk inc covid hosp,1,2026-02-14,05,quantile,0.55,40.0
2026-02-07,wk inc covid hosp,2,2026-02-21,05,quantile,0.55,36.0
2026-02-07,wk inc covid hosp,3,2026-02-28,05,quantile,0.55,31.0
2026-02-07,wk inc covid hosp,0,2026-02-07,05,quantile,0.6,45.0
2026-02-07,wk inc covid hosp,1,2026-02-14,05,quantile,0.6,42.0
2026-02-07,wk inc covid hosp,2,2026-02-21,05,quantile,0.6,38.0
2026-02-07,wk inc covid hosp,3,2026-02-28,05,quantile,0.6,34.0
2026-02-07,wk inc covid hosp,0,2026-02-07,05,quantile,0.65,46.0
2026-02-07,wk inc covid hosp,1,2026-02-14,05,quantile,0.65,43.0
2026-02-07,wk inc covid hosp,2,2026-02-21,05,quantile,0.65,40.0
2026-02-07,wk inc covid hosp,3,2026-02-28,05,quantile,0.65,36.0
2026-02-07,wk inc covid hosp,0,2026-02-07,05,quantile,0.7,47.0
2026-02-07,wk inc covid hosp,1,2026-02-14,05,quantile,0.7,45.0
2026-02-07,wk inc covid hosp,2,2026-02-21,05,quantile,0.7,42.0
2026-02-07,wk inc covid hosp,3,2026-02-28,05,quantile,0.7,39.0
2026-02-07,wk inc covid hosp,0,2026-02-07,05,quantile,0.75,48.0
