reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-05-09,wk inc covid hosp,0,2026-05-09,01,quantile,0.01,37.0
2026-05-09,wk inc covid hosp,1,2026-05-16,01,quantile,0.01,26.0
2026-05-09,wk inc covid hosp,2,2026-05-23,01,quantile,0.01,17.0
2026-05-09,wk inc covid hosp,3,2026-05-30,01,quantile,0.01,12.0
2026-05-09,wk inc covid hosp,0,2026-05-09,01,quantile,0.025,38.0
2026-05-09,wk inc covid hosp,1,2026-05-16,01,quantile,0.025,27.0
2026-05-09,wk inc covid hosp,2,2026-05-23,01,quantile,0.025,19.0
2026-05-09,wk inc covid hosp,3,2026-05-30,01,quantile,0.025,13.0
2026-05-09,wk inc covid hosp,0,2026-05-09,01,quantile,0.05,40.0
2026-05-09,wk inc covid hosp,1,2026-05-16,01,quantile,0.05,30.0
2026-05-09,wk inc covid hosp,2,2026-05-23,01,quantile,0.05,21.0
2026-05-09,wk inc covid hosp,3,2026-05-30,01,quantile,0.05,15.0
2026-05-09,wk inc covid hosp,0,2026-05-09,01,quantile,0.1,42.0
2026-05-09,wk inc covid hosp,1,2026-05-16,01,quantile,0.1,32.0
2026-05-09,wk inc covid hosp,2,2026-05-23,01,quantile,0.1,24.0
2026-05-09,wk inc covid hosp,3,2026-05-30,01,quantile,0.1,18.0
2026-05-09,wk inc covid hosp,0,2026-05-09,01,quantile,0.15,43.0
2026-05-09,wk inc covid hosp,1,2026-05-16,01,quantile,0.15,34.0
2026-05-09,wk inc covid hosp,2,2026-05-23,01,quantile,0.15,27.0
2026-05-09,wk inc covid hosp,3,2026-05-30,01,quantile,0.15,20.0
2026-05-09,wk inc covid hosp,0,2026-05-09,01,quantile,0.2,44.0
2026-05-09,wk inc covid hosp,1,2026-05-16,01,quantile,0.2,36.0
2026-05-09,wk inc covid hosp,2,2026-05-23,01,quantile,0.2,28.0
2026-05-09,wk inc covid hosp,3,2026-05-30,01,quantile,0.2,22.0
2026-05-09,wk inc covid hosp,0,2026-05-09,01,quantile,0.25,46.0
2026-05-09,wk inc covid hosp,1,2026-05-16,01,quantile,0.25,38.0
2026-05-09,wk inc covid hosp,2,2026-05-23,01,quantile,0.25,30.0
2026-05-09,wk inc covid hosp,3,2026-05-30,01,quantile,0.25,24.0
2026-05-09,wk inc covid hosp,0,2026-05-09,01,quantile,0.3,47.0
2026-05-09,wk inc covid hosp,1,2026-05-16,01,quantile,0.3,39.0
2026-05-09,wk inc covid hosp,2,2026-05-23,01,quantile,0.3,32.0
2026-05-09,wk inc covid hosp,3,2026-05-30,01,quantile,0.3,26.0
2026-05-09,wk inc covid hosp,0,2026-05-09,01,quantile,0.35,48.0
2026-05-09,wk inc covid hosp,1,2026-05-16,01,quantile,0.35,41.0
2026-05-09,wk inc covid hosp,2,2026-05-23,01,quantile,0.35,34.0
2026-05-09,wk inc covid hosp,3,2026-05-30,01,quantile,0.35,27.0
2026-05-09,wk inc covid hosp,0,2026-05-09,01,quantile,0.4,48.0
2026-05-09,wk inc covid hosp,1,2026-05-16,01,quantile,0.4,42.0
2026-05-09,wk inc covid hosp,2,2026-05-23,01,quantile,0.4,36.0
2026-05-09,wk inc covid hosp,3,2026-05-30,01,quantile,0.4,29.0
2026-05-09,wk inc covid hosp,0,2026-05-09,01,quantile,0.45,49.0
2026-05-09,wk inc covid hosp,1,2026-05-16,01,quantile,0.45,44.0
2026-05-09,wk inc covid hosp,2,2026-05-23,01,quantile,0.45,37.0
2026-05-09,wk inc covid hosp,3,2026-05-30,01,quantile,0.45,31.0
2026-05-09,wk inc covid hosp,0,2026-05-09,01,quantile,0.5,50.0
2026-05-09,wk inc covid hosp,1,2026-05-16,01,quantile,0.5,45.0
2026-05-09,wk inc covid hosp,2,2026-05-23,01,quantile,0.5,39.0
2026-05-09,wk inc covid hosp,3,2026-05-30,01,quantile,0.5,33.0
2026-05-09,wk inc covid hosp,0,2026-05-09,01,quantile,0.55,51.0
2026-05-09,wk inc covid hosp,1,2026-05-16,01,quantile,0.55,47.0
2026-05-09,wk inc covid hosp,2,2026-05-23,01,quantile,0.55,41.0
2026-05-09,wk inc covid hosp,3,2026-05-30,01,quantile,0.55,35.0
2026-05-09,wk inc covid hosp,0,2026-05-09,01,quantile,0.6,52.0
2026-05-09,wk inc covid hosp,1,2026-05-16,01,quantile,0.6,48.0
2026-05-09,wk inc covid hosp,2,2026-05-23,01,quantile,0.6,43.0
2026-05-09,wk inc covid hosp,3,2026-05-30,01,quantile,0.6,37.0
2026-05-09,wk inc covid hosp,0,2026-05-09,01,quantile,0.65,53.0
2026-05-09,wk inc covid hosp,1,2026-05-16,01,quantile,0.65,50.0
2026-05-09,wk inc covid hosp,2,2026-05-23,01,quantile,0.65,45.0
2026-05-09,wk inc covid hosp,3,2026-05-30,01,quantile,0.65,39.0
2026-05-09,wk inc covid hosp,0,2026-05-09,01,quantile,0.7,54.0
2026-05-09,wk inc covid hosp,1,2026-05-16,01,quantile,0.7,51.0
2026-05-09,wk inc covid hosp,2,2026-05-23,01,quantile,0.7,47.0
2026-05-09,wk inc covid hosp,3,2026-05-30,01,quantile,0.7,41.0
2026-05-09,wk inc covid hosp,0,2026-05-09,01,quantile,0.75,55.0
2026-05-09,wk inc covid hosp,1,2026-05-16,01,quantile,0.75,53.0
2026-05-09,wk inc covid hosp,2,2026-05-23,01,quantile,0.75,49.0
2026-05-09,wk inc covid hosp,3,2026-05-30,01,quantile,0.75,44.0
2026-05-09,wk inc covid hosp,0,2026-05-09,01,quantile,0.8,57.0
2026-05-09,wk inc covid hosp,1,2026-05-16,01,quantile,0.8,55.0
2026-05-09,wk inc covid hosp,2,2026-05-23,01,quantile,0.8,52.0
2026-05-09,wk inc covid hosp,3,2026-05-30,01,quantile,0.8,47.0
2026-05-09,wk inc covid hosp,0,2026-05-09,01,quantile,0.85,58.0
2026-05-09,wk inc covid hosp,1,2026-05-16,01,quantile,0.85,58.0
2026-05-09,wk inc covid hosp,2,2026-05-23,01,quantile,0.85,56.0
2026-05-09,wk inc covid hosp,3,2026-05-30,01,quantile,0.85,51.0
2026-05-09,wk inc covid hosp,0,2026-05-09,01,quantile,0.9,60.0
2026-05-09,wk inc covid hosp,1,2026-05-16,01,quantile,0.9,61.0
2026-05-09,wk inc covid hosp,2,2026-05-23,01,quantile,0.9,60.0
2026-05-09,wk inc covid hosp,3,2026-05-30,01,quantile,0.9,57.0
2026-05-09,wk inc covid hosp,0,2026-05-09,01,quantile,0.95,63.0
2026-05-09,wk inc covid hosp,1,2026-05-16,01,quantile,0.95,67.0
2026-05-09,wk inc covid hosp,2,2026-05-23,01,quantile,0.95,68.0
2026-05-09,wk inc covid hosp,3,2026-05-30,01,quantile,0.95,65.0
2026-05-09,wk inc covid hosp,0,2026-05-09,01,quantile,0.975,65.0
2026-05-09,wk inc covid hosp,1,2026-05-16,01,quantile,0.975,71.0
2026-05-09,wk inc covid hosp,2,2026-05-23,01,quantile,0.975,73.0
2026-05-09,wk inc covid hosp,3,2026-05-30,01,quantile,0.975,72.0
2026-05-09,wk inc covid hosp,0,2026-05-09,01,quantile,0.99,68.0
2026-05-09,wk inc covid hosp,1,2026-05-16,01,quantile,0.99,75.0
2026-05-09,wk inc covid hosp,2,2026-05-23,01,quantile,0.99,80.0
2026-05-09,wk inc covid hosp,3,2026-05-30,01,quantile,0.99,80.0
2026-05-09,wk inc covid hosp,0,2026-05-09,02,quantile,0.01,1.0
2026-05-09,wk inc covid hosp,1,2026-05-16,02,quantile,0.01,0.0
2026-05-09,wk inc covid hosp,2,2026-05-23,02,quantile,0.01,0.0
2026-05-09,wk inc covid hosp,3,2026-05-30,02,quantile,0.01,0.0
2026-05-09,wk inc covid hosp,0,2026-05-09,02,quantile,0.025,1.0
2026-05-09,wk inc covid hosp,1,2026-05-16,02,quantile,0.025,0.0
2026-05-09,wk inc covid hosp,2,2026-05-23,02,quantile,0.025,0.0
2026-05-09,wk inc covid hosp,3,2026-05-30,02,quantile,0.025,0.0
2026-05-09,wk inc covid hosp,0,2026-05-09,02,quantile,0.05,1.0
2026-05-09,wk inc covid hosp,1,2026-05-16,02,quantile,0.05,1.0
2026-05-09,wk inc covid hosp,2,2026-05-23,02,quantile,0.05,0.0
2026-05-09,wk inc covid hosp,3,2026-05-30,02,quantile,0.05,0.0
2026-05-09,wk inc covid hosp,0,2026-05-09,02,quantile,0.1,1.0
2026-05-09,wk inc covid hosp,1,2026-05-16,02,quantile,0.1,1.0
2026-05-09,wk inc covid hosp,2,2026-05-23,02,quantile,0.1,0.0
2026-05-09,wk inc covid hosp,3,2026-05-30,02,quantile,0.1,0.0
2026-05-09,wk inc covid hosp,0,2026-05-09,02,quantile,0.15,1.0
2026-05-09,wk inc covid hosp,1,2026-05-16,02,quantile,0.15,1.0
2026-05-09,wk inc covid hosp,2,2026-05-23,02,quantile,0.15,1.0
2026-05-09,wk inc covid hosp,3,2026-05-30,02,quantile,0.15,0.0
2026-05-09,wk inc covid hosp,0,2026-05-09,02,quantile,0.2,1.0
2026-05-09,wk inc covid hosp,1,2026-05-16,02,quantile,0.2,1.0
2026-05-09,wk inc covid hosp,2,2026-05-23,02,quantile,0.2,1.0
2026-05-09,wk inc covid hosp,3,2026-05-30,02,quantile,0.2,0.0
2026-05-09,wk inc covid hosp,0,2026-05-09,02,quantile,0.25,2.0
2026-05-09,wk inc covid hosp,1,2026-05-16,02,quantile,0.25,1.0
2026-05-09,wk inc covid hosp,2,2026-05-23,02,quantile,0.25,1.0
2026-05-09,wk inc covid hosp,3,2026-05-30,02,quantile,0.25,1.0
2026-05-09,wk inc covid hosp,0,2026-05-09,02,quantile,0.3,2.0
2026-05-09,wk inc covid hosp,1,2026-05-16,02,quantile,0.3,1.0
2026-05-09,wk inc covid hosp,2,2026-05-23,02,quantile,0.3,1.0
2026-05-09,wk inc covid hosp,3,2026-05-30,02,quantile,0.3,1.0
2026-05-09,wk inc covid hosp,0,2026-05-09,02,quantile,0.35,2.0
2026-05-09,wk inc covid hosp,1,2026-05-16,02,quantile,0.35,1.0
2026-05-09,wk inc covid hosp,2,2026-05-23,02,quantile,0.35,1.0
2026-05-09,wk inc covid hosp,3,2026-05-30,02,quantile,0.35,1.0
2026-05-09,wk inc covid hosp,0,2026-05-09,02,quantile,0.4,2.0
2026-05-09,wk inc covid hosp,1,2026-05-16,02,quantile,0.4,2.0
2026-05-09,wk inc covid hosp,2,2026-05-23,02,quantile,0.4,1.0
2026-05-09,wk inc covid hosp,3,2026-05-30,02,quantile,0.4,1.0
2026-05-09,wk inc covid hosp,0,2026-05-09,02,quantile,0.45,2.0
2026-05-09,wk inc covid hosp,1,2026-05-16,02,quantile,0.45,2.0
2026-05-09,wk inc covid hosp,2,2026-05-23,02,quantile,0.45,1.0
2026-05-09,wk inc covid hosp,3,2026-05-30,02,quantile,0.45,1.0
2026-05-09,wk inc covid hosp,0,2026-05-09,02,quantile,0.5,2.0
2026-05-09,wk inc covid hosp,1,2026-05-16,02,quantile,0.5,2.0
2026-05-09,wk inc covid hosp,2,2026-05-23,02,quantile,0.5,2.0
2026-05-09,wk inc covid hosp,3,2026-05-30,02,quantile,0.5,1.0
2026-05-09,wk inc covid hosp,0,2026-05-09,02,quantile,0.55,2.0
2026-05-09,wk inc covid hosp,1,2026-05-16,02,quantile,0.55,2.0
2026-05-09,wk inc covid hosp,2,2026-05-23,02,quantile,0.55,2.0
2026-05-09,wk inc covid hosp,3,2026-05-30,02,quantile,0.55,1.0
2026-05-09,wk inc covid hosp,0,2026-05-09,02,quantile,0.6,2.0
2026-05-09,wk inc covid hosp,1,2026-05-16,02,quantile,0.6,2.0
2026-05-09,wk inc covid hosp,2,2026-05-23,02,quantile,0.6,2.0
2026-05-09,wk inc covid hosp,3,2026-05-30,02,quantile,0.6,2.0
2026-05-09,wk inc covid hosp,0,2026-05-09,02,quantile,0.65,2.0
2026-05-09,wk inc covid hosp,1,2026-05-16,02,quantile,0.65,2.0
2026-05-09,wk inc covid hosp,2,2026-05-23,02,quantile,0.65,2.0
2026-05-09,wk inc covid hosp,3,2026-05-30,02,quantile,0.65,2.0
2026-05-09,wk inc covid hosp,0,2026-05-09,02,quantile,0.7,3.0
2026-05-09,wk inc covid hosp,1,2026-05-16,02,quantile,0.7,3.0
2026-05-09,wk inc covid hosp,2,2026-05-23,02,quantile,0.7,3.0
2026-05-09,wk inc covid hosp,3,2026-05-30,02,quantile,0.7,2.0
2026-05-09,wk inc covid hosp,0,2026-05-09,02,quantile,0.75,3.0
2026-05-09,wk inc covid hosp,1,2026-05-16,02,quantile,0.75,3.0
2026-05-09,wk inc covid hosp,2,2026-05-23,02,quantile,0.75,3.0
2026-05-09,wk inc covid hosp,3,2026-05-30,02,quantile,0.75,3.0
2026-05-09,wk inc covid hosp,0,2026-05-09,02,quantile,0.8,3.0
2026-05-09,wk inc covid hosp,1,2026-05-16,02,quantile,0.8,3.0
2026-05-09,wk inc covid hosp,2,2026-05-23,02,quantile,0.8,3.0
2026-05-09,wk inc covid hosp,3,2026-05-30,02,quantile,0.8,3.0
2026-05-09,wk inc covid hosp,0,2026-05-09,02,quantile,0.85,3.0
2026-05-09,wk inc covid hosp,1,2026-05-16,02,quantile,0.85,3.0
2026-05-09,wk inc covid hosp,2,2026-05-23,02,quantile,0.85,4.0
2026-05-09,wk inc covid hosp,3,2026-05-30,02,quantile,0.85,4.0
2026-05-09,wk inc covid hosp,0,2026-05-09,02,quantile,0.9,3.0
2026-05-09,wk inc covid hosp,1,2026-05-16,02,quantile,0.9,4.0
2026-05-09,wk inc covid hosp,2,2026-05-23,02,quantile,0.9,5.0
2026-05-09,wk inc covid hosp,3,2026-05-30,02,quantile,0.9,5.0
2026-05-09,wk inc covid hosp,0,2026-05-09,02,quantile,0.95,4.0
2026-05-09,wk inc covid hosp,1,2026-05-16,02,quantile,0.95,5.0
2026-05-09,wk inc covid hosp,2,2026-05-23,02,quantile,0.95,6.0
2026-05-09,wk inc covid hosp,3,2026-05-30,02,quantile,0.95,7.0
2026-05-09,wk inc covid hosp,0,2026-05-09,02,quantile,0.975,4.0
2026-05-09,wk inc covid hosp,1,2026-05-16,02,quantile,0.975,6.0
2026-05-09,wk inc covid hosp,2,2026-05-23,02,quantile,0.975,8.0
2026-05-09,wk inc covid hosp,3,2026-05-30,02,quantile,0.975,10.0
2026-05-09,wk inc covid hosp,0,2026-05-09,02,quantile,0.99,4.0
2026-05-09,wk inc covid hosp,1,2026-05-16,02,quantile,0.99,7.0
2026-05-09,wk inc covid hosp,2,2026-05-23,02,quantile,0.99,10.0
2026-05-09,wk inc covid hosp,3,2026-05-30,02,quantile,0.99,12.0
2026-05-09,wk inc covid hosp,0,2026-05-09,04,quantile,0.01,12.0
2026-05-09,wk inc covid hosp,1,2026-05-16,04,quantile,0.01,6.0
2026-05-09,wk inc covid hosp,2,2026-05-23,04,quantile,0.01,2.0
2026-05-09,wk inc covid hosp,3,2026-05-30,04,quantile,0.01,1.0
2026-05-09,wk inc covid hosp,0,2026-05-09,04,quantile,0.025,13.0
2026-05-09,wk inc covid hosp,1,2026-05-16,04,quantile,0.025,7.0
2026-05-09,wk inc covid hosp,2,2026-05-23,04,quantile,0.025,4.0
2026-05-09,wk inc covid hosp,3,2026-05-30,04,quantile,0.025,2.0
2026-05-09,wk inc covid hosp,0,2026-05-09,04,quantile,0.05,16.0
2026-05-09,wk inc covid hosp,1,2026-05-16,04,quantile,0.05,10.0
2026-05-09,wk inc covid hosp,2,2026-05-23,04,quantile,0.05,6.0
2026-05-09,wk inc covid hosp,3,2026-05-30,04,quantile,0.05,3.0
2026-05-09,wk inc covid hosp,0,2026-05-09,04,quantile,0.1,18.0
2026-05-09,wk inc covid hosp,1,2026-05-16,04,quantile,0.1,13.0
2026-05-09,wk inc covid hosp,2,2026-05-23,04,quantile,0.1,9.0
2026-05-09,wk inc covid hosp,3,2026-05-30,04,quantile,0.1,5.0
2026-05-09,wk inc covid hosp,0,2026-05-09,04,quantile,0.15,20.0
2026-05-09,wk inc covid hosp,1,2026-05-16,04,quantile,0.15,15.0
2026-05-09,wk inc covid hosp,2,2026-05-23,04,quantile,0.15,11.0
2026-05-09,wk inc covid hosp,3,2026-05-30,04,quantile,0.15,7.0
2026-05-09,wk inc covid hosp,0,2026-05-09,04,quantile,0.2,22.0
2026-05-09,wk inc covid hosp,1,2026-05-16,04,quantile,0.2,17.0
2026-05-09,wk inc covid hosp,2,2026-05-23,04,quantile,0.2,13.0
2026-05-09,wk inc covid hosp,3,2026-05-30,04,quantile,0.2,10.0
2026-05-09,wk inc covid hosp,0,2026-05-09,04,quantile,0.25,23.0
2026-05-09,wk inc covid hosp,1,2026-05-16,04,quantile,0.25,20.0
2026-05-09,wk inc covid hosp,2,2026-05-23,04,quantile,0.25,16.0
2026-05-09,wk inc covid hosp,3,2026-05-30,04,quantile,0.25,13.0
2026-05-09,wk inc covid hosp,0,2026-05-09,04,quantile,0.3,25.0
2026-05-09,wk inc covid hosp,1,2026-05-16,04,quantile,0.3,22.0
2026-05-09,wk inc covid hosp,2,2026-05-23,04,quantile,0.3,19.0
2026-05-09,wk inc covid hosp,3,2026-05-30,04,quantile,0.3,16.0
2026-05-09,wk inc covid hosp,0,2026-05-09,04,quantile,0.35,26.0
2026-05-09,wk inc covid hosp,1,2026-05-16,04,quantile,0.35,24.0
2026-05-09,wk inc covid hosp,2,2026-05-23,04,quantile,0.35,22.0
2026-05-09,wk inc covid hosp,3,2026-05-30,04,quantile,0.35,19.0
2026-05-09,wk inc covid hosp,0,2026-05-09,04,quantile,0.4,28.0
2026-05-09,wk inc covid hosp,1,2026-05-16,04,quantile,0.4,27.0
2026-05-09,wk inc covid hosp,2,2026-05-23,04,quantile,0.4,26.0
2026-05-09,wk inc covid hosp,3,2026-05-30,04,quantile,0.4,23.0
2026-05-09,wk inc covid hosp,0,2026-05-09,04,quantile,0.45,29.0
2026-05-09,wk inc covid hosp,1,2026-05-16,04,quantile,0.45,30.0
2026-05-09,wk inc covid hosp,2,2026-05-23,04,quantile,0.45,29.0
