target_end_date,value,output_type_id,horizon,output_type,reference_date,location,target
2025-12-20,57.119753,0.01,-1,quantile,2025-12-27,01,wk inc covid hosp
2025-12-27,47.246456,0.01,0,quantile,2025-12-27,01,wk inc covid hosp
2026-01-03,36.014943,0.01,1,quantile,2025-12-27,01,wk inc covid hosp
2026-01-10,32.269184,0.01,2,quantile,2025-12-27,01,wk inc covid hosp
2026-01-17,19.453179,0.01,3,quantile,2025-12-27,01,wk inc covid hosp
2025-12-20,61.985799,0.025,-1,quantile,2025-12-27,01,wk inc covid hosp
2025-12-27,55.52491,0.025,0,quantile,2025-12-27,01,wk inc covid hosp
2026-01-03,46.433612,0.025,1,quantile,2025-12-27,01,wk inc covid hosp
2026-01-10,41.082726,0.025,2,quantile,2025-12-27,01,wk inc covid hosp
2026-01-17,31.235709,0.025,3,quantile,2025-12-27,01,wk inc covid hosp
2025-12-20,65.65784,0.05,-1,quantile,2025-12-27,01,wk inc covid hosp
2025-12-27,61.192474,0.05,0,quantile,2025-12-27,01,wk inc covid hosp
2026-01-03,54.440843,0.05,1,quantile,2025-12-27,01,wk inc covid hosp
2026-01-10,48.01994,0.05,2,quantile,2025-12-27,01,wk inc covid hosp
2026-01-17,42.714344,0.05,3,quantile,2025-12-27,01,wk inc covid hosp
2025-12-20,70.642985,0.1,-1,quantile,2025-12-27,01,wk inc covid hosp
2025-12-27,68.023411,0.1,0,quantile,2025-12-27,01,wk inc covid hosp
2026-01-03,64.59361,0.1,1,quantile,2025-12-27,01,wk inc covid hosp
2026-01-10,60.053967,0.1,2,quantile,2025-12-27,01,wk inc covid hosp
2026-01-17,56.71559,0.1,3,quantile,2025-12-27,01,wk inc covid hosp
2025-12-20,73.935976,0.15,-1,quantile,2025-12-27,01,wk inc covid hosp
2025-12-27,73.676136,0.15,0,quantile,2025-12-27,01,wk inc covid hosp
2026-01-03,71.906162,0.15,1,quantile,2025-12-27,01,wk inc covid hosp
2026-01-10,69.83506,0.15,2,quantile,2025-12-27,01,wk inc covid hosp
2026-01-17,67.187954,0.15,3,quantile,2025-12-27,01,wk inc covid hosp
2025-12-20,75.93981,0.2,-1,quantile,2025-12-27,01,wk inc covid hosp
2025-12-27,77.38992,0.2,0,quantile,2025-12-27,01,wk inc covid hosp
2026-01-03,76.810928,0.2,1,quantile,2025-12-27,01,wk inc covid hosp
2026-01-10,77.278177,0.2,2,quantile,2025-12-27,01,wk inc covid hosp
2026-01-17,75.984276,0.2,3,quantile,2025-12-27,01,wk inc covid hosp
2025-12-20,78.233182,0.25,-1,quantile,2025-12-27,01,wk inc covid hosp
2025-12-27,81.140392,0.25,0,quantile,2025-12-27,01,wk inc covid hosp
2026-01-03,81.660995,0.25,1,quantile,2025-12-27,01,wk inc covid hosp
2026-01-10,83.444875,0.25,2,quantile,2025-12-27,01,wk inc covid hosp
2026-01-17,84.186366,0.25,3,quantile,2025-12-27,01,wk inc covid hosp
2025-12-20,80.221083,0.3,-1,quantile,2025-12-27,01,wk inc covid hosp
2025-12-27,84.296171,0.3,0,quantile,2025-12-27,01,wk inc covid hosp
2026-01-03,86.317089,0.3,1,quantile,2025-12-27,01,wk inc covid hosp
2026-01-10,88.647836,0.3,2,quantile,2025-12-27,01,wk inc covid hosp
2026-01-17,90.406555,0.3,3,quantile,2025-12-27,01,wk inc covid hosp
