target_end_date,value,output_type_id,horizon,output_type,reference_date,location,target
2026-04-18,31.770751,0.01,-1,quantile,2026-04-25,01,wk inc covid hosp
2026-04-25,21.269293,0.01,0,quantile,2026-04-25,01,wk inc covid hosp
2026-05-02,14.205439,0.01,1,quantile,2026-04-25,01,wk inc covid hosp
2026-05-09,8.6025936,0.01,2,quantile,2026-04-25,01,wk inc covid hosp
2026-05-16,4.8619141,0.01,3,quantile,2026-04-25,01,wk inc covid hosp
2026-04-18,34.84277,0.025,-1,quantile,2026-04-25,01,wk inc covid hosp
2026-04-25,24.781996,0.025,0,quantile,2026-04-25,01,wk inc covid hosp
2026-05-02,17.040992,0.025,1,quantile,2026-04-25,01,wk inc covid hosp
2026-05-09,13.410021,0.025,2,quantile,2026-04-25,01,wk inc covid hosp
2026-05-16,10.085606,0.025,3,quantile,2026-04-25,01,wk inc covid hosp
2026-04-18,36.996059,0.05,-1,quantile,2026-04-25,01,wk inc covid hosp
2026-04-25,28.229329,0.05,0,quantile,2026-04-25,01,wk inc covid hosp
2026-05-02,21.62188,0.05,1,quantile,2026-04-25,01,wk inc covid hosp
2026-05-09,17.843765,0.05,2,quantile,2026-04-25,01,wk inc covid hosp
2026-05-16,14.547674,0.05,3,quantile,2026-04-25,01,wk inc covid hosp
2026-04-18,39.882624,0.1,-1,quantile,2026-04-25,01,wk inc covid hosp
2026-04-25,32.722227,0.1,0,quantile,2026-04-25,01,wk inc covid hosp
2026-05-02,26.682275,0.1,1,quantile,2026-04-25,01,wk inc covid hosp
2026-05-09,23.5367,0.1,2,quantile,2026-04-25,01,wk inc covid hosp
2026-05-16,21.564443,0.1,3,quantile,2026-04-25,01,wk inc covid hosp
2026-04-18,41.505454,0.15,-1,quantile,2026-04-25,01,wk inc covid hosp
2026-04-25,35.683928,0.15,0,quantile,2026-04-25,01,wk inc covid hosp
2026-05-02,30.989051,0.15,1,quantile,2026-04-25,01,wk inc covid hosp
2026-05-09,28.733325,0.15,2,quantile,2026-04-25,01,wk inc covid hosp
2026-05-16,26.345241,0.15,3,quantile,2026-04-25,01,wk inc covid hosp
2026-04-18,43.27372,0.2,-1,quantile,2026-04-25,01,wk inc covid hosp
2026-04-25,38.092499,0.2,0,quantile,2026-04-25,01,wk inc covid hosp
2026-05-02,34.216521,0.2,1,quantile,2026-04-25,01,wk inc covid hosp
2026-05-09,32.047685,0.2,2,quantile,2026-04-25,01,wk inc covid hosp
2026-05-16,30.377193,0.2,3,quantile,2026-04-25,01,wk inc covid hosp
2026-04-18,44.845593,0.25,-1,quantile,2026-04-25,01,wk inc covid hosp
2026-04-25,40.316366,0.25,0,quantile,2026-04-25,01,wk inc covid hosp
2026-05-02,37.25725,0.25,1,quantile,2026-04-25,01,wk inc covid hosp
2026-05-09,35.541255,0.25,2,quantile,2026-04-25,01,wk inc covid hosp
2026-05-16,34.71703,0.25,3,quantile,2026-04-25,01,wk inc covid hosp
2026-04-18,46.331068,0.3,-1,quantile,2026-04-25,01,wk inc covid hosp
2026-04-25,42.174341,0.3,0,quantile,2026-04-25,01,wk inc covid hosp
2026-05-02,40.16462,0.3,1,quantile,2026-04-25,01,wk inc covid hosp
2026-05-09,38.771572,0.3,2,quantile,2026-04-25,01,wk inc covid hosp
2026-05-16,38.6092,0.3,3,quantile,2026-04-25,01,wk inc covid hosp
2026-04-18,47.46585,0.35,-1,quantile,2026-04-25,01,wk inc covid hosp
2026-04-25,44.306117,0.35,0,quantile,2026-04-25,01,wk inc covid hosp
2026-05-02,42.962319,0.35,1,quantile,2026-04-25,01,wk inc covid hosp
2026-05-09,42.089681,0.35,2,quantile,2026-04-25,01,wk inc covid hosp
2026-05-16,43.299306,0.35,3,quantile,2026-04-25,01,wk inc covid hosp
2026-04-18,48.826056,0.4,-1,quantile,2026-04-25,01,wk inc covid hosp
2026-04-25,46.053262,0.4,0,quantile,2026-04-25,01,wk inc covid hosp
2026-05-02,45.666797,0.4,1,quantile,2026-04-25,01,wk inc covid hosp
2026-05-09,45.674049,0.4,2,quantile,2026-04-25,01,wk inc covid hosp
2026-05-16,47.284966,0.4,3,quantile,2026-04-25,01,wk inc covid hosp
2026-04-18,50.075202,0.45,-1,quantile,2026-04-25,01,wk inc covid hosp
2026-04-25,48.321226,0.45,0,quantile,2026-04-25,01,wk inc covid hosp
2026-05-02,48.397808,0.45,1,quantile,2026-04-25,01,wk inc covid hosp
2026-05-09,49.130761,0.45,2,quantile,2026-04-25,01,wk inc covid hosp
2026-05-16,50.906539,0.45,3,quantile,2026-04-25,01,wk inc covid hosp
2026-04-18,51.176517,0.5,-1,quantile,2026-04-25,01,wk inc covid hosp
2026-04-25,50.144437,0.5,0,quantile,2026-04-25,01,wk inc covid hosp
2026-05-02,50.824816,0.5,1,quantile,2026-04-25,01,wk inc covid hosp
2026-05-09,52.541458,0.5,2,quantile,2026-04-25,01,wk inc covid hosp
2026-05-16,54.959108,0.5,3,quantile,2026-04-25,01,wk inc covid hosp
2026-04-18,52.561089,0.55,-1,quantile,2026-04-25,01,wk inc covid hosp
2026-04-25,52.300308,0.55,0,quantile,2026-04-25,01,wk inc covid hosp
2026-05-02,53.435608,0.55,1,quantile,2026-04-25,01,wk inc covid hosp
2026-05-09,55.606274,0.55,2,quantile,2026-04-25,01,wk inc covid hosp
2026-05-16,59.290181,0.55,3,quantile,2026-04-25,01,wk inc covid hosp
2026-04-18,53.992416,0.6,-1,quantile,2026-04-25,01,wk inc covid hosp
2026-04-25,54.254736,0.6,0,quantile,2026-04-25,01,wk inc covid hosp
2026-05-02,55.933234,0.6,1,quantile,2026-04-25,01,wk inc covid hosp
2026-05-09,58.917832,0.6,2,quantile,2026-04-25,01,wk inc covid hosp
2026-05-16,63.738045,0.6,3,quantile,2026-04-25,01,wk inc covid hosp
2026-04-18,55.634651,0.65,-1,quantile,2026-04-25,01,wk inc covid hosp
2026-04-25,56.34982,0.65,0,quantile,2026-04-25,01,wk inc covid hosp
2026-05-02,58.652409,0.65,1,quantile,2026-04-25,01,wk inc covid hosp
2026-05-09,63.255131,0.65,2,quantile,2026-04-25,01,wk inc covid hosp
2026-05-16,69.045487,0.65,3,quantile,2026-04-25,01,wk inc covid hosp
2026-04-18,56.813517,0.7,-1,quantile,2026-04-25,01,wk inc covid hosp
2026-04-25,58.367052,0.7,0,quantile,2026-04-25,01,wk inc covid hosp
2026-05-02,61.991279,0.7,1,quantile,2026-04-25,01,wk inc covid hosp
2026-05-09,67.703019,0.7,2,quantile,2026-04-25,01,wk inc covid hosp
2026-05-16,73.7288,0.7,3,quantile,2026-04-25,01,wk inc covid hosp
2026-04-18,58.429905,0.75,-1,quantile,2026-04-25,01,wk inc covid hosp
2026-04-25,60.663902,0.75,0,quantile,2026-04-25,01,wk inc covid hosp
2026-05-02,65.286289,0.75,1,quantile,2026-04-25,01,wk inc covid hosp
2026-05-09,72.184579,0.75,2,quantile,2026-04-25,01,wk inc covid hosp
2026-05-16,80.370031,0.75,3,quantile,2026-04-25,01,wk inc covid hosp
2026-04-18,60.271228,0.8,-1,quantile,2026-04-25,01,wk inc covid hosp
2026-04-25,63.287202,0.8,0,quantile,2026-04-25,01,wk inc covid hosp
2026-05-02,68.977005,0.8,1,quantile,2026-04-25,01,wk inc covid hosp
2026-05-09,77.833346,0.8,2,quantile,2026-04-25,01,wk inc covid hosp
2026-05-16,88.14571,0.8,3,quantile,2026-04-25,01,wk inc covid hosp
2026-04-18,62.212628,0.85,-1,quantile,2026-04-25,01,wk inc covid hosp
2026-04-25,66.856529,0.85,0,quantile,2026-04-25,01,wk inc covid hosp
