target_end_date,value,output_type_id,horizon,output_type,reference_date,location,target
2026-02-28,80.343908,0.01,-1,quantile,2026-03-07,01,wk inc covid hosp
2026-03-07,59.833797,0.01,0,quantile,2026-03-07,01,wk inc covid hosp
2026-03-14,43.02285,0.01,1,quantile,2026-03-07,01,wk inc covid hosp
2026-03-21,29.772355,0.01,2,quantile,2026-03-07,01,wk inc covid hosp
2026-03-28,18.871405,0.01,3,quantile,2026-03-07,01,wk inc covid hosp
2026-02-28,86.177458,0.025,-1,quantile,2026-03-07,01,wk inc covid hosp
2026-03-07,68.117549,0.025,0,quantile,2026-03-07,01,wk inc covid hosp
2026-03-14,51.364568,0.025,1,quantile,2026-03-07,01,wk inc covid hosp
2026-03-21,40.825937,0.025,2,quantile,2026-03-07,01,wk inc covid hosp
2026-03-28,30.518084,0.025,3,quantile,2026-03-07,01,wk inc covid hosp
2026-02-28,89.610709,0.05,-1,quantile,2026-03-07,01,wk inc covid hosp
2026-03-07,74.423245,0.05,0,quantile,2026-03-07,01,wk inc covid hosp
2026-03-14,60.948084,0.05,1,quantile,2026-03-07,01,wk inc covid hosp
2026-03-21,51.81977,0.05,2,quantile,2026-03-07,01,wk inc covid hosp
2026-03-28,43.997269,0.05,3,quantile,2026-03-07,01,wk inc covid hosp
2026-02-28,94.877461,0.1,-1,quantile,2026-03-07,01,wk inc covid hosp
2026-03-07,84.08517,0.1,0,quantile,2026-03-07,01,wk inc covid hosp
2026-03-14,72.999224,0.1,1,quantile,2026-03-07,01,wk inc covid hosp
2026-03-21,64.946341,0.1,2,quantile,2026-03-07,01,wk inc covid hosp
2026-03-28,58.27809,0.1,3,quantile,2026-03-07,01,wk inc covid hosp
2026-02-28,98.60886,0.15,-1,quantile,2026-03-07,01,wk inc covid hosp
2026-03-07,89.919783,0.15,0,quantile,2026-03-07,01,wk inc covid hosp
2026-03-14,79.807562,0.15,1,quantile,2026-03-07,01,wk inc covid hosp
2026-03-21,73.025953,0.15,2,quantile,2026-03-07,01,wk inc covid hosp
2026-03-28,66.639199,0.15,3,quantile,2026-03-07,01,wk inc covid hosp
2026-02-28,101.79795,0.2,-1,quantile,2026-03-07,01,wk inc covid hosp
2026-03-07,94.40408,0.2,0,quantile,2026-03-07,01,wk inc covid hosp
2026-03-14,86.445982,0.2,1,quantile,2026-03-07,01,wk inc covid hosp
2026-03-21,80.755156,0.2,2,quantile,2026-03-07,01,wk inc covid hosp
2026-03-28,75.446457,0.2,3,quantile,2026-03-07,01,wk inc covid hosp
2026-02-28,104.1151,0.25,-1,quantile,2026-03-07,01,wk inc covid hosp
2026-03-07,97.691119,0.25,0,quantile,2026-03-07,01,wk inc covid hosp
2026-03-14,91.869223,0.25,1,quantile,2026-03-07,01,wk inc covid hosp
2026-03-21,86.848212,0.25,2,quantile,2026-03-07,01,wk inc covid hosp
2026-03-28,83.696089,0.25,3,quantile,2026-03-07,01,wk inc covid hosp
2026-02-28,106.3798,0.3,-1,quantile,2026-03-07,01,wk inc covid hosp
2026-03-07,102.08798,0.3,0,quantile,2026-03-07,01,wk inc covid hosp
2026-03-14,96.597183,0.3,1,quantile,2026-03-07,01,wk inc covid hosp
2026-03-21,93.39691,0.3,2,quantile,2026-03-07,01,wk inc covid hosp
2026-03-28,91.56271,0.3,3,quantile,2026-03-07,01,wk inc covid hosp
2026-02-28,108.20579,0.35,-1,quantile,2026-03-07,01,wk inc covid hosp
2026-03-07,105.41481,0.35,0,quantile,2026-03-07,01,wk inc covid hosp
2026-03-14,101.57848,0.35,1,quantile,2026-03-07,01,wk inc covid hosp
2026-03-21,99.634571,0.35,2,quantile,2026-03-07,01,wk inc covid hosp
2026-03-28,98.553006,0.35,3,quantile,2026-03-07,01,wk inc covid hosp
2026-02-28,110.20224,0.4,-1,quantile,2026-03-07,01,wk inc covid hosp
2026-03-07,108.85716,0.4,0,quantile,2026-03-07,01,wk inc covid hosp
2026-03-14,106.18082,0.4,1,quantile,2026-03-07,01,wk inc covid hosp
2026-03-21,105.01348,0.4,2,quantile,2026-03-07,01,wk inc covid hosp
2026-03-28,104.4755,0.4,3,quantile,2026-03-07,01,wk inc covid hosp
2026-02-28,112.03098,0.45,-1,quantile,2026-03-07,01,wk inc covid hosp
2026-03-07,111.5936,0.45,0,quantile,2026-03-07,01,wk inc covid hosp
2026-03-14,110.83386,0.45,1,quantile,2026-03-07,01,wk inc covid hosp
2026-03-21,110.53836,0.45,2,quantile,2026-03-07,01,wk inc covid hosp
2026-03-28,112.13798,0.45,3,quantile,2026-03-07,01,wk inc covid hosp
2026-02-28,114.10619,0.5,-1,quantile,2026-03-07,01,wk inc covid hosp
2026-03-07,114.63439,0.5,0,quantile,2026-03-07,01,wk inc covid hosp
2026-03-14,115.32668,0.5,1,quantile,2026-03-07,01,wk inc covid hosp
2026-03-21,116.66086,0.5,2,quantile,2026-03-07,01,wk inc covid hosp
