output_type,output_type_id,value,reference_date,target,horizon,target_end_date,location
quantile,0.01,0,2026-04-04,wk inc covid hosp,-1,2026-03-28,02
quantile,0.025,1,2026-04-04,wk inc covid hosp,-1,2026-03-28,02
quantile,0.05,2,2026-04-04,wk inc covid hosp,-1,2026-03-28,02
quantile,0.1,2,2026-04-04,wk inc covid hosp,-1,2026-03-28,02
quantile,0.15,3,2026-04-04,wk inc covid hosp,-1,2026-03-28,02
quantile,0.2,3,2026-04-04,wk inc covid hosp,-1,2026-03-28,02
quantile,0.25,4,2026-04-04,wk inc covid hosp,-1,2026-03-28,02
quantile,0.3,4,2026-04-04,wk inc covid hosp,-1,2026-03-28,02
quantile,0.35,4,2026-04-04,wk inc covid hosp,-1,2026-03-28,02
quantile,0.4,5,2026-04-04,wk inc covid hosp,-1,2026-03-28,02
quantile,0.45,5,2026-04-04,wk inc covid hosp,-1,2026-03-28,02
quantile,0.5,5,2026-04-04,wk inc covid hosp,-1,2026-03-28,02
quantile,0.55,6,2026-04-04,wk inc covid hosp,-1,2026-03-28,02
quantile,0.6,6,2026-04-04,wk inc covid hosp,-1,2026-03-28,02
quantile,0.65,7,2026-04-04,wk inc covid hosp,-1,2026-03-28,02
quantile,0.7,7,2026-04-04,wk inc covid hosp,-1,2026-03-28,02
quantile,0.75,8,2026-04-04,wk inc covid hosp,-1,2026-03-28,02
quantile,0.8,8,2026-04-04,wk inc covid hosp,-1,2026-03-28,02
quantile,0.85,9,2026-04-04,wk inc covid hosp,-1,2026-03-28,02
quantile,0.9,10,2026-04-04,wk inc covid hosp,-1,2026-03-28,02
quantile,0.95,12,2026-04-04,wk inc covid hosp,-1,2026-03-28,02
quantile,0.975,13,2026-04-04,wk inc covid hosp,-1,2026-03-28,02
quantile,0.99,15,2026-04-04,wk inc covid hosp,-1,2026-03-28,02
quantile,0.01,29,2026-04-04,wk inc covid hosp,-1,2026-03-28,01
quantile,0.025,32.975,2026-04-04,wk inc covid hosp,-1,2026-03-28,01
quantile,0.05,35,2026-04-04,wk inc covid hosp,-1,2026-03-28,01
quantile,0.1,38,2026-04-04,wk inc covid hosp,-1,2026-03-28,01
quantile,0.15,40,2026-04-04,wk inc covid hosp,-1,2026-03-28,01
quantile,0.2,42,2026-04-04,wk inc covid hosp,-1,2026-03-28,01
