output_type,output_type_id,value,reference_date,target,horizon,target_end_date,location
sample,WV_2,0.003253943146382248,2026-09-19,wk inc covid prop ed visits,-1,2026-09-12,54
sample,WV_3,0.0045136538027533285,2026-09-19,wk inc covid prop ed visits,-1,2026-09-12,54
sample,WV_40,0.0018555394641564084,2026-09-19,wk inc covid prop ed visits,-1,2026-09-12,54
sample,WV_57,0.003253943146382248,2026-09-19,wk inc covid prop ed visits,-1,2026-09-12,54
sample,WV_59,0.003929184355523439,2026-09-19,wk inc covid prop ed visits,-1,2026-09-12,54
sample,WV_69,0.0034340969680538612,2026-09-19,wk inc covid prop ed visits,-1,2026-09-12,54
sample,WV_104,0.0027130906624463036,2026-09-19,wk inc covid prop ed visits,-1,2026-09-12,54
sample,WV_107,0.00352414946008223,2026-09-19,wk inc covid prop ed visits,-1,2026-09-12,54
sample,WV_116,0.002532676043598209,2026-09-19,wk inc covid prop ed visits,-1,2026-09-12,54
sample,WV_126,0.0032989877078814173,2026-09-19,wk inc covid prop ed visits,-1,2026-09-12,54
sample,WV_128,0.0034340969680538612,2026-09-19,wk inc covid prop ed visits,-1,2026-09-12,54
sample,WV_129,0.00352414946008223,2026-09-19,wk inc covid prop ed visits,-1,2026-09-12,54
sample,WV_135,0.0032989877078814173,2026-09-19,wk inc covid prop ed visits,-1,2026-09-12,54
sample,WV_146,0.002081353784896611,2026-09-19,wk inc covid prop ed visits,-1,2026-09-12,54
sample,WV_148,0.0027581841200940496,2026-09-19,wk inc covid prop ed visits,-1,2026-09-12,54
sample,WV_160,0.002848358802785062,2026-09-19,wk inc covid prop ed visits,-1,2026-09-12,54
sample,WV_176,0.002803273500022607,2026-09-19,wk inc covid prop ed visits,-1,2026-09-12,54
sample,WV_189,0.004243983927039595,2026-09-19,wk inc covid prop ed visits,-1,2026-09-12,54
sample,WV_198,0.0038841967390813425,2026-09-19,wk inc covid prop ed visits,-1,2026-09-12,54
sample,WV_210,0.002803273500022607,2026-09-19,wk inc covid prop ed visits,-1,2026-09-12,54
sample,WV_216,0.002532676043598209,2026-09-19,wk inc covid prop ed visits,-1,2026-09-12,54
sample,WV_219,0.0030737241784568096,2026-09-19,wk inc covid prop ed visits,-1,2026-09-12,54
sample,WV_230,0.002307065954944359,2026-09-19,wk inc covid prop ed visits,-1,2026-09-12,54
sample,WV_235,0.003974167908594138,2026-09-19,wk inc covid prop ed visits,-1,2026-09-12,54
sample,WV_257,0.0036591976870256598,2026-09-19,wk inc covid prop ed visits,-1,2026-09-12,54
sample,WV_262,0.0032989877078814173,2026-09-19,wk inc covid prop ed visits,-1,2026-09-12,54
sample,WV_269,0.0024875621890547263,2026-09-19,wk inc covid prop ed visits,-1,2026-09-12,54
sample,WV_278,0.0026228915117804006,2026-09-19,wk inc covid prop ed visits,-1,2026-09-12,54
sample,WV_279,0.0024875621890547263,2026-09-19,wk inc covid prop ed visits,-1,2026-09-12,54
sample,WV_298,0.002938517179023508,2026-09-19,wk inc covid prop ed visits,-1,2026-09-12,54
sample,WV_325,0.003118785029831857,2026-09-19,wk inc covid prop ed visits,-1,2026-09-12,54
sample,WV_331,0.0023521961369701904,2026-09-19,wk inc covid prop ed visits,-1,2026-09-12,54
sample,WV_333,0.003208894513242339,2026-09-19,wk inc covid prop ed visits,-1,2026-09-12,54
sample,WV_338,0.0029835902536051715,2026-09-19,wk inc covid prop ed visits,-1,2026-09-12,54
sample,WV_348,0.0021265043887431,2026-09-19,wk inc covid prop ed visits,-1,2026-09-12,54
sample,WV_349,0.0032989877078814173,2026-09-19,wk inc covid prop ed visits,-1,2026-09-12,54
sample,WV_353,0.0028934400289344,2026-09-19,wk inc covid prop ed visits,-1,2026-09-12,54
sample,WV_364,0.002803273500022607,2026-09-19,wk inc covid prop ed visits,-1,2026-09-12,54
sample,WV_366,0.0028934400289344,2026-09-19,wk inc covid prop ed visits,-1,2026-09-12,54
sample,WV_371,0.0026679931265261823,2026-09-19,wk inc covid prop ed visits,-1,2026-09-12,54
sample,WV_379,0.004693352588113182,2026-09-19,wk inc covid prop ed visits,-1,2026-09-12,54
sample,WV_380,0.0029835902536051715,2026-09-19,wk inc covid prop ed visits,-1,2026-09-12,54
sample,WV_386,0.0034791252485089465,2026-09-19,wk inc covid prop ed visits,-1,2026-09-12,54
