output_type,output_type_id,value,reference_date,target,horizon,target_end_date,location
sample,WY_1,5,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_10,1,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_28,2,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_32,2,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_50,1,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_83,2,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_86,0,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_87,4,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_92,5,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_101,3,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_125,0,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_135,6,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_140,1,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_143,4,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_148,2,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_152,3,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_154,2,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_180,3,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_189,0,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_199,5,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_201,3,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_213,8,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_217,3,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_238,4,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_259,1,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_270,2,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_285,2,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_289,2,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_315,5,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_327,0,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_337,0,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_342,1,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_348,2,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_364,6,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_366,2,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_367,1,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_380,4,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_399,1,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_413,3,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_417,1,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_424,4,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_434,2,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_439,2,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_443,7,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_445,3,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_448,2,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_457,9,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_477,2,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_493,3,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_494,2,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_503,6,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_559,5,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_565,3,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_569,3,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_571,1,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_574,1,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_581,2,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_585,4,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_591,3,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_602,2,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_604,5,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_605,0,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_651,0,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_671,5,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_674,0,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_680,3,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_695,0,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_696,5,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_726,4,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_727,0,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_729,1,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_735,1,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_742,1,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_746,4,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_764,5,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_767,6,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_771,2,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_797,3,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_822,4,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_826,6,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_833,2,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_838,0,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_842,1,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_856,1,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_871,4,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_874,0,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_877,2,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_888,4,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_902,1,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_921,2,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_930,1,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_934,3,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_941,2,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_953,2,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_966,3,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_976,7,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_985,1,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_987,1,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_988,1,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_992,5,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_994,3,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_1021,2,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
sample,WY_1036,5,2026-09-19,wk inc covid hosp,-1,2026-09-12,56
