output_type,output_type_id,value,reference_date,target,horizon,target_end_date,location
quantile,0.01,3,2025-07-05,wk inc covid hosp,0,2025-07-05,02
quantile,0.025,4,2025-07-05,wk inc covid hosp,0,2025-07-05,02
quantile,0.05,5,2025-07-05,wk inc covid hosp,0,2025-07-05,02
quantile,0.1,6,2025-07-05,wk inc covid hosp,0,2025-07-05,02
quantile,0.15,7,2025-07-05,wk inc covid hosp,0,2025-07-05,02
quantile,0.2,8,2025-07-05,wk inc covid hosp,0,2025-07-05,02
quantile,0.25,8,2025-07-05,wk inc covid hosp,0,2025-07-05,02
quantile,0.3,9,2025-07-05,wk inc covid hosp,0,2025-07-05,02
quantile,0.35,10,2025-07-05,wk inc covid hosp,0,2025-07-05,02
quantile,0.4,10,2025-07-05,wk inc covid hosp,0,2025-07-05,02
quantile,0.45,11,2025-07-05,wk inc covid hosp,0,2025-07-05,02
quantile,0.5,11,2025-07-05,wk inc covid hosp,0,2025-07-05,02
quantile,0.55,12,2025-07-05,wk inc covid hosp,0,2025-07-05,02
quantile,0.6,13,2025-07-05,wk inc covid hosp,0,2025-07-05,02
quantile,0.65,13,2025-07-05,wk inc covid hosp,0,2025-07-05,02
quantile,0.7,14,2025-07-05,wk inc covid hosp,0,2025-07-05,02
quantile,0.75,15,2025-07-05,wk inc covid hosp,0,2025-07-05,02
quantile,0.8,16,2025-07-05,wk inc covid hosp,0,2025-07-05,02
quantile,0.85,17,2025-07-05,wk inc covid hosp,0,2025-07-05,02
quantile,0.9,18.100000000000136,2025-07-05,wk inc covid hosp,0,2025-07-05,02
quantile,0.95,21,2025-07-05,wk inc covid hosp,0,2025-07-05,02
quantile,0.975,23,2025-07-05,wk inc covid hosp,0,2025-07-05,02
quantile,0.99,27,2025-07-05,wk inc covid hosp,0,2025-07-05,02
quantile,0.01,0.002301134747387481,2025-07-05,wk inc covid prop ed visits,0,2025-07-05,02
quantile,0.025,0.0026756487590732835,2025-07-05,wk inc covid prop ed visits,0,2025-07-05,02
quantile,0.05,0.0031165213076499525,2025-07-05,wk inc covid prop ed visits,0,2025-07-05,02
quantile,0.1,0.0035860545705282236,2025-07-05,wk inc covid prop ed visits,0,2025-07-05,02
