output_type,output_type_id,value,reference_date,target,horizon,target_end_date,location
quantile,0.01,0.0014062719729995782,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,02
quantile,0.025,0.001546681664791901,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,02
quantile,0.05,0.0018273826258082655,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,02
quantile,0.1,0.0021079258010118043,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,02
quantile,0.15,0.002248138260503021,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,02
quantile,0.2,0.002388311323405451,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,02
quantile,0.25,0.0025284450063211127,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,02
quantile,0.3,0.0025284450063211127,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,02
quantile,0.35,0.0026685393258426967,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,02
quantile,0.4,0.002808594298553574,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,02
quantile,0.45,0.0029486099410278013,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,02
quantile,0.5,0.0029486099410278013,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,02
quantile,0.55,0.003088586269830128,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,02
quantile,0.6,0.0032285233015160023,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,02
quantile,0.65,0.003368421052631579,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,02
quantile,0.7,0.0035082795397137242,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,02
quantile,0.75,0.003648098779290024,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,02
quantile,0.8,0.003787878787878788,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,02
quantile,0.85,0.003927619581989059,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,02
quantile,0.9,0.004206983592763988,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,02
quantile,0.95,0.004486190943502033,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,02
quantile,0.975,0.0049047085201793725,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,02
quantile,0.99,0.005183524796861866,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,02
quantile,0.01,0.002494550194395128,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,01
quantile,0.025,0.002650886790533573,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,01
quantile,0.05,0.002741080255235014,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,01
quantile,0.1,0.0028530990946465076,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,01
quantile,0.15,0.0029202983197052744,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,01
quantile,0.2,0.002987488488061277,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,01
quantile,0.25,0.003032276903034523,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,01
quantile,0.3,0.0030994519809540923,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,01
quantile,0.35,0.003144230337330998,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,01
quantile,0.4,0.00318900467121811,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,01
quantile,0.45,0.003233774983157422,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,01
quantile,0.5,0.003278541273690829,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,01
quantile,0.55,0.0033456831705400247,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,01
quantile,0.6,0.0033904394099288234,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,01
quantile,0.65,0.0034430227407849013,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,01
quantile,0.7,0.003502312424228818,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,01
quantile,0.75,0.0035694241777977326,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,01
quantile,0.8,0.003636526892340846,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,01
quantile,0.85,0.003706974952358684,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,01
quantile,0.9,0.003815423287548254,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,01
quantile,0.95,0.003949553431174544,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,01
quantile,0.975,0.00408364746006103,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,01
quantile,0.99,0.004240044868199663,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,01
quantile,0.01,0.0030460195933152217,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,05
quantile,0.025,0.0032101407523252943,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,05
quantile,0.05,0.0034562211981566822,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,05
quantile,0.1,0.003702180172768408,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,05
quantile,0.15,0.003866085382906967,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,05
quantile,0.2,0.004029936672423719,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,05
quantile,0.25,0.004193734067922046,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,05
quantile,0.3,0.0042756125637230715,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,05
quantile,0.35,0.004410681117819679,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,05
quantile,0.4,0.004521167283189478,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,05
quantile,0.45,0.004602991944764097,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,05
quantile,0.5,0.004684803156077916,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,05
quantile,0.55,0.004848385241186622,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,05
quantile,0.6,0.0049301561216105174,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,05
quantile,0.65,0.005011913565031632,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,05
quantile,0.7,0.005175388154111558,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,05
quantile,0.75,0.005257105306390669,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,05
quantile,0.8,0.005502176233883551,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,05
quantile,0.85,0.005583839710954179,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,05
quantile,0.9,0.0058287496921435025,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,05
quantile,0.95,0.006236665025439028,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,05
quantile,0.975,0.006562756357670222,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,05
quantile,0.99,0.006889448113769311,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,05
quantile,0.01,0.001198141202534055,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,04
quantile,0.025,0.0012791657896015155,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,04
quantile,0.05,0.001327677212525501,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,04
quantile,0.1,0.0013923517792960528,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,04
quantile,0.15,0.0014408522074179605,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,04
quantile,0.2,0.0014731832089491833,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,04
quantile,0.25,0.0015216757859293553,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,04
quantile,0.3,0.001554001554001554,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,04
quantile,0.35,0.0015863252290459387,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,04
quantile,0.4,0.0016186468112657818,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,04
quantile,0.45,0.0016348068176300157,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,04
quantile,0.5,0.0016671252609941245,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,04
quantile,0.55,0.0016832836980448013,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,04
quantile,0.6,0.0017155990030103907,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,04
quantile,0.65,0.0017479122159642648,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,04
quantile,0.7,0.0017802233371095647,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,04
quantile,0.75,0.001828686097130743,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,04
quantile,0.8,0.001860991989643175,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,04
quantile,0.85,0.0019094469076669147,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,04
quantile,0.9,0.0019578971214058026,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,04
quantile,0.95,0.0020547834387690716,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,04
quantile,0.975,0.0021197674623013407,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,04
quantile,0.99,0.002264639275315432,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,04
quantile,0.01,6.433776102201983e-4,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,06
quantile,0.025,6.761841402100533e-4,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,06
quantile,0.05,7.197775233109766e-4,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,06
quantile,0.1,7.633671032399481e-4,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,06
quantile,0.15,7.85160467170478e-4,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,06
quantile,0.2,8.1784873069877e-4,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,06
quantile,0.25,8.396397182299959e-4,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,06
quantile,0.3,8.505348555726389e-4,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,06
quantile,0.35,8.7232441745085e-4,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,06
quantile,0.4,8.941130289714428e-4,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,06
quantile,0.45,9.050069783670621e-4,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,06
quantile,0.5,9.267941644678021e-4,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,06
quantile,0.55,9.376874011884643e-4,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,06
quantile,0.6,9.485804003663483e-4,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,06
quantile,0.65,9.70365686124861e-4,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,06
quantile,0.7,9.92150021805495e-4,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,06
quantile,0.75,0.0010030418333860293,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,06
quantile,0.8,0.0010248247440663738,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,06
quantile,0.85,0.0010466067048242027,2026-04-04,wk inc covid prop ed visits,-1,2026-03-28,06
