reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-03-22,wk inc covid hosp,0,2025-03-22,02,quantile,0.01,7
2025-03-22,wk inc covid hosp,0,2025-03-22,02,quantile,0.025,8
2025-03-22,wk inc covid hosp,0,2025-03-22,02,quantile,0.05,9
2025-03-22,wk inc covid hosp,0,2025-03-22,02,quantile,0.1,11
2025-03-22,wk inc covid hosp,0,2025-03-22,02,quantile,0.15,12
2025-03-22,wk inc covid hosp,0,2025-03-22,02,quantile,0.2,13
2025-03-22,wk inc covid hosp,0,2025-03-22,02,quantile,0.25,14
2025-03-22,wk inc covid hosp,0,2025-03-22,02,quantile,0.3,15
2025-03-22,wk inc covid hosp,0,2025-03-22,02,quantile,0.35,16
2025-03-22,wk inc covid hosp,0,2025-03-22,02,quantile,0.4,16
2025-03-22,wk inc covid hosp,0,2025-03-22,02,quantile,0.45,17
2025-03-22,wk inc covid hosp,0,2025-03-22,02,quantile,0.5,18
2025-03-22,wk inc covid hosp,0,2025-03-22,02,quantile,0.55,18
2025-03-22,wk inc covid hosp,0,2025-03-22,02,quantile,0.6,19
2025-03-22,wk inc covid hosp,0,2025-03-22,02,quantile,0.65,20
2025-03-22,wk inc covid hosp,0,2025-03-22,02,quantile,0.7,21
2025-03-22,wk inc covid hosp,0,2025-03-22,02,quantile,0.75,22
2025-03-22,wk inc covid hosp,0,2025-03-22,02,quantile,0.8,23
2025-03-22,wk inc covid hosp,0,2025-03-22,02,quantile,0.85,24
2025-03-22,wk inc covid hosp,0,2025-03-22,02,quantile,0.9,25
2025-03-22,wk inc covid hosp,0,2025-03-22,02,quantile,0.95,28
2025-03-22,wk inc covid hosp,0,2025-03-22,02,quantile,0.975,30
2025-03-22,wk inc covid hosp,0,2025-03-22,02,quantile,0.99,32
2025-03-22,wk inc covid hosp,1,2025-03-29,02,quantile,0.01,4
2025-03-22,wk inc covid hosp,1,2025-03-29,02,quantile,0.025,5
2025-03-22,wk inc covid hosp,1,2025-03-29,02,quantile,0.05,6
2025-03-22,wk inc covid hosp,1,2025-03-29,02,quantile,0.1,8
2025-03-22,wk inc covid hosp,1,2025-03-29,02,quantile,0.15,10
2025-03-22,wk inc covid hosp,1,2025-03-29,02,quantile,0.2,11
2025-03-22,wk inc covid hosp,1,2025-03-29,02,quantile,0.25,12
2025-03-22,wk inc covid hosp,1,2025-03-29,02,quantile,0.3,13
2025-03-22,wk inc covid hosp,1,2025-03-29,02,quantile,0.35,13
2025-03-22,wk inc covid hosp,1,2025-03-29,02,quantile,0.4,14
2025-03-22,wk inc covid hosp,1,2025-03-29,02,quantile,0.45,15
2025-03-22,wk inc covid hosp,1,2025-03-29,02,quantile,0.5,16
2025-03-22,wk inc covid hosp,1,2025-03-29,02,quantile,0.55,17
2025-03-22,wk inc covid hosp,1,2025-03-29,02,quantile,0.6,17
2025-03-22,wk inc covid hosp,1,2025-03-29,02,quantile,0.65,18
2025-03-22,wk inc covid hosp,1,2025-03-29,02,quantile,0.7,19
2025-03-22,wk inc covid hosp,1,2025-03-29,02,quantile,0.75,20.25
2025-03-22,wk inc covid hosp,1,2025-03-29,02,quantile,0.8,22
2025-03-22,wk inc covid hosp,1,2025-03-29,02,quantile,0.85,23
2025-03-22,wk inc covid hosp,1,2025-03-29,02,quantile,0.9,25
2025-03-22,wk inc covid hosp,1,2025-03-29,02,quantile,0.95,29
2025-03-22,wk inc covid hosp,1,2025-03-29,02,quantile,0.975,32
2025-03-22,wk inc covid hosp,1,2025-03-29,02,quantile,0.99,35
2025-03-22,wk inc covid hosp,0,2025-03-22,01,quantile,0.01,150.99
