output_type,output_type_id,value,reference_date,target,horizon,target_end_date,location
quantile,0.01,0,2026-01-24,wk inc covid hosp,0,2026-01-24,02
quantile,0.025,1,2026-01-24,wk inc covid hosp,0,2026-01-24,02
quantile,0.05,2,2026-01-24,wk inc covid hosp,0,2026-01-24,02
quantile,0.1,3,2026-01-24,wk inc covid hosp,0,2026-01-24,02
quantile,0.15,3,2026-01-24,wk inc covid hosp,0,2026-01-24,02
quantile,0.2,4,2026-01-24,wk inc covid hosp,0,2026-01-24,02
quantile,0.25,4,2026-01-24,wk inc covid hosp,0,2026-01-24,02
quantile,0.3,5,2026-01-24,wk inc covid hosp,0,2026-01-24,02
quantile,0.35,5,2026-01-24,wk inc covid hosp,0,2026-01-24,02
quantile,0.4,6,2026-01-24,wk inc covid hosp,0,2026-01-24,02
quantile,0.45,6,2026-01-24,wk inc covid hosp,0,2026-01-24,02
quantile,0.5,7,2026-01-24,wk inc covid hosp,0,2026-01-24,02
quantile,0.55,7,2026-01-24,wk inc covid hosp,0,2026-01-24,02
quantile,0.6,8,2026-01-24,wk inc covid hosp,0,2026-01-24,02
quantile,0.65,8,2026-01-24,wk inc covid hosp,0,2026-01-24,02
quantile,0.7,9,2026-01-24,wk inc covid hosp,0,2026-01-24,02
quantile,0.75,10,2026-01-24,wk inc covid hosp,0,2026-01-24,02
quantile,0.8,10,2026-01-24,wk inc covid hosp,0,2026-01-24,02
quantile,0.85,11,2026-01-24,wk inc covid hosp,0,2026-01-24,02
quantile,0.9,12,2026-01-24,wk inc covid hosp,0,2026-01-24,02
quantile,0.95,15,2026-01-24,wk inc covid hosp,0,2026-01-24,02
quantile,0.975,17,2026-01-24,wk inc covid hosp,0,2026-01-24,02
quantile,0.99,20.00999999999999,2026-01-24,wk inc covid hosp,0,2026-01-24,02
quantile,0.01,5.74055709033789e-4,2026-01-24,wk inc covid prop ed visits,0,2026-01-24,02
quantile,0.025,8.105725532557369e-4,2026-01-24,wk inc covid prop ed visits,0,2026-01-24,02
quantile,0.05,9.730511722882009e-4,2026-01-24,wk inc covid prop ed visits,0,2026-01-24,02
quantile,0.1,0.0011740014166519452,2026-01-24,wk inc covid prop ed visits,0,2026-01-24,02
quantile,0.15,0.0013265020837424867,2026-01-24,wk inc covid prop ed visits,0,2026-01-24,02
quantile,0.2,0.0014593251353526664,2026-01-24,wk inc covid prop ed visits,0,2026-01-24,02
quantile,0.25,0.0015931337251930146,2026-01-24,wk inc covid prop ed visits,0,2026-01-24,02
quantile,0.3,0.0017276983815593297,2026-01-24,wk inc covid prop ed visits,0,2026-01-24,02
quantile,0.35,0.001835425908785736,2026-01-24,wk inc covid prop ed visits,0,2026-01-24,02
quantile,0.4,0.0019467669022285325,2026-01-24,wk inc covid prop ed visits,0,2026-01-24,02
quantile,0.45,0.0020543425893917206,2026-01-24,wk inc covid prop ed visits,0,2026-01-24,02
quantile,0.5,0.0021779468676874653,2026-01-24,wk inc covid prop ed visits,0,2026-01-24,02
quantile,0.55,0.002284035102898519,2026-01-24,wk inc covid prop ed visits,0,2026-01-24,02
quantile,0.6,0.0023929365763144346,2026-01-24,wk inc covid prop ed visits,0,2026-01-24,02
quantile,0.65,0.0025399685270634798,2026-01-24,wk inc covid prop ed visits,0,2026-01-24,02
quantile,0.7,0.0026790774006736425,2026-01-24,wk inc covid prop ed visits,0,2026-01-24,02
quantile,0.75,0.0028358149916915326,2026-01-24,wk inc covid prop ed visits,0,2026-01-24,02
quantile,0.8,0.003000258897587606,2026-01-24,wk inc covid prop ed visits,0,2026-01-24,02
quantile,0.85,0.003281573054068325,2026-01-24,wk inc covid prop ed visits,0,2026-01-24,02
quantile,0.9,0.003579154841333647,2026-01-24,wk inc covid prop ed visits,0,2026-01-24,02
quantile,0.95,0.004029297837080642,2026-01-24,wk inc covid prop ed visits,0,2026-01-24,02
quantile,0.975,0.004471332263536161,2026-01-24,wk inc covid prop ed visits,0,2026-01-24,02
quantile,0.99,0.005184003465065724,2026-01-24,wk inc covid prop ed visits,0,2026-01-24,02
quantile,0.01,0,2026-01-24,wk inc covid hosp,1,2026-01-31,02
quantile,0.025,1,2026-01-24,wk inc covid hosp,1,2026-01-31,02
quantile,0.05,1,2026-01-24,wk inc covid hosp,1,2026-01-31,02
quantile,0.1,2,2026-01-24,wk inc covid hosp,1,2026-01-31,02
quantile,0.15,2,2026-01-24,wk inc covid hosp,1,2026-01-31,02
quantile,0.2,3,2026-01-24,wk inc covid hosp,1,2026-01-31,02
quantile,0.25,3,2026-01-24,wk inc covid hosp,1,2026-01-31,02
quantile,0.3,4,2026-01-24,wk inc covid hosp,1,2026-01-31,02
quantile,0.35,4,2026-01-24,wk inc covid hosp,1,2026-01-31,02
quantile,0.4,5,2026-01-24,wk inc covid hosp,1,2026-01-31,02
quantile,0.45,5,2026-01-24,wk inc covid hosp,1,2026-01-31,02
quantile,0.5,6,2026-01-24,wk inc covid hosp,1,2026-01-31,02
