reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-03-29,wk inc covid hosp,0,2025-03-29,02,quantile,0.01,1
2025-03-29,wk inc covid hosp,0,2025-03-29,02,quantile,0.025,2
2025-03-29,wk inc covid hosp,0,2025-03-29,02,quantile,0.05,2
2025-03-29,wk inc covid hosp,0,2025-03-29,02,quantile,0.1,3
2025-03-29,wk inc covid hosp,0,2025-03-29,02,quantile,0.15,4
2025-03-29,wk inc covid hosp,0,2025-03-29,02,quantile,0.2,5
2025-03-29,wk inc covid hosp,0,2025-03-29,02,quantile,0.25,5
2025-03-29,wk inc covid hosp,0,2025-03-29,02,quantile,0.3,6
2025-03-29,wk inc covid hosp,0,2025-03-29,02,quantile,0.35,6
2025-03-29,wk inc covid hosp,0,2025-03-29,02,quantile,0.4,7
2025-03-29,wk inc covid hosp,0,2025-03-29,02,quantile,0.45,8
2025-03-29,wk inc covid hosp,0,2025-03-29,02,quantile,0.5,8
2025-03-29,wk inc covid hosp,0,2025-03-29,02,quantile,0.55,9
2025-03-29,wk inc covid hosp,0,2025-03-29,02,quantile,0.6,9
2025-03-29,wk inc covid hosp,0,2025-03-29,02,quantile,0.65,10
2025-03-29,wk inc covid hosp,0,2025-03-29,02,quantile,0.7,11
2025-03-29,wk inc covid hosp,0,2025-03-29,02,quantile,0.75,11
2025-03-29,wk inc covid hosp,0,2025-03-29,02,quantile,0.8,12
2025-03-29,wk inc covid hosp,0,2025-03-29,02,quantile,0.85,13
2025-03-29,wk inc covid hosp,0,2025-03-29,02,quantile,0.9,15
2025-03-29,wk inc covid hosp,0,2025-03-29,02,quantile,0.95,18
2025-03-29,wk inc covid hosp,0,2025-03-29,02,quantile,0.975,21
2025-03-29,wk inc covid hosp,0,2025-03-29,02,quantile,0.99,25.00999999999999
2025-03-29,wk inc covid hosp,1,2025-04-05,02,quantile,0.01,0
2025-03-29,wk inc covid hosp,1,2025-04-05,02,quantile,0.025,1
2025-03-29,wk inc covid hosp,1,2025-04-05,02,quantile,0.05,1
2025-03-29,wk inc covid hosp,1,2025-04-05,02,quantile,0.1,2
2025-03-29,wk inc covid hosp,1,2025-04-05,02,quantile,0.15,3
2025-03-29,wk inc covid hosp,1,2025-04-05,02,quantile,0.2,3
2025-03-29,wk inc covid hosp,1,2025-04-05,02,quantile,0.25,4
2025-03-29,wk inc covid hosp,1,2025-04-05,02,quantile,0.3,4
2025-03-29,wk inc covid hosp,1,2025-04-05,02,quantile,0.35,5
2025-03-29,wk inc covid hosp,1,2025-04-05,02,quantile,0.4,5.600000000000023
2025-03-29,wk inc covid hosp,1,2025-04-05,02,quantile,0.45,6
2025-03-29,wk inc covid hosp,1,2025-04-05,02,quantile,0.5,7
2025-03-29,wk inc covid hosp,1,2025-04-05,02,quantile,0.55,8
2025-03-29,wk inc covid hosp,1,2025-04-05,02,quantile,0.6,8
2025-03-29,wk inc covid hosp,1,2025-04-05,02,quantile,0.65,9
2025-03-29,wk inc covid hosp,1,2025-04-05,02,quantile,0.7,10
2025-03-29,wk inc covid hosp,1,2025-04-05,02,quantile,0.75,11
2025-03-29,wk inc covid hosp,1,2025-04-05,02,quantile,0.8,12
2025-03-29,wk inc covid hosp,1,2025-04-05,02,quantile,0.85,14
2025-03-29,wk inc covid hosp,1,2025-04-05,02,quantile,0.9,17
2025-03-29,wk inc covid hosp,1,2025-04-05,02,quantile,0.95,21.049999999999955
2025-03-29,wk inc covid hosp,1,2025-04-05,02,quantile,0.975,26
2025-03-29,wk inc covid hosp,1,2025-04-05,02,quantile,0.99,33.00999999999999
2025-03-29,wk inc covid hosp,0,2025-03-29,01,quantile,0.01,109
2025-03-29,wk inc covid hosp,0,2025-03-29,01,quantile,0.025,117.975
2025-03-29,wk inc covid hosp,0,2025-03-29,01,quantile,0.05,129
2025-03-29,wk inc covid hosp,0,2025-03-29,01,quantile,0.1,144
2025-03-29,wk inc covid hosp,0,2025-03-29,01,quantile,0.15,154
2025-03-29,wk inc covid hosp,0,2025-03-29,01,quantile,0.2,160.8
2025-03-29,wk inc covid hosp,0,2025-03-29,01,quantile,0.25,167
2025-03-29,wk inc covid hosp,0,2025-03-29,01,quantile,0.3,173
2025-03-29,wk inc covid hosp,0,2025-03-29,01,quantile,0.35,179
2025-03-29,wk inc covid hosp,0,2025-03-29,01,quantile,0.4,184
2025-03-29,wk inc covid hosp,0,2025-03-29,01,quantile,0.45,190
2025-03-29,wk inc covid hosp,0,2025-03-29,01,quantile,0.5,195
2025-03-29,wk inc covid hosp,0,2025-03-29,01,quantile,0.55,200
2025-03-29,wk inc covid hosp,0,2025-03-29,01,quantile,0.6,206
2025-03-29,wk inc covid hosp,0,2025-03-29,01,quantile,0.65,211
2025-03-29,wk inc covid hosp,0,2025-03-29,01,quantile,0.7,217
2025-03-29,wk inc covid hosp,0,2025-03-29,01,quantile,0.75,223
2025-03-29,wk inc covid hosp,0,2025-03-29,01,quantile,0.8,230.20000000000005
2025-03-29,wk inc covid hosp,0,2025-03-29,01,quantile,0.85,239
2025-03-29,wk inc covid hosp,0,2025-03-29,01,quantile,0.9,251.10000000000014
2025-03-29,wk inc covid hosp,0,2025-03-29,01,quantile,0.95,273
2025-03-29,wk inc covid hosp,0,2025-03-29,01,quantile,0.975,289
2025-03-29,wk inc covid hosp,0,2025-03-29,01,quantile,0.99,316.02
2025-03-29,wk inc covid hosp,1,2025-04-05,01,quantile,0.01,60
2025-03-29,wk inc covid hosp,1,2025-04-05,01,quantile,0.025,70
2025-03-29,wk inc covid hosp,1,2025-04-05,01,quantile,0.05,82
2025-03-29,wk inc covid hosp,1,2025-04-05,01,quantile,0.1,100
2025-03-29,wk inc covid hosp,1,2025-04-05,01,quantile,0.15,112
2025-03-29,wk inc covid hosp,1,2025-04-05,01,quantile,0.2,122
2025-03-29,wk inc covid hosp,1,2025-04-05,01,quantile,0.25,132
2025-03-29,wk inc covid hosp,1,2025-04-05,01,quantile,0.3,141
2025-03-29,wk inc covid hosp,1,2025-04-05,01,quantile,0.35,152
2025-03-29,wk inc covid hosp,1,2025-04-05,01,quantile,0.4,159
2025-03-29,wk inc covid hosp,1,2025-04-05,01,quantile,0.45,167
2025-03-29,wk inc covid hosp,1,2025-04-05,01,quantile,0.5,177
2025-03-29,wk inc covid hosp,1,2025-04-05,01,quantile,0.55,186
2025-03-29,wk inc covid hosp,1,2025-04-05,01,quantile,0.6,196
2025-03-29,wk inc covid hosp,1,2025-04-05,01,quantile,0.65,204
2025-03-29,wk inc covid hosp,1,2025-04-05,01,quantile,0.7,213
2025-03-29,wk inc covid hosp,1,2025-04-05,01,quantile,0.75,226
2025-03-29,wk inc covid hosp,1,2025-04-05,01,quantile,0.8,239
2025-03-29,wk inc covid hosp,1,2025-04-05,01,quantile,0.85,254
2025-03-29,wk inc covid hosp,1,2025-04-05,01,quantile,0.9,278
2025-03-29,wk inc covid hosp,1,2025-04-05,01,quantile,0.95,328
2025-03-29,wk inc covid hosp,1,2025-04-05,01,quantile,0.975,367.02499999999986
2025-03-29,wk inc covid hosp,1,2025-04-05,01,quantile,0.99,432.1099999999999
2025-03-29,wk inc covid hosp,0,2025-03-29,05,quantile,0.01,8
2025-03-29,wk inc covid hosp,0,2025-03-29,05,quantile,0.025,11
2025-03-29,wk inc covid hosp,0,2025-03-29,05,quantile,0.05,12
2025-03-29,wk inc covid hosp,0,2025-03-29,05,quantile,0.1,15
2025-03-29,wk inc covid hosp,0,2025-03-29,05,quantile,0.15,17
2025-03-29,wk inc covid hosp,0,2025-03-29,05,quantile,0.2,19
2025-03-29,wk inc covid hosp,0,2025-03-29,05,quantile,0.25,21
2025-03-29,wk inc covid hosp,0,2025-03-29,05,quantile,0.3,23
2025-03-29,wk inc covid hosp,0,2025-03-29,05,quantile,0.35,25
2025-03-29,wk inc covid hosp,0,2025-03-29,05,quantile,0.4,27
2025-03-29,wk inc covid hosp,0,2025-03-29,05,quantile,0.45,29
2025-03-29,wk inc covid hosp,0,2025-03-29,05,quantile,0.5,31
2025-03-29,wk inc covid hosp,0,2025-03-29,05,quantile,0.55,33
2025-03-29,wk inc covid hosp,0,2025-03-29,05,quantile,0.6,36
2025-03-29,wk inc covid hosp,0,2025-03-29,05,quantile,0.65,40
2025-03-29,wk inc covid hosp,0,2025-03-29,05,quantile,0.7,44
2025-03-29,wk inc covid hosp,0,2025-03-29,05,quantile,0.75,48
2025-03-29,wk inc covid hosp,0,2025-03-29,05,quantile,0.8,54
2025-03-29,wk inc covid hosp,0,2025-03-29,05,quantile,0.85,63
2025-03-29,wk inc covid hosp,0,2025-03-29,05,quantile,0.9,73
2025-03-29,wk inc covid hosp,0,2025-03-29,05,quantile,0.95,93.04999999999995
2025-03-29,wk inc covid hosp,0,2025-03-29,05,quantile,0.975,118.52499999999986
2025-03-29,wk inc covid hosp,0,2025-03-29,05,quantile,0.99,155.01999999999998
2025-03-29,wk inc covid hosp,1,2025-04-05,05,quantile,0.01,1
2025-03-29,wk inc covid hosp,1,2025-04-05,05,quantile,0.025,2
2025-03-29,wk inc covid hosp,1,2025-04-05,05,quantile,0.05,3.950000000000003
2025-03-29,wk inc covid hosp,1,2025-04-05,05,quantile,0.1,5
2025-03-29,wk inc covid hosp,1,2025-04-05,05,quantile,0.15,7
2025-03-29,wk inc covid hosp,1,2025-04-05,05,quantile,0.2,8
2025-03-29,wk inc covid hosp,1,2025-04-05,05,quantile,0.25,9
2025-03-29,wk inc covid hosp,1,2025-04-05,05,quantile,0.3,11
2025-03-29,wk inc covid hosp,1,2025-04-05,05,quantile,0.35,13
2025-03-29,wk inc covid hosp,1,2025-04-05,05,quantile,0.4,14
2025-03-29,wk inc covid hosp,1,2025-04-05,05,quantile,0.45,16
2025-03-29,wk inc covid hosp,1,2025-04-05,05,quantile,0.5,18
2025-03-29,wk inc covid hosp,1,2025-04-05,05,quantile,0.55,20
2025-03-29,wk inc covid hosp,1,2025-04-05,05,quantile,0.6,23
2025-03-29,wk inc covid hosp,1,2025-04-05,05,quantile,0.65,26
2025-03-29,wk inc covid hosp,1,2025-04-05,05,quantile,0.7,30
2025-03-29,wk inc covid hosp,1,2025-04-05,05,quantile,0.75,34
2025-03-29,wk inc covid hosp,1,2025-04-05,05,quantile,0.8,41
2025-03-29,wk inc covid hosp,1,2025-04-05,05,quantile,0.85,50
2025-03-29,wk inc covid hosp,1,2025-04-05,05,quantile,0.9,67
2025-03-29,wk inc covid hosp,1,2025-04-05,05,quantile,0.95,94
2025-03-29,wk inc covid hosp,1,2025-04-05,05,quantile,0.975,137.52499999999986
2025-03-29,wk inc covid hosp,1,2025-04-05,05,quantile,0.99,185.03999999999996
2025-03-29,wk inc covid hosp,0,2025-03-29,04,quantile,0.01,87
2025-03-29,wk inc covid hosp,0,2025-03-29,04,quantile,0.025,96
2025-03-29,wk inc covid hosp,0,2025-03-29,04,quantile,0.05,104
2025-03-29,wk inc covid hosp,0,2025-03-29,04,quantile,0.1,117
2025-03-29,wk inc covid hosp,0,2025-03-29,04,quantile,0.15,125
2025-03-29,wk inc covid hosp,0,2025-03-29,04,quantile,0.2,133
2025-03-29,wk inc covid hosp,0,2025-03-29,04,quantile,0.25,141
2025-03-29,wk inc covid hosp,0,2025-03-29,04,quantile,0.3,147
2025-03-29,wk inc covid hosp,0,2025-03-29,04,quantile,0.35,153
2025-03-29,wk inc covid hosp,0,2025-03-29,04,quantile,0.4,158
2025-03-29,wk inc covid hosp,0,2025-03-29,04,quantile,0.45,164
2025-03-29,wk inc covid hosp,0,2025-03-29,04,quantile,0.5,170
2025-03-29,wk inc covid hosp,0,2025-03-29,04,quantile,0.55,176
2025-03-29,wk inc covid hosp,0,2025-03-29,04,quantile,0.6,182
2025-03-29,wk inc covid hosp,0,2025-03-29,04,quantile,0.65,187
2025-03-29,wk inc covid hosp,0,2025-03-29,04,quantile,0.7,196
2025-03-29,wk inc covid hosp,0,2025-03-29,04,quantile,0.75,204
2025-03-29,wk inc covid hosp,0,2025-03-29,04,quantile,0.8,214
2025-03-29,wk inc covid hosp,0,2025-03-29,04,quantile,0.85,228
2025-03-29,wk inc covid hosp,0,2025-03-29,04,quantile,0.9,245.10000000000014
2025-03-29,wk inc covid hosp,0,2025-03-29,04,quantile,0.95,273
2025-03-29,wk inc covid hosp,0,2025-03-29,04,quantile,0.975,309.09999999999945
2025-03-29,wk inc covid hosp,0,2025-03-29,04,quantile,0.99,348.05999999999995
2025-03-29,wk inc covid hosp,1,2025-04-05,04,quantile,0.01,52.99
2025-03-29,wk inc covid hosp,1,2025-04-05,04,quantile,0.025,61
2025-03-29,wk inc covid hosp,1,2025-04-05,04,quantile,0.05,74
2025-03-29,wk inc covid hosp,1,2025-04-05,04,quantile,0.1,92
2025-03-29,wk inc covid hosp,1,2025-04-05,04,quantile,0.15,102.85
2025-03-29,wk inc covid hosp,1,2025-04-05,04,quantile,0.2,112
2025-03-29,wk inc covid hosp,1,2025-04-05,04,quantile,0.25,123
2025-03-29,wk inc covid hosp,1,2025-04-05,04,quantile,0.3,132
2025-03-29,wk inc covid hosp,1,2025-04-05,04,quantile,0.35,140
2025-03-29,wk inc covid hosp,1,2025-04-05,04,quantile,0.4,149
2025-03-29,wk inc covid hosp,1,2025-04-05,04,quantile,0.45,157
2025-03-29,wk inc covid hosp,1,2025-04-05,04,quantile,0.5,167
2025-03-29,wk inc covid hosp,1,2025-04-05,04,quantile,0.55,175
2025-03-29,wk inc covid hosp,1,2025-04-05,04,quantile,0.6,186
2025-03-29,wk inc covid hosp,1,2025-04-05,04,quantile,0.65,198
2025-03-29,wk inc covid hosp,1,2025-04-05,04,quantile,0.7,213
2025-03-29,wk inc covid hosp,1,2025-04-05,04,quantile,0.75,227
2025-03-29,wk inc covid hosp,1,2025-04-05,04,quantile,0.8,244
2025-03-29,wk inc covid hosp,1,2025-04-05,04,quantile,0.85,271.14999999999986
2025-03-29,wk inc covid hosp,1,2025-04-05,04,quantile,0.9,306
2025-03-29,wk inc covid hosp,1,2025-04-05,04,quantile,0.95,383.0999999999999
2025-03-29,wk inc covid hosp,1,2025-04-05,04,quantile,0.975,481.5749999999996
2025-03-29,wk inc covid hosp,1,2025-04-05,04,quantile,0.99,625.01
2025-03-29,wk inc covid hosp,0,2025-03-29,08,quantile,0.01,25
2025-03-29,wk inc covid hosp,0,2025-03-29,08,quantile,0.025,28
2025-03-29,wk inc covid hosp,0,2025-03-29,08,quantile,0.05,31.950000000000003
2025-03-29,wk inc covid hosp,0,2025-03-29,08,quantile,0.1,37
2025-03-29,wk inc covid hosp,0,2025-03-29,08,quantile,0.15,41
2025-03-29,wk inc covid hosp,0,2025-03-29,08,quantile,0.2,44
2025-03-29,wk inc covid hosp,0,2025-03-29,08,quantile,0.25,47
2025-03-29,wk inc covid hosp,0,2025-03-29,08,quantile,0.3,50
2025-03-29,wk inc covid hosp,0,2025-03-29,08,quantile,0.35,53
2025-03-29,wk inc covid hosp,0,2025-03-29,08,quantile,0.4,55
2025-03-29,wk inc covid hosp,0,2025-03-29,08,quantile,0.45,58
2025-03-29,wk inc covid hosp,0,2025-03-29,08,quantile,0.5,60
2025-03-29,wk inc covid hosp,0,2025-03-29,08,quantile,0.55,62
2025-03-29,wk inc covid hosp,0,2025-03-29,08,quantile,0.6,66
2025-03-29,wk inc covid hosp,0,2025-03-29,08,quantile,0.65,68.35000000000002
2025-03-29,wk inc covid hosp,0,2025-03-29,08,quantile,0.7,71
2025-03-29,wk inc covid hosp,0,2025-03-29,08,quantile,0.75,75
2025-03-29,wk inc covid hosp,0,2025-03-29,08,quantile,0.8,79
2025-03-29,wk inc covid hosp,0,2025-03-29,08,quantile,0.85,85
2025-03-29,wk inc covid hosp,0,2025-03-29,08,quantile,0.9,91
2025-03-29,wk inc covid hosp,0,2025-03-29,08,quantile,0.95,102
2025-03-29,wk inc covid hosp,0,2025-03-29,08,quantile,0.975,112.52499999999986
2025-03-29,wk inc covid hosp,0,2025-03-29,08,quantile,0.99,132.01
2025-03-29,wk inc covid hosp,1,2025-04-05,08,quantile,0.01,10
2025-03-29,wk inc covid hosp,1,2025-04-05,08,quantile,0.025,13
