output_type,output_type_id,value,reference_date,target,horizon,target_end_date,location
quantile,0.01,5,2025-06-07,wk inc covid hosp,0,2025-06-07,02
quantile,0.025,6,2025-06-07,wk inc covid hosp,0,2025-06-07,02
quantile,0.05,7,2025-06-07,wk inc covid hosp,0,2025-06-07,02
quantile,0.1,8,2025-06-07,wk inc covid hosp,0,2025-06-07,02
quantile,0.15,10,2025-06-07,wk inc covid hosp,0,2025-06-07,02
quantile,0.2,11,2025-06-07,wk inc covid hosp,0,2025-06-07,02
quantile,0.25,12,2025-06-07,wk inc covid hosp,0,2025-06-07,02
quantile,0.3,13,2025-06-07,wk inc covid hosp,0,2025-06-07,02
quantile,0.35,13,2025-06-07,wk inc covid hosp,0,2025-06-07,02
quantile,0.4,14,2025-06-07,wk inc covid hosp,0,2025-06-07,02
quantile,0.45,15,2025-06-07,wk inc covid hosp,0,2025-06-07,02
quantile,0.5,16,2025-06-07,wk inc covid hosp,0,2025-06-07,02
quantile,0.55,17,2025-06-07,wk inc covid hosp,0,2025-06-07,02
quantile,0.6,18,2025-06-07,wk inc covid hosp,0,2025-06-07,02
quantile,0.65,19,2025-06-07,wk inc covid hosp,0,2025-06-07,02
quantile,0.7,20,2025-06-07,wk inc covid hosp,0,2025-06-07,02
quantile,0.75,21,2025-06-07,wk inc covid hosp,0,2025-06-07,02
quantile,0.8,23,2025-06-07,wk inc covid hosp,0,2025-06-07,02
quantile,0.85,24,2025-06-07,wk inc covid hosp,0,2025-06-07,02
quantile,0.9,27,2025-06-07,wk inc covid hosp,0,2025-06-07,02
quantile,0.95,31,2025-06-07,wk inc covid hosp,0,2025-06-07,02
quantile,0.975,36,2025-06-07,wk inc covid hosp,0,2025-06-07,02
quantile,0.99,41,2025-06-07,wk inc covid hosp,0,2025-06-07,02
quantile,0.01,3,2025-06-07,wk inc covid hosp,1,2025-06-14,02
quantile,0.025,4,2025-06-07,wk inc covid hosp,1,2025-06-14,02
quantile,0.05,6,2025-06-07,wk inc covid hosp,1,2025-06-14,02
quantile,0.1,8,2025-06-07,wk inc covid hosp,1,2025-06-14,02
quantile,0.15,10,2025-06-07,wk inc covid hosp,1,2025-06-14,02
quantile,0.2,11,2025-06-07,wk inc covid hosp,1,2025-06-14,02
quantile,0.25,13,2025-06-07,wk inc covid hosp,1,2025-06-14,02
quantile,0.3,14,2025-06-07,wk inc covid hosp,1,2025-06-14,02
quantile,0.35,15,2025-06-07,wk inc covid hosp,1,2025-06-14,02
quantile,0.4,17,2025-06-07,wk inc covid hosp,1,2025-06-14,02
quantile,0.45,18,2025-06-07,wk inc covid hosp,1,2025-06-14,02
quantile,0.5,20,2025-06-07,wk inc covid hosp,1,2025-06-14,02
quantile,0.55,22,2025-06-07,wk inc covid hosp,1,2025-06-14,02
