reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-01-18,wk inc covid hosp,-1,2025-01-11,02,quantile,0.01,3
2025-01-18,wk inc covid hosp,-1,2025-01-11,02,quantile,0.025,4
2025-01-18,wk inc covid hosp,-1,2025-01-11,02,quantile,0.05,5
2025-01-18,wk inc covid hosp,-1,2025-01-11,02,quantile,0.1,6
2025-01-18,wk inc covid hosp,-1,2025-01-11,02,quantile,0.15,7
2025-01-18,wk inc covid hosp,-1,2025-01-11,02,quantile,0.2,8
2025-01-18,wk inc covid hosp,-1,2025-01-11,02,quantile,0.25,8
2025-01-18,wk inc covid hosp,-1,2025-01-11,02,quantile,0.3,9
2025-01-18,wk inc covid hosp,-1,2025-01-11,02,quantile,0.35,10
2025-01-18,wk inc covid hosp,-1,2025-01-11,02,quantile,0.4,10
2025-01-18,wk inc covid hosp,-1,2025-01-11,02,quantile,0.45,11
2025-01-18,wk inc covid hosp,-1,2025-01-11,02,quantile,0.5,11
2025-01-18,wk inc covid hosp,-1,2025-01-11,02,quantile,0.55,12
2025-01-18,wk inc covid hosp,-1,2025-01-11,02,quantile,0.6,12
2025-01-18,wk inc covid hosp,-1,2025-01-11,02,quantile,0.65,13
2025-01-18,wk inc covid hosp,-1,2025-01-11,02,quantile,0.7,13
2025-01-18,wk inc covid hosp,-1,2025-01-11,02,quantile,0.75,14
2025-01-18,wk inc covid hosp,-1,2025-01-11,02,quantile,0.8,15
2025-01-18,wk inc covid hosp,-1,2025-01-11,02,quantile,0.85,16
2025-01-18,wk inc covid hosp,-1,2025-01-11,02,quantile,0.9,17
2025-01-18,wk inc covid hosp,-1,2025-01-11,02,quantile,0.95,20
2025-01-18,wk inc covid hosp,-1,2025-01-11,02,quantile,0.975,23
2025-01-18,wk inc covid hosp,-1,2025-01-11,02,quantile,0.99,24.00999999999999
2025-01-18,wk inc covid hosp,0,2025-01-18,02,quantile,0.01,2
2025-01-18,wk inc covid hosp,0,2025-01-18,02,quantile,0.025,3
2025-01-18,wk inc covid hosp,0,2025-01-18,02,quantile,0.05,4
2025-01-18,wk inc covid hosp,0,2025-01-18,02,quantile,0.1,6
2025-01-18,wk inc covid hosp,0,2025-01-18,02,quantile,0.15,7
2025-01-18,wk inc covid hosp,0,2025-01-18,02,quantile,0.2,8
2025-01-18,wk inc covid hosp,0,2025-01-18,02,quantile,0.25,8
2025-01-18,wk inc covid hosp,0,2025-01-18,02,quantile,0.3,9
2025-01-18,wk inc covid hosp,0,2025-01-18,02,quantile,0.35,10
2025-01-18,wk inc covid hosp,0,2025-01-18,02,quantile,0.4,11
2025-01-18,wk inc covid hosp,0,2025-01-18,02,quantile,0.45,11
2025-01-18,wk inc covid hosp,0,2025-01-18,02,quantile,0.5,12
2025-01-18,wk inc covid hosp,0,2025-01-18,02,quantile,0.55,13
2025-01-18,wk inc covid hosp,0,2025-01-18,02,quantile,0.6,14
2025-01-18,wk inc covid hosp,0,2025-01-18,02,quantile,0.65,15
2025-01-18,wk inc covid hosp,0,2025-01-18,02,quantile,0.7,16
2025-01-18,wk inc covid hosp,0,2025-01-18,02,quantile,0.75,17
2025-01-18,wk inc covid hosp,0,2025-01-18,02,quantile,0.8,19
2025-01-18,wk inc covid hosp,0,2025-01-18,02,quantile,0.85,20
2025-01-18,wk inc covid hosp,0,2025-01-18,02,quantile,0.9,23
2025-01-18,wk inc covid hosp,0,2025-01-18,02,quantile,0.95,29
2025-01-18,wk inc covid hosp,0,2025-01-18,02,quantile,0.975,34
2025-01-18,wk inc covid hosp,0,2025-01-18,02,quantile,0.99,42.00999999999999
2025-01-18,wk inc covid hosp,1,2025-01-25,02,quantile,0.01,1
2025-01-18,wk inc covid hosp,1,2025-01-25,02,quantile,0.025,2
2025-01-18,wk inc covid hosp,1,2025-01-25,02,quantile,0.05,3
2025-01-18,wk inc covid hosp,1,2025-01-25,02,quantile,0.1,5
2025-01-18,wk inc covid hosp,1,2025-01-25,02,quantile,0.15,6
2025-01-18,wk inc covid hosp,1,2025-01-25,02,quantile,0.2,7
2025-01-18,wk inc covid hosp,1,2025-01-25,02,quantile,0.25,8
2025-01-18,wk inc covid hosp,1,2025-01-25,02,quantile,0.3,9
2025-01-18,wk inc covid hosp,1,2025-01-25,02,quantile,0.35,10
2025-01-18,wk inc covid hosp,1,2025-01-25,02,quantile,0.4,11
2025-01-18,wk inc covid hosp,1,2025-01-25,02,quantile,0.45,12
2025-01-18,wk inc covid hosp,1,2025-01-25,02,quantile,0.5,13
2025-01-18,wk inc covid hosp,1,2025-01-25,02,quantile,0.55,14
2025-01-18,wk inc covid hosp,1,2025-01-25,02,quantile,0.6,16
2025-01-18,wk inc covid hosp,1,2025-01-25,02,quantile,0.65,18
2025-01-18,wk inc covid hosp,1,2025-01-25,02,quantile,0.7,20
2025-01-18,wk inc covid hosp,1,2025-01-25,02,quantile,0.75,22
2025-01-18,wk inc covid hosp,1,2025-01-25,02,quantile,0.8,25
2025-01-18,wk inc covid hosp,1,2025-01-25,02,quantile,0.85,29
2025-01-18,wk inc covid hosp,1,2025-01-25,02,quantile,0.9,35
2025-01-18,wk inc covid hosp,1,2025-01-25,02,quantile,0.95,47
2025-01-18,wk inc covid hosp,1,2025-01-25,02,quantile,0.975,60.024999999999864
2025-01-18,wk inc covid hosp,1,2025-01-25,02,quantile,0.99,86.02999999999997
2025-01-18,wk inc covid hosp,-1,2025-01-11,01,quantile,0.01,158.99
2025-01-18,wk inc covid hosp,-1,2025-01-11,01,quantile,0.025,168
2025-01-18,wk inc covid hosp,-1,2025-01-11,01,quantile,0.05,176
2025-01-18,wk inc covid hosp,-1,2025-01-11,01,quantile,0.1,183
