output_type,output_type_id,value,reference_date,target,horizon,target_end_date,location
quantile,0.01,157,2026-03-07,wk inc covid hosp,-1,2026-02-28,18
quantile,0.025,163,2026-03-07,wk inc covid hosp,-1,2026-02-28,18
quantile,0.05,170,2026-03-07,wk inc covid hosp,-1,2026-02-28,18
quantile,0.1,177,2026-03-07,wk inc covid hosp,-1,2026-02-28,18
quantile,0.15,181,2026-03-07,wk inc covid hosp,-1,2026-02-28,18
quantile,0.2,186,2026-03-07,wk inc covid hosp,-1,2026-02-28,18
quantile,0.25,189.75,2026-03-07,wk inc covid hosp,-1,2026-02-28,18
quantile,0.3,192.69999999999993,2026-03-07,wk inc covid hosp,-1,2026-02-28,18
quantile,0.35,195,2026-03-07,wk inc covid hosp,-1,2026-02-28,18
quantile,0.4,198,2026-03-07,wk inc covid hosp,-1,2026-02-28,18
quantile,0.45,201,2026-03-07,wk inc covid hosp,-1,2026-02-28,18
quantile,0.5,204,2026-03-07,wk inc covid hosp,-1,2026-02-28,18
quantile,0.55,206,2026-03-07,wk inc covid hosp,-1,2026-02-28,18
quantile,0.6,209,2026-03-07,wk inc covid hosp,-1,2026-02-28,18
quantile,0.65,212,2026-03-07,wk inc covid hosp,-1,2026-02-28,18
quantile,0.7,215,2026-03-07,wk inc covid hosp,-1,2026-02-28,18
quantile,0.75,218,2026-03-07,wk inc covid hosp,-1,2026-02-28,18
quantile,0.8,224,2026-03-07,wk inc covid hosp,-1,2026-02-28,18
quantile,0.85,228,2026-03-07,wk inc covid hosp,-1,2026-02-28,18
quantile,0.9,233,2026-03-07,wk inc covid hosp,-1,2026-02-28,18
quantile,0.95,241,2026-03-07,wk inc covid hosp,-1,2026-02-28,18
quantile,0.975,249.02499999999986,2026-03-07,wk inc covid hosp,-1,2026-02-28,18
quantile,0.99,259.01,2026-03-07,wk inc covid hosp,-1,2026-02-28,18
quantile,0.01,105.99000000000001,2026-03-07,wk inc covid hosp,0,2026-03-07,18
quantile,0.025,113,2026-03-07,wk inc covid hosp,0,2026-03-07,18
quantile,0.05,123,2026-03-07,wk inc covid hosp,0,2026-03-07,18
quantile,0.1,133,2026-03-07,wk inc covid hosp,0,2026-03-07,18
quantile,0.15,140,2026-03-07,wk inc covid hosp,0,2026-03-07,18
quantile,0.2,146,2026-03-07,wk inc covid hosp,0,2026-03-07,18
quantile,0.25,152,2026-03-07,wk inc covid hosp,0,2026-03-07,18
quantile,0.3,156.69999999999993,2026-03-07,wk inc covid hosp,0,2026-03-07,18
quantile,0.35,161,2026-03-07,wk inc covid hosp,0,2026-03-07,18
quantile,0.4,166,2026-03-07,wk inc covid hosp,0,2026-03-07,18
quantile,0.45,171,2026-03-07,wk inc covid hosp,0,2026-03-07,18
quantile,0.5,176,2026-03-07,wk inc covid hosp,0,2026-03-07,18
quantile,0.55,181,2026-03-07,wk inc covid hosp,0,2026-03-07,18
quantile,0.6,185.39999999999986,2026-03-07,wk inc covid hosp,0,2026-03-07,18
quantile,0.65,190,2026-03-07,wk inc covid hosp,0,2026-03-07,18
quantile,0.7,196,2026-03-07,wk inc covid hosp,0,2026-03-07,18
quantile,0.75,202,2026-03-07,wk inc covid hosp,0,2026-03-07,18
quantile,0.8,209,2026-03-07,wk inc covid hosp,0,2026-03-07,18
quantile,0.85,216,2026-03-07,wk inc covid hosp,0,2026-03-07,18
quantile,0.9,227,2026-03-07,wk inc covid hosp,0,2026-03-07,18
quantile,0.95,243,2026-03-07,wk inc covid hosp,0,2026-03-07,18
quantile,0.975,260,2026-03-07,wk inc covid hosp,0,2026-03-07,18
quantile,0.99,285.01,2026-03-07,wk inc covid hosp,0,2026-03-07,18
quantile,0.01,57,2026-03-07,wk inc covid hosp,1,2026-03-14,18
quantile,0.025,69,2026-03-07,wk inc covid hosp,1,2026-03-14,18
quantile,0.05,77.95,2026-03-07,wk inc covid hosp,1,2026-03-14,18
quantile,0.1,89,2026-03-07,wk inc covid hosp,1,2026-03-14,18
quantile,0.15,98,2026-03-07,wk inc covid hosp,1,2026-03-14,18
quantile,0.2,106,2026-03-07,wk inc covid hosp,1,2026-03-14,18
quantile,0.25,113.75,2026-03-07,wk inc covid hosp,1,2026-03-14,18
quantile,0.3,121,2026-03-07,wk inc covid hosp,1,2026-03-14,18
quantile,0.35,127,2026-03-07,wk inc covid hosp,1,2026-03-14,18
quantile,0.4,135,2026-03-07,wk inc covid hosp,1,2026-03-14,18
quantile,0.45,143.55000000000007,2026-03-07,wk inc covid hosp,1,2026-03-14,18
quantile,0.5,152,2026-03-07,wk inc covid hosp,1,2026-03-14,18
quantile,0.55,159,2026-03-07,wk inc covid hosp,1,2026-03-14,18
quantile,0.6,168,2026-03-07,wk inc covid hosp,1,2026-03-14,18
quantile,0.65,176,2026-03-07,wk inc covid hosp,1,2026-03-14,18
quantile,0.7,187,2026-03-07,wk inc covid hosp,1,2026-03-14,18
quantile,0.75,201,2026-03-07,wk inc covid hosp,1,2026-03-14,18
quantile,0.8,215,2026-03-07,wk inc covid hosp,1,2026-03-14,18
quantile,0.85,233,2026-03-07,wk inc covid hosp,1,2026-03-14,18
quantile,0.9,256,2026-03-07,wk inc covid hosp,1,2026-03-14,18
quantile,0.95,297,2026-03-07,wk inc covid hosp,1,2026-03-14,18
quantile,0.975,336.09999999999945,2026-03-07,wk inc covid hosp,1,2026-03-14,18
quantile,0.99,405,2026-03-07,wk inc covid hosp,1,2026-03-14,18
quantile,0.01,302,2026-03-07,wk inc covid hosp,-1,2026-02-28,36
quantile,0.025,315.975,2026-03-07,wk inc covid hosp,-1,2026-02-28,36
quantile,0.05,324,2026-03-07,wk inc covid hosp,-1,2026-02-28,36
quantile,0.1,335,2026-03-07,wk inc covid hosp,-1,2026-02-28,36
quantile,0.15,342,2026-03-07,wk inc covid hosp,-1,2026-02-28,36
quantile,0.2,348,2026-03-07,wk inc covid hosp,-1,2026-02-28,36
quantile,0.25,354,2026-03-07,wk inc covid hosp,-1,2026-02-28,36
quantile,0.3,359,2026-03-07,wk inc covid hosp,-1,2026-02-28,36
quantile,0.35,363,2026-03-07,wk inc covid hosp,-1,2026-02-28,36
quantile,0.4,367,2026-03-07,wk inc covid hosp,-1,2026-02-28,36
quantile,0.45,372,2026-03-07,wk inc covid hosp,-1,2026-02-28,36
quantile,0.5,375,2026-03-07,wk inc covid hosp,-1,2026-02-28,36
quantile,0.55,379,2026-03-07,wk inc covid hosp,-1,2026-02-28,36
quantile,0.6,383,2026-03-07,wk inc covid hosp,-1,2026-02-28,36
quantile,0.65,388,2026-03-07,wk inc covid hosp,-1,2026-02-28,36
quantile,0.7,392,2026-03-07,wk inc covid hosp,-1,2026-02-28,36
quantile,0.75,397,2026-03-07,wk inc covid hosp,-1,2026-02-28,36
quantile,0.8,403,2026-03-07,wk inc covid hosp,-1,2026-02-28,36
quantile,0.85,409,2026-03-07,wk inc covid hosp,-1,2026-02-28,36
quantile,0.9,418,2026-03-07,wk inc covid hosp,-1,2026-02-28,36
quantile,0.95,431,2026-03-07,wk inc covid hosp,-1,2026-02-28,36
quantile,0.975,444.02499999999986,2026-03-07,wk inc covid hosp,-1,2026-02-28,36
quantile,0.99,459.02,2026-03-07,wk inc covid hosp,-1,2026-02-28,36
quantile,0.01,256,2026-03-07,wk inc covid hosp,0,2026-03-07,36
quantile,0.025,272,2026-03-07,wk inc covid hosp,0,2026-03-07,36
quantile,0.05,289,2026-03-07,wk inc covid hosp,0,2026-03-07,36
quantile,0.1,307.9,2026-03-07,wk inc covid hosp,0,2026-03-07,36
quantile,0.15,319,2026-03-07,wk inc covid hosp,0,2026-03-07,36
quantile,0.2,330,2026-03-07,wk inc covid hosp,0,2026-03-07,36
quantile,0.25,338,2026-03-07,wk inc covid hosp,0,2026-03-07,36
quantile,0.3,348,2026-03-07,wk inc covid hosp,0,2026-03-07,36
quantile,0.35,356,2026-03-07,wk inc covid hosp,0,2026-03-07,36
