geo_value,forecast_date,reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
ak,2024-11-26,2024-11-30,wk inc covid hosp,-1,2024-11-23,02,quantile,0.01,4.134170136631996
ak,2024-11-26,2024-11-30,wk inc covid hosp,-1,2024-11-23,02,quantile,0.025,4.889443829292487
ak,2024-11-26,2024-11-30,wk inc covid hosp,-1,2024-11-23,02,quantile,0.05,6.180657191993047
ak,2024-11-26,2024-11-30,wk inc covid hosp,-1,2024-11-23,02,quantile,0.1,7.902005004266176
ak,2024-11-26,2024-11-30,wk inc covid hosp,-1,2024-11-23,02,quantile,0.15,8.660720360018626
ak,2024-11-26,2024-11-30,wk inc covid hosp,-1,2024-11-23,02,quantile,0.2,9.493888842171538
ak,2024-11-26,2024-11-30,wk inc covid hosp,-1,2024-11-23,02,quantile,0.25,9.955235952038091
ak,2024-11-26,2024-11-30,wk inc covid hosp,-1,2024-11-23,02,quantile,0.3,10.228759166198234
ak,2024-11-26,2024-11-30,wk inc covid hosp,-1,2024-11-23,02,quantile,0.35,10.524307817771174
ak,2024-11-26,2024-11-30,wk inc covid hosp,-1,2024-11-23,02,quantile,0.4,10.717379783143352
ak,2024-11-26,2024-11-30,wk inc covid hosp,-1,2024-11-23,02,quantile,0.45,10.918052259744806
ak,2024-11-26,2024-11-30,wk inc covid hosp,-1,2024-11-23,02,quantile,0.5,11.279925060191205
ak,2024-11-26,2024-11-30,wk inc covid hosp,-1,2024-11-23,02,quantile,0.55,11.81608882854782
ak,2024-11-26,2024-11-30,wk inc covid hosp,-1,2024-11-23,02,quantile,0.6,12.235657625228841
ak,2024-11-26,2024-11-30,wk inc covid hosp,-1,2024-11-23,02,quantile,0.65,12.755759973071779
ak,2024-11-26,2024-11-30,wk inc covid hosp,-1,2024-11-23,02,quantile,0.7,13.518611548190309
ak,2024-11-26,2024-11-30,wk inc covid hosp,-1,2024-11-23,02,quantile,0.75,14.318733399099022
ak,2024-11-26,2024-11-30,wk inc covid hosp,-1,2024-11-23,02,quantile,0.8,15.80516513709402
ak,2024-11-26,2024-11-30,wk inc covid hosp,-1,2024-11-23,02,quantile,0.85,17.688014299016334
ak,2024-11-26,2024-11-30,wk inc covid hosp,-1,2024-11-23,02,quantile,0.9,20.823178050483516
ak,2024-11-26,2024-11-30,wk inc covid hosp,-1,2024-11-23,02,quantile,0.95,28.861174001460476
ak,2024-11-26,2024-11-30,wk inc covid hosp,-1,2024-11-23,02,quantile,0.975,38.61065447772863
ak,2024-11-26,2024-11-30,wk inc covid hosp,-1,2024-11-23,02,quantile,0.99,51.497874574661715
ak,2024-11-26,2024-11-30,wk inc covid hosp,0,2024-11-30,02,quantile,0.01,4.3036080117438695
ak,2024-11-26,2024-11-30,wk inc covid hosp,0,2024-11-30,02,quantile,0.025,4.697876208308993
ak,2024-11-26,2024-11-30,wk inc covid hosp,0,2024-11-30,02,quantile,0.05,5.611290970276006
ak,2024-11-26,2024-11-30,wk inc covid hosp,0,2024-11-30,02,quantile,0.1,7.537113608162539
ak,2024-11-26,2024-11-30,wk inc covid hosp,0,2024-11-30,02,quantile,0.15,8.850524032029293
ak,2024-11-26,2024-11-30,wk inc covid hosp,0,2024-11-30,02,quantile,0.2,11.071757638757237
ak,2024-11-26,2024-11-30,wk inc covid hosp,0,2024-11-30,02,quantile,0.25,11.943541860134683
ak,2024-11-26,2024-11-30,wk inc covid hosp,0,2024-11-30,02,quantile,0.3,12.70666365661009
