reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-04-05,wk inc covid hosp,-1,2025-03-29,02,quantile,0.01,0.6088426892232651
2025-04-05,wk inc covid hosp,-1,2025-03-29,02,quantile,0.025,1.5837021364322785
2025-04-05,wk inc covid hosp,-1,2025-03-29,02,quantile,0.05,2.442536962839323
2025-04-05,wk inc covid hosp,-1,2025-03-29,02,quantile,0.1,3.7454042355215935
2025-04-05,wk inc covid hosp,-1,2025-03-29,02,quantile,0.15,4.437881914969298
2025-04-05,wk inc covid hosp,-1,2025-03-29,02,quantile,0.2,5.062375153554783
2025-04-05,wk inc covid hosp,-1,2025-03-29,02,quantile,0.25,5.6110377602356385
2025-04-05,wk inc covid hosp,-1,2025-03-29,02,quantile,0.3,5.933550328335123
2025-04-05,wk inc covid hosp,-1,2025-03-29,02,quantile,0.35,6.362984237304418
2025-04-05,wk inc covid hosp,-1,2025-03-29,02,quantile,0.4,6.6404109514327505
2025-04-05,wk inc covid hosp,-1,2025-03-29,02,quantile,0.45,6.843576973656929
2025-04-05,wk inc covid hosp,-1,2025-03-29,02,quantile,0.5,7.064503187854521
2025-04-05,wk inc covid hosp,-1,2025-03-29,02,quantile,0.55,7.353370552420369
2025-04-05,wk inc covid hosp,-1,2025-03-29,02,quantile,0.6,7.627985586607157
2025-04-05,wk inc covid hosp,-1,2025-03-29,02,quantile,0.65,8.013982749970138
2025-04-05,wk inc covid hosp,-1,2025-03-29,02,quantile,0.7,8.566381347058798
2025-04-05,wk inc covid hosp,-1,2025-03-29,02,quantile,0.75,9.036709328026046
2025-04-05,wk inc covid hosp,-1,2025-03-29,02,quantile,0.8,9.758621754906049
2025-04-05,wk inc covid hosp,-1,2025-03-29,02,quantile,0.85,10.601814000009837
2025-04-05,wk inc covid hosp,-1,2025-03-29,02,quantile,0.9,11.659299517237342
2025-04-05,wk inc covid hosp,-1,2025-03-29,02,quantile,0.95,13.273640773706262
2025-04-05,wk inc covid hosp,-1,2025-03-29,02,quantile,0.975,14.326092500489597
2025-04-05,wk inc covid hosp,-1,2025-03-29,02,quantile,0.99,15.467966514069612
2025-04-05,wk inc covid hosp,0,2025-04-05,02,quantile,0.01,2.583848222759902
2025-04-05,wk inc covid hosp,0,2025-04-05,02,quantile,0.025,3.168384112670185
2025-04-05,wk inc covid hosp,0,2025-04-05,02,quantile,0.05,3.6383477932365107
2025-04-05,wk inc covid hosp,0,2025-04-05,02,quantile,0.1,4.327537572710236
2025-04-05,wk inc covid hosp,0,2025-04-05,02,quantile,0.15,4.554829037300434
2025-04-05,wk inc covid hosp,0,2025-04-05,02,quantile,0.2,4.983616046020302
2025-04-05,wk inc covid hosp,0,2025-04-05,02,quantile,0.25,5.235608124956981
2025-04-05,wk inc covid hosp,0,2025-04-05,02,quantile,0.3,5.360635751974325
2025-04-05,wk inc covid hosp,0,2025-04-05,02,quantile,0.35,5.533586014354367
2025-04-05,wk inc covid hosp,0,2025-04-05,02,quantile,0.4,5.710193480571311
2025-04-05,wk inc covid hosp,0,2025-04-05,02,quantile,0.45,5.8646053997604675
2025-04-05,wk inc covid hosp,0,2025-04-05,02,quantile,0.5,6.021005197313526
2025-04-05,wk inc covid hosp,0,2025-04-05,02,quantile,0.55,6.066905101917529
2025-04-05,wk inc covid hosp,0,2025-04-05,02,quantile,0.6,6.2669527170051635
2025-04-05,wk inc covid hosp,0,2025-04-05,02,quantile,0.65,6.405159375928227
2025-04-05,wk inc covid hosp,0,2025-04-05,02,quantile,0.7,6.696590734965281
2025-04-05,wk inc covid hosp,0,2025-04-05,02,quantile,0.75,6.906590058002871
2025-04-05,wk inc covid hosp,0,2025-04-05,02,quantile,0.8,7.363147630819016
2025-04-05,wk inc covid hosp,0,2025-04-05,02,quantile,0.85,8.095632988477805
2025-04-05,wk inc covid hosp,0,2025-04-05,02,quantile,0.9,8.98616647549021
2025-04-05,wk inc covid hosp,0,2025-04-05,02,quantile,0.95,9.890606511581597
2025-04-05,wk inc covid hosp,0,2025-04-05,02,quantile,0.975,10.987338227732003
2025-04-05,wk inc covid hosp,0,2025-04-05,02,quantile,0.99,13.839941583396868
2025-04-05,wk inc covid hosp,1,2025-04-12,02,quantile,0.01,0.6965526454307619
2025-04-05,wk inc covid hosp,1,2025-04-12,02,quantile,0.025,1.8400658318350787
2025-04-05,wk inc covid hosp,1,2025-04-12,02,quantile,0.05,2.5079255363804744
2025-04-05,wk inc covid hosp,1,2025-04-12,02,quantile,0.1,2.795646869293318
2025-04-05,wk inc covid hosp,1,2025-04-12,02,quantile,0.15,3.0924089096079332
2025-04-05,wk inc covid hosp,1,2025-04-12,02,quantile,0.2,3.6243253378769746
2025-04-05,wk inc covid hosp,1,2025-04-12,02,quantile,0.25,3.775680528177659
2025-04-05,wk inc covid hosp,1,2025-04-12,02,quantile,0.3,3.992541173983033
2025-04-05,wk inc covid hosp,1,2025-04-12,02,quantile,0.35,4.208392851217439
2025-04-05,wk inc covid hosp,1,2025-04-12,02,quantile,0.4,4.383151874121428
2025-04-05,wk inc covid hosp,1,2025-04-12,02,quantile,0.45,4.518839298930304
2025-04-05,wk inc covid hosp,1,2025-04-12,02,quantile,0.5,4.684769042035537
2025-04-05,wk inc covid hosp,1,2025-04-12,02,quantile,0.55,5.085391598767275
2025-04-05,wk inc covid hosp,1,2025-04-12,02,quantile,0.6,5.340309228600876
2025-04-05,wk inc covid hosp,1,2025-04-12,02,quantile,0.65,5.645807202909911
2025-04-05,wk inc covid hosp,1,2025-04-12,02,quantile,0.7,5.854714005692773
2025-04-05,wk inc covid hosp,1,2025-04-12,02,quantile,0.75,6.086453764421668
2025-04-05,wk inc covid hosp,1,2025-04-12,02,quantile,0.8,6.394124293115702
2025-04-05,wk inc covid hosp,1,2025-04-12,02,quantile,0.85,6.81577119785172
2025-04-05,wk inc covid hosp,1,2025-04-12,02,quantile,0.9,7.637569676618464
2025-04-05,wk inc covid hosp,1,2025-04-12,02,quantile,0.95,9.173511054247072
2025-04-05,wk inc covid hosp,1,2025-04-12,02,quantile,0.975,10.847477222781487
2025-04-05,wk inc covid hosp,1,2025-04-12,02,quantile,0.99,13.544164443690736
2025-04-05,wk inc covid hosp,2,2025-04-19,02,quantile,0.01,0.057091738329600746
2025-04-05,wk inc covid hosp,2,2025-04-19,02,quantile,0.025,0.7883539412694905
2025-04-05,wk inc covid hosp,2,2025-04-19,02,quantile,0.05,1.4725452870080227
2025-04-05,wk inc covid hosp,2,2025-04-19,02,quantile,0.1,1.887893140274075
2025-04-05,wk inc covid hosp,2,2025-04-19,02,quantile,0.15,2.2461548373382665
2025-04-05,wk inc covid hosp,2,2025-04-19,02,quantile,0.2,2.5948361764314645
2025-04-05,wk inc covid hosp,2,2025-04-19,02,quantile,0.25,2.9343162077632368
2025-04-05,wk inc covid hosp,2,2025-04-19,02,quantile,0.3,3.0970434995845615
2025-04-05,wk inc covid hosp,2,2025-04-19,02,quantile,0.35,3.4035719200978773
2025-04-05,wk inc covid hosp,2,2025-04-19,02,quantile,0.4,3.4955022370496045
2025-04-05,wk inc covid hosp,2,2025-04-19,02,quantile,0.45,3.646953753001995
2025-04-05,wk inc covid hosp,2,2025-04-19,02,quantile,0.5,3.831719346509319
2025-04-05,wk inc covid hosp,2,2025-04-19,02,quantile,0.55,4.066645663849537
2025-04-05,wk inc covid hosp,2,2025-04-19,02,quantile,0.6,4.471496244991463
2025-04-05,wk inc covid hosp,2,2025-04-19,02,quantile,0.65,4.689536427109871
2025-04-05,wk inc covid hosp,2,2025-04-19,02,quantile,0.7,5.069367193536151
2025-04-05,wk inc covid hosp,2,2025-04-19,02,quantile,0.75,5.368217568862273
2025-04-05,wk inc covid hosp,2,2025-04-19,02,quantile,0.8,5.6884945523461825
2025-04-05,wk inc covid hosp,2,2025-04-19,02,quantile,0.85,6.277086418998476
2025-04-05,wk inc covid hosp,2,2025-04-19,02,quantile,0.9,6.924839453937072
2025-04-05,wk inc covid hosp,2,2025-04-19,02,quantile,0.95,8.691117260495737
