reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-09-26,wk inc covid hosp,-1,2026-09-19,02,quantile,0.01,1.6184906197416298
2026-09-26,wk inc covid hosp,-1,2026-09-19,02,quantile,0.025,1.8944473624783795
2026-09-26,wk inc covid hosp,-1,2026-09-19,02,quantile,0.05,1.9983979379399235
2026-09-26,wk inc covid hosp,-1,2026-09-19,02,quantile,0.1,2.000430693317424
2026-09-26,wk inc covid hosp,-1,2026-09-19,02,quantile,0.15,2.0250379640322937
2026-09-26,wk inc covid hosp,-1,2026-09-19,02,quantile,0.2,2.1658833161194186
2026-09-26,wk inc covid hosp,-1,2026-09-19,02,quantile,0.25,2.277851007944587
2026-09-26,wk inc covid hosp,-1,2026-09-19,02,quantile,0.3,2.3974555351236417
2026-09-26,wk inc covid hosp,-1,2026-09-19,02,quantile,0.35,2.4476005103370593
2026-09-26,wk inc covid hosp,-1,2026-09-19,02,quantile,0.4,2.5061290289788225
2026-09-26,wk inc covid hosp,-1,2026-09-19,02,quantile,0.45,2.8139812079233146
2026-09-26,wk inc covid hosp,-1,2026-09-19,02,quantile,0.5,3.0751938079655825
2026-09-26,wk inc covid hosp,-1,2026-09-19,02,quantile,0.55,3.1936759801818053
2026-09-26,wk inc covid hosp,-1,2026-09-19,02,quantile,0.6,3.587399251854728
2026-09-26,wk inc covid hosp,-1,2026-09-19,02,quantile,0.65,3.824812734184317
2026-09-26,wk inc covid hosp,-1,2026-09-19,02,quantile,0.7,3.9527907658946724
2026-09-26,wk inc covid hosp,-1,2026-09-19,02,quantile,0.75,4.313365629508629
2026-09-26,wk inc covid hosp,-1,2026-09-19,02,quantile,0.8,4.5749159798977495
2026-09-26,wk inc covid hosp,-1,2026-09-19,02,quantile,0.85,5.1718270855478705
2026-09-26,wk inc covid hosp,-1,2026-09-19,02,quantile,0.9,6.147761396496368
2026-09-26,wk inc covid hosp,-1,2026-09-19,02,quantile,0.95,8.212567500017233
2026-09-26,wk inc covid hosp,-1,2026-09-19,02,quantile,0.975,8.522929989430175
2026-09-26,wk inc covid hosp,-1,2026-09-19,02,quantile,0.99,10.343792268286833
2026-09-26,wk inc covid hosp,0,2026-09-26,02,quantile,0.01,0.769749430159624
2026-09-26,wk inc covid hosp,0,2026-09-26,02,quantile,0.025,1.4529737199567714
2026-09-26,wk inc covid hosp,0,2026-09-26,02,quantile,0.05,1.5941223410001477
2026-09-26,wk inc covid hosp,0,2026-09-26,02,quantile,0.1,1.9504404036649612
2026-09-26,wk inc covid hosp,0,2026-09-26,02,quantile,0.15,2.4447794993419896
2026-09-26,wk inc covid hosp,0,2026-09-26,02,quantile,0.2,2.708957132898825
2026-09-26,wk inc covid hosp,0,2026-09-26,02,quantile,0.25,3.125141659240648
2026-09-26,wk inc covid hosp,0,2026-09-26,02,quantile,0.3,3.4454558783830067
2026-09-26,wk inc covid hosp,0,2026-09-26,02,quantile,0.35,3.8561606134742132
2026-09-26,wk inc covid hosp,0,2026-09-26,02,quantile,0.4,4.0492522596597
2026-09-26,wk inc covid hosp,0,2026-09-26,02,quantile,0.45,4.261354046779905
2026-09-26,wk inc covid hosp,0,2026-09-26,02,quantile,0.5,4.406190365770678
2026-09-26,wk inc covid hosp,0,2026-09-26,02,quantile,0.55,4.531993817729121
2026-09-26,wk inc covid hosp,0,2026-09-26,02,quantile,0.6,4.692409698879839
2026-09-26,wk inc covid hosp,0,2026-09-26,02,quantile,0.65,5.005088242888029
2026-09-26,wk inc covid hosp,0,2026-09-26,02,quantile,0.7,5.254576112441208
2026-09-26,wk inc covid hosp,0,2026-09-26,02,quantile,0.75,5.600355007339725
2026-09-26,wk inc covid hosp,0,2026-09-26,02,quantile,0.8,5.847326081356531
2026-09-26,wk inc covid hosp,0,2026-09-26,02,quantile,0.85,6.973730955464811
2026-09-26,wk inc covid hosp,0,2026-09-26,02,quantile,0.9,7.537576811548324
2026-09-26,wk inc covid hosp,0,2026-09-26,02,quantile,0.95,7.993462798766024
2026-09-26,wk inc covid hosp,0,2026-09-26,02,quantile,0.975,8.395995040215261
2026-09-26,wk inc covid hosp,0,2026-09-26,02,quantile,0.99,9.22785539796777
2026-09-26,wk inc covid hosp,1,2026-10-03,02,quantile,0.01,0.3505548883194534
2026-09-26,wk inc covid hosp,1,2026-10-03,02,quantile,0.025,0.7706398971707725
