reference_date,horizon,target,target_end_date,location,output_type,output_type_id,value
2025-07-26,-1,wk inc covid hosp,2025-07-19,01,quantile,0.01,66
2025-07-26,-1,wk inc covid hosp,2025-07-19,01,quantile,0.025,66
2025-07-26,-1,wk inc covid hosp,2025-07-19,01,quantile,0.05,66
2025-07-26,-1,wk inc covid hosp,2025-07-19,01,quantile,0.1,66
2025-07-26,-1,wk inc covid hosp,2025-07-19,01,quantile,0.15,66
2025-07-26,-1,wk inc covid hosp,2025-07-19,01,quantile,0.2,66
2025-07-26,-1,wk inc covid hosp,2025-07-19,01,quantile,0.25,66
2025-07-26,-1,wk inc covid hosp,2025-07-19,01,quantile,0.3,66
2025-07-26,-1,wk inc covid hosp,2025-07-19,01,quantile,0.35,66
2025-07-26,-1,wk inc covid hosp,2025-07-19,01,quantile,0.4,66
2025-07-26,-1,wk inc covid hosp,2025-07-19,01,quantile,0.45,66
2025-07-26,-1,wk inc covid hosp,2025-07-19,01,quantile,0.5,66
2025-07-26,-1,wk inc covid hosp,2025-07-19,01,quantile,0.55,66
2025-07-26,-1,wk inc covid hosp,2025-07-19,01,quantile,0.6,66
2025-07-26,-1,wk inc covid hosp,2025-07-19,01,quantile,0.65,66
2025-07-26,-1,wk inc covid hosp,2025-07-19,01,quantile,0.7,66
2025-07-26,-1,wk inc covid hosp,2025-07-19,01,quantile,0.75,66
2025-07-26,-1,wk inc covid hosp,2025-07-19,01,quantile,0.8,66
2025-07-26,-1,wk inc covid hosp,2025-07-19,01,quantile,0.85,66
2025-07-26,-1,wk inc covid hosp,2025-07-19,01,quantile,0.9,66
2025-07-26,-1,wk inc covid hosp,2025-07-19,01,quantile,0.95,66
2025-07-26,-1,wk inc covid hosp,2025-07-19,01,quantile,0.975,66
2025-07-26,-1,wk inc covid hosp,2025-07-19,01,quantile,0.99,66
2025-07-26,-1,wk inc covid hosp,2025-07-19,02,quantile,0.01,11
2025-07-26,-1,wk inc covid hosp,2025-07-19,02,quantile,0.025,11
2025-07-26,-1,wk inc covid hosp,2025-07-19,02,quantile,0.05,11
2025-07-26,-1,wk inc covid hosp,2025-07-19,02,quantile,0.1,11
2025-07-26,-1,wk inc covid hosp,2025-07-19,02,quantile,0.15,11
2025-07-26,-1,wk inc covid hosp,2025-07-19,02,quantile,0.2,11
2025-07-26,-1,wk inc covid hosp,2025-07-19,02,quantile,0.25,11
2025-07-26,-1,wk inc covid hosp,2025-07-19,02,quantile,0.3,11
2025-07-26,-1,wk inc covid hosp,2025-07-19,02,quantile,0.35,11
2025-07-26,-1,wk inc covid hosp,2025-07-19,02,quantile,0.4,11
2025-07-26,-1,wk inc covid hosp,2025-07-19,02,quantile,0.45,11
2025-07-26,-1,wk inc covid hosp,2025-07-19,02,quantile,0.5,11
2025-07-26,-1,wk inc covid hosp,2025-07-19,02,quantile,0.55,11
2025-07-26,-1,wk inc covid hosp,2025-07-19,02,quantile,0.6,11
2025-07-26,-1,wk inc covid hosp,2025-07-19,02,quantile,0.65,11
2025-07-26,-1,wk inc covid hosp,2025-07-19,02,quantile,0.7,11
2025-07-26,-1,wk inc covid hosp,2025-07-19,02,quantile,0.75,11
2025-07-26,-1,wk inc covid hosp,2025-07-19,02,quantile,0.8,11
2025-07-26,-1,wk inc covid hosp,2025-07-19,02,quantile,0.85,11
2025-07-26,-1,wk inc covid hosp,2025-07-19,02,quantile,0.9,11
2025-07-26,-1,wk inc covid hosp,2025-07-19,02,quantile,0.95,11
2025-07-26,-1,wk inc covid hosp,2025-07-19,02,quantile,0.975,11
2025-07-26,-1,wk inc covid hosp,2025-07-19,02,quantile,0.99,11
2025-07-26,-1,wk inc covid hosp,2025-07-19,04,quantile,0.01,77
2025-07-26,-1,wk inc covid hosp,2025-07-19,04,quantile,0.025,77
2025-07-26,-1,wk inc covid hosp,2025-07-19,04,quantile,0.05,77
2025-07-26,-1,wk inc covid hosp,2025-07-19,04,quantile,0.1,77
2025-07-26,-1,wk inc covid hosp,2025-07-19,04,quantile,0.15,77
2025-07-26,-1,wk inc covid hosp,2025-07-19,04,quantile,0.2,77
2025-07-26,-1,wk inc covid hosp,2025-07-19,04,quantile,0.25,77
2025-07-26,-1,wk inc covid hosp,2025-07-19,04,quantile,0.3,77
2025-07-26,-1,wk inc covid hosp,2025-07-19,04,quantile,0.35,77
2025-07-26,-1,wk inc covid hosp,2025-07-19,04,quantile,0.4,77
2025-07-26,-1,wk inc covid hosp,2025-07-19,04,quantile,0.45,77
2025-07-26,-1,wk inc covid hosp,2025-07-19,04,quantile,0.5,77
2025-07-26,-1,wk inc covid hosp,2025-07-19,04,quantile,0.55,77
2025-07-26,-1,wk inc covid hosp,2025-07-19,04,quantile,0.6,77
2025-07-26,-1,wk inc covid hosp,2025-07-19,04,quantile,0.65,77
2025-07-26,-1,wk inc covid hosp,2025-07-19,04,quantile,0.7,77
2025-07-26,-1,wk inc covid hosp,2025-07-19,04,quantile,0.75,77
2025-07-26,-1,wk inc covid hosp,2025-07-19,04,quantile,0.8,77
2025-07-26,-1,wk inc covid hosp,2025-07-19,04,quantile,0.85,77
2025-07-26,-1,wk inc covid hosp,2025-07-19,04,quantile,0.9,77
2025-07-26,-1,wk inc covid hosp,2025-07-19,04,quantile,0.95,77
2025-07-26,-1,wk inc covid hosp,2025-07-19,04,quantile,0.975,77
2025-07-26,-1,wk inc covid hosp,2025-07-19,04,quantile,0.99,77
2025-07-26,-1,wk inc covid hosp,2025-07-19,05,quantile,0.01,17
2025-07-26,-1,wk inc covid hosp,2025-07-19,05,quantile,0.025,17
2025-07-26,-1,wk inc covid hosp,2025-07-19,05,quantile,0.05,17
2025-07-26,-1,wk inc covid hosp,2025-07-19,05,quantile,0.1,17
2025-07-26,-1,wk inc covid hosp,2025-07-19,05,quantile,0.15,17
