reference_date,horizon,target,target_end_date,location,output_type,output_type_id,value
2026-03-21,-1,wk inc covid hosp,2026-03-14,01,quantile,0.01,69
2026-03-21,-1,wk inc covid hosp,2026-03-14,01,quantile,0.025,69
2026-03-21,-1,wk inc covid hosp,2026-03-14,01,quantile,0.05,69
2026-03-21,-1,wk inc covid hosp,2026-03-14,01,quantile,0.1,69
2026-03-21,-1,wk inc covid hosp,2026-03-14,01,quantile,0.15,69
2026-03-21,-1,wk inc covid hosp,2026-03-14,01,quantile,0.2,69
2026-03-21,-1,wk inc covid hosp,2026-03-14,01,quantile,0.25,69
2026-03-21,-1,wk inc covid hosp,2026-03-14,01,quantile,0.3,69
2026-03-21,-1,wk inc covid hosp,2026-03-14,01,quantile,0.35,69
2026-03-21,-1,wk inc covid hosp,2026-03-14,01,quantile,0.4,69
2026-03-21,-1,wk inc covid hosp,2026-03-14,01,quantile,0.45,69
2026-03-21,-1,wk inc covid hosp,2026-03-14,01,quantile,0.5,69
2026-03-21,-1,wk inc covid hosp,2026-03-14,01,quantile,0.55,69
2026-03-21,-1,wk inc covid hosp,2026-03-14,01,quantile,0.6,69
2026-03-21,-1,wk inc covid hosp,2026-03-14,01,quantile,0.65,69
2026-03-21,-1,wk inc covid hosp,2026-03-14,01,quantile,0.7,69
2026-03-21,-1,wk inc covid hosp,2026-03-14,01,quantile,0.75,69
2026-03-21,-1,wk inc covid hosp,2026-03-14,01,quantile,0.8,69
2026-03-21,-1,wk inc covid hosp,2026-03-14,01,quantile,0.85,69
2026-03-21,-1,wk inc covid hosp,2026-03-14,01,quantile,0.9,69
2026-03-21,-1,wk inc covid hosp,2026-03-14,01,quantile,0.95,69
2026-03-21,-1,wk inc covid hosp,2026-03-14,01,quantile,0.975,69
2026-03-21,-1,wk inc covid hosp,2026-03-14,01,quantile,0.99,69
2026-03-21,-1,wk inc covid hosp,2026-03-14,02,quantile,0.01,2
2026-03-21,-1,wk inc covid hosp,2026-03-14,02,quantile,0.025,2
2026-03-21,-1,wk inc covid hosp,2026-03-14,02,quantile,0.05,2
2026-03-21,-1,wk inc covid hosp,2026-03-14,02,quantile,0.1,2
