"reference_date","location","horizon","target","target_end_date","output_type","output_type_id","value"
2025-03-15,"01",-1,"wk inc covid hosp",2025-03-08,"quantile","0.01",163.012
2025-03-15,"01",-1,"wk inc covid hosp",2025-03-08,"quantile","0.025",164.026
2025-03-15,"01",-1,"wk inc covid hosp",2025-03-08,"quantile","0.05",165.845
2025-03-15,"01",-1,"wk inc covid hosp",2025-03-08,"quantile","0.1",169.786
2025-03-15,"01",-1,"wk inc covid hosp",2025-03-08,"quantile","0.15",173.682
2025-03-15,"01",-1,"wk inc covid hosp",2025-03-08,"quantile","0.2",177.717
2025-03-15,"01",-1,"wk inc covid hosp",2025-03-08,"quantile","0.25",181.848
2025-03-15,"01",-1,"wk inc covid hosp",2025-03-08,"quantile","0.3",186.679
2025-03-15,"01",-1,"wk inc covid hosp",2025-03-08,"quantile","0.35",190.815
2025-03-15,"01",-1,"wk inc covid hosp",2025-03-08,"quantile","0.4",196.137
2025-03-15,"01",-1,"wk inc covid hosp",2025-03-08,"quantile","0.45",201.104
2025-03-15,"01",-1,"wk inc covid hosp",2025-03-08,"quantile","0.5",206.789
2025-03-15,"01",-1,"wk inc covid hosp",2025-03-08,"quantile","0.55",212.618
2025-03-15,"01",-1,"wk inc covid hosp",2025-03-08,"quantile","0.6",219.536
2025-03-15,"01",-1,"wk inc covid hosp",2025-03-08,"quantile","0.65",226.083
2025-03-15,"01",-1,"wk inc covid hosp",2025-03-08,"quantile","0.7",234.252
2025-03-15,"01",-1,"wk inc covid hosp",2025-03-08,"quantile","0.75",242.051
2025-03-15,"01",-1,"wk inc covid hosp",2025-03-08,"quantile","0.8",249.734570842932
2025-03-15,"01",-1,"wk inc covid hosp",2025-03-08,"quantile","0.85",254.520374132866
2025-03-15,"01",-1,"wk inc covid hosp",2025-03-08,"quantile","0.9",260.331147038606
2025-03-15,"01",-1,"wk inc covid hosp",2025-03-08,"quantile","0.95",270.759579911335
2025-03-15,"01",-1,"wk inc covid hosp",2025-03-08,"quantile","0.975",277.628456735194
2025-03-15,"01",-1,"wk inc covid hosp",2025-03-08,"quantile","0.99",287.383780335287
2025-03-15,"01",0,"wk inc covid hosp",2025-03-15,"quantile","0.01",140.593792660815
2025-03-15,"01",0,"wk inc covid hosp",2025-03-15,"quantile","0.025",147.673
2025-03-15,"01",0,"wk inc covid hosp",2025-03-15,"quantile","0.05",154.678749239719
2025-03-15,"01",0,"wk inc covid hosp",2025-03-15,"quantile","0.1",169.748989575451
2025-03-15,"01",0,"wk inc covid hosp",2025-03-15,"quantile","0.15",177.750685567318
2025-03-15,"01",0,"wk inc covid hosp",2025-03-15,"quantile","0.2",185.630191745355
2025-03-15,"01",0,"wk inc covid hosp",2025-03-15,"quantile","0.25",191.816997565018
2025-03-15,"01",0,"wk inc covid hosp",2025-03-15,"quantile","0.3",195.513504439838
2025-03-15,"01",0,"wk inc covid hosp",2025-03-15,"quantile","0.35",198.815345776119
2025-03-15,"01",0,"wk inc covid hosp",2025-03-15,"quantile","0.4",202.112335748041
2025-03-15,"01",0,"wk inc covid hosp",2025-03-15,"quantile","0.45",205.371026756489
2025-03-15,"01",0,"wk inc covid hosp",2025-03-15,"quantile","0.5",212.556555178473
2025-03-15,"01",0,"wk inc covid hosp",2025-03-15,"quantile","0.55",213.669377315501
2025-03-15,"01",0,"wk inc covid hosp",2025-03-15,"quantile","0.6",215.233400437499
2025-03-15,"01",0,"wk inc covid hosp",2025-03-15,"quantile","0.65",218.939610041036
