reference_date,location,horizon,target,target_end_date,output_type,output_type_id,value
2026-03-07,01,-1,wk inc covid prop ed visits,2026-02-28,quantile,0.01,0.004451973472169552
2026-03-07,01,-1,wk inc covid prop ed visits,2026-02-28,quantile,0.025,0.004721035980856459
2026-03-07,01,-1,wk inc covid prop ed visits,2026-02-28,quantile,0.05,0.004975923494755981
2026-03-07,01,-1,wk inc covid prop ed visits,2026-02-28,quantile,0.1,0.005249548581734527
2026-03-07,01,-1,wk inc covid prop ed visits,2026-02-28,quantile,0.15,0.005429073894983252
2026-03-07,01,-1,wk inc covid prop ed visits,2026-02-28,quantile,0.2,0.005585038259903151
2026-03-07,01,-1,wk inc covid prop ed visits,2026-02-28,quantile,0.25,0.005700340059989488
2026-03-07,01,-1,wk inc covid prop ed visits,2026-02-28,quantile,0.3,0.005805823472912197
2026-03-07,01,-1,wk inc covid prop ed visits,2026-02-28,quantile,0.35,0.005908983304412933
2026-03-07,01,-1,wk inc covid prop ed visits,2026-02-28,quantile,0.4,0.006020136027068309
2026-03-07,01,-1,wk inc covid prop ed visits,2026-02-28,quantile,0.45,0.006122807760633554
2026-03-07,01,-1,wk inc covid prop ed visits,2026-02-28,quantile,0.5,0.00621522360761142
2026-03-07,01,-1,wk inc covid prop ed visits,2026-02-28,quantile,0.55,0.006317377153499015
2026-03-07,01,-1,wk inc covid prop ed visits,2026-02-28,quantile,0.6,0.0064129464817238085
2026-03-07,01,-1,wk inc covid prop ed visits,2026-02-28,quantile,0.65,0.006518250339746636
2026-03-07,01,-1,wk inc covid prop ed visits,2026-02-28,quantile,0.7,0.006642717083694682
2026-03-07,01,-1,wk inc covid prop ed visits,2026-02-28,quantile,0.75,0.006769018291576886
2026-03-07,01,-1,wk inc covid prop ed visits,2026-02-28,quantile,0.8,0.006916783846692406
2026-03-07,01,-1,wk inc covid prop ed visits,2026-02-28,quantile,0.85,0.007137594805953948
2026-03-07,01,-1,wk inc covid prop ed visits,2026-02-28,quantile,0.9,0.00740594931160689
2026-03-07,01,-1,wk inc covid prop ed visits,2026-02-28,quantile,0.95,0.007780377662242995
2026-03-07,01,-1,wk inc covid prop ed visits,2026-02-28,quantile,0.975,0.00820350839042188
2026-03-07,01,-1,wk inc covid prop ed visits,2026-02-28,quantile,0.99,0.008741093878485645
2026-03-07,01,0,wk inc covid prop ed visits,2026-03-07,quantile,0.01,0.0025245546771902033
2026-03-07,01,0,wk inc covid prop ed visits,2026-03-07,quantile,0.025,0.002772780541931452
2026-03-07,01,0,wk inc covid prop ed visits,2026-03-07,quantile,0.05,0.0029868223485608335
2026-03-07,01,0,wk inc covid prop ed visits,2026-03-07,quantile,0.1,0.003209892594255603
2026-03-07,01,0,wk inc covid prop ed visits,2026-03-07,quantile,0.15,0.0033318754063606693
2026-03-07,01,0,wk inc covid prop ed visits,2026-03-07,quantile,0.2,0.0034808732662094306
2026-03-07,01,0,wk inc covid prop ed visits,2026-03-07,quantile,0.25,0.003625302822937885
2026-03-07,01,0,wk inc covid prop ed visits,2026-03-07,quantile,0.3,0.0037608807978118924
2026-03-07,01,0,wk inc covid prop ed visits,2026-03-07,quantile,0.35,0.003896197733915259
2026-03-07,01,0,wk inc covid prop ed visits,2026-03-07,quantile,0.4,0.004033815260071446
2026-03-07,01,0,wk inc covid prop ed visits,2026-03-07,quantile,0.45,0.004147673566005639
2026-03-07,01,0,wk inc covid prop ed visits,2026-03-07,quantile,0.5,0.004265356421555061
2026-03-07,01,0,wk inc covid prop ed visits,2026-03-07,quantile,0.55,0.004392929591390387
2026-03-07,01,0,wk inc covid prop ed visits,2026-03-07,quantile,0.6,0.004521997736242959
2026-03-07,01,0,wk inc covid prop ed visits,2026-03-07,quantile,0.65,0.004641848020376552
2026-03-07,01,0,wk inc covid prop ed visits,2026-03-07,quantile,0.7,0.004778762653316606
2026-03-07,01,0,wk inc covid prop ed visits,2026-03-07,quantile,0.75,0.0049051883932094064
2026-03-07,01,0,wk inc covid prop ed visits,2026-03-07,quantile,0.8,0.005048431377037756
2026-03-07,01,0,wk inc covid prop ed visits,2026-03-07,quantile,0.85,0.005253233305015798
2026-03-07,01,0,wk inc covid prop ed visits,2026-03-07,quantile,0.9,0.005513992046491671
2026-03-07,01,0,wk inc covid prop ed visits,2026-03-07,quantile,0.95,0.005860377460986944
2026-03-07,01,0,wk inc covid prop ed visits,2026-03-07,quantile,0.975,0.0061361753990005164
2026-03-07,01,0,wk inc covid prop ed visits,2026-03-07,quantile,0.99,0.006910085873128334
2026-03-07,01,1,wk inc covid prop ed visits,2026-03-14,quantile,0.01,0.0019049618605122072
2026-03-07,01,1,wk inc covid prop ed visits,2026-03-14,quantile,0.025,0.002185675400619513
2026-03-07,01,1,wk inc covid prop ed visits,2026-03-14,quantile,0.05,0.002386623567289249
2026-03-07,01,1,wk inc covid prop ed visits,2026-03-14,quantile,0.1,0.002669587264683794
2026-03-07,01,1,wk inc covid prop ed visits,2026-03-14,quantile,0.15,0.0028827765096962146
2026-03-07,01,1,wk inc covid prop ed visits,2026-03-14,quantile,0.2,0.003018496067707771
2026-03-07,01,1,wk inc covid prop ed visits,2026-03-14,quantile,0.25,0.003100058336942954
2026-03-07,01,1,wk inc covid prop ed visits,2026-03-14,quantile,0.3,0.0031890774102389468
2026-03-07,01,1,wk inc covid prop ed visits,2026-03-14,quantile,0.35,0.0032900830383452793
2026-03-07,01,1,wk inc covid prop ed visits,2026-03-14,quantile,0.4,0.0033478505251501476
2026-03-07,01,1,wk inc covid prop ed visits,2026-03-14,quantile,0.45,0.0034274398968307017
2026-03-07,01,1,wk inc covid prop ed visits,2026-03-14,quantile,0.5,0.0035054531779818232
2026-03-07,01,1,wk inc covid prop ed visits,2026-03-14,quantile,0.55,0.0036189117706380775
