reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-04-18,wk inc covid hosp,0,2026-04-18,01,quantile,0.01,19.444444444444443
2026-04-18,wk inc covid hosp,0,2026-04-18,01,quantile,0.025,24.444444444444443
2026-04-18,wk inc covid hosp,0,2026-04-18,01,quantile,0.05,27.666666666666668
2026-04-18,wk inc covid hosp,0,2026-04-18,01,quantile,0.1,31.88888888888889
2026-04-18,wk inc covid hosp,0,2026-04-18,01,quantile,0.15,34.0
2026-04-18,wk inc covid hosp,0,2026-04-18,01,quantile,0.2,35.77777777777778
2026-04-18,wk inc covid hosp,0,2026-04-18,01,quantile,0.25,37.22222222222222
2026-04-18,wk inc covid hosp,0,2026-04-18,01,quantile,0.3,38.77777777777778
2026-04-18,wk inc covid hosp,0,2026-04-18,01,quantile,0.35,39.666666666666664
2026-04-18,wk inc covid hosp,0,2026-04-18,01,quantile,0.4,40.77777777777778
2026-04-18,wk inc covid hosp,0,2026-04-18,01,quantile,0.45,42.0
2026-04-18,wk inc covid hosp,0,2026-04-18,01,quantile,0.5,42.888888888888886
2026-04-18,wk inc covid hosp,0,2026-04-18,01,quantile,0.55,44.0
2026-04-18,wk inc covid hosp,0,2026-04-18,01,quantile,0.6,45.0
2026-04-18,wk inc covid hosp,0,2026-04-18,01,quantile,0.65,46.44444444444444
2026-04-18,wk inc covid hosp,0,2026-04-18,01,quantile,0.7,48.22222222222222
2026-04-18,wk inc covid hosp,0,2026-04-18,01,quantile,0.75,49.55555555555556
2026-04-18,wk inc covid hosp,0,2026-04-18,01,quantile,0.8,50.888888888888886
2026-04-18,wk inc covid hosp,0,2026-04-18,01,quantile,0.85,53.0
2026-04-18,wk inc covid hosp,0,2026-04-18,01,quantile,0.9,56.77777777777778
2026-04-18,wk inc covid hosp,0,2026-04-18,01,quantile,0.95,62.00555555555555
2026-04-18,wk inc covid hosp,0,2026-04-18,01,quantile,0.975,70.2861111111111
2026-04-18,wk inc covid hosp,0,2026-04-18,01,quantile,0.99,83.77777777777777
2026-04-18,wk inc covid hosp,0,2026-04-18,02,quantile,0.01,1.1111111111111112
2026-04-18,wk inc covid hosp,0,2026-04-18,02,quantile,0.025,1.3333333333333333
2026-04-18,wk inc covid hosp,0,2026-04-18,02,quantile,0.05,1.8888888888888888
2026-04-18,wk inc covid hosp,0,2026-04-18,02,quantile,0.1,2.4444444444444446
2026-04-18,wk inc covid hosp,0,2026-04-18,02,quantile,0.15,3.111111111111111
2026-04-18,wk inc covid hosp,0,2026-04-18,02,quantile,0.2,3.4444444444444446
2026-04-18,wk inc covid hosp,0,2026-04-18,02,quantile,0.25,3.888888888888889
2026-04-18,wk inc covid hosp,0,2026-04-18,02,quantile,0.3,4.222222222222222
2026-04-18,wk inc covid hosp,0,2026-04-18,02,quantile,0.35,4.222222222222222
2026-04-18,wk inc covid hosp,0,2026-04-18,02,quantile,0.4,4.777777777777778
2026-04-18,wk inc covid hosp,0,2026-04-18,02,quantile,0.45,4.777777777777778
2026-04-18,wk inc covid hosp,0,2026-04-18,02,quantile,0.5,5.111111111111111
2026-04-18,wk inc covid hosp,0,2026-04-18,02,quantile,0.55,5.222222222222222
2026-04-18,wk inc covid hosp,0,2026-04-18,02,quantile,0.6,5.444444444444445
2026-04-18,wk inc covid hosp,0,2026-04-18,02,quantile,0.65,6.0
2026-04-18,wk inc covid hosp,0,2026-04-18,02,quantile,0.7,6.333333333333333
2026-04-18,wk inc covid hosp,0,2026-04-18,02,quantile,0.75,6.666666666666667
2026-04-18,wk inc covid hosp,0,2026-04-18,02,quantile,0.8,7.444444444444445
2026-04-18,wk inc covid hosp,0,2026-04-18,02,quantile,0.85,8.0
2026-04-18,wk inc covid hosp,0,2026-04-18,02,quantile,0.9,9.11111111111111
2026-04-18,wk inc covid hosp,0,2026-04-18,02,quantile,0.95,10.338888888888883
2026-04-18,wk inc covid hosp,0,2026-04-18,02,quantile,0.975,12.555555555555555
2026-04-18,wk inc covid hosp,0,2026-04-18,02,quantile,0.99,15.556666666666665
2026-04-18,wk inc covid hosp,0,2026-04-18,04,quantile,0.01,6.0
2026-04-18,wk inc covid hosp,0,2026-04-18,04,quantile,0.025,8.105555555555556
2026-04-18,wk inc covid hosp,0,2026-04-18,04,quantile,0.05,10.11111111111111
2026-04-18,wk inc covid hosp,0,2026-04-18,04,quantile,0.1,11.88888888888889
2026-04-18,wk inc covid hosp,0,2026-04-18,04,quantile,0.15,13.0
2026-04-18,wk inc covid hosp,0,2026-04-18,04,quantile,0.2,14.555555555555555
2026-04-18,wk inc covid hosp,0,2026-04-18,04,quantile,0.25,15.86111111111111
2026-04-18,wk inc covid hosp,0,2026-04-18,04,quantile,0.3,17.0
2026-04-18,wk inc covid hosp,0,2026-04-18,04,quantile,0.35,17.88888888888889
2026-04-18,wk inc covid hosp,0,2026-04-18,04,quantile,0.4,18.77777777777778
2026-04-18,wk inc covid hosp,0,2026-04-18,04,quantile,0.45,19.666666666666668
2026-04-18,wk inc covid hosp,0,2026-04-18,04,quantile,0.5,20.11111111111111
2026-04-18,wk inc covid hosp,0,2026-04-18,04,quantile,0.55,21.0
2026-04-18,wk inc covid hosp,0,2026-04-18,04,quantile,0.6,21.666666666666668
2026-04-18,wk inc covid hosp,0,2026-04-18,04,quantile,0.65,22.666666666666668
2026-04-18,wk inc covid hosp,0,2026-04-18,04,quantile,0.7,23.588888888888885
2026-04-18,wk inc covid hosp,0,2026-04-18,04,quantile,0.75,25.0
2026-04-18,wk inc covid hosp,0,2026-04-18,04,quantile,0.8,27.88888888888889
2026-04-18,wk inc covid hosp,0,2026-04-18,04,quantile,0.85,29.88888888888889
2026-04-18,wk inc covid hosp,0,2026-04-18,04,quantile,0.9,33.77777777777778
2026-04-18,wk inc covid hosp,0,2026-04-18,04,quantile,0.95,43.22222222222222
2026-04-18,wk inc covid hosp,0,2026-04-18,04,quantile,0.975,57.78333333333333
2026-04-18,wk inc covid hosp,0,2026-04-18,04,quantile,0.99,81.89
2026-04-18,wk inc covid hosp,0,2026-04-18,05,quantile,0.01,3.3333333333333335
2026-04-18,wk inc covid hosp,0,2026-04-18,05,quantile,0.025,5.111111111111111
2026-04-18,wk inc covid hosp,0,2026-04-18,05,quantile,0.05,6.555555555555555
2026-04-18,wk inc covid hosp,0,2026-04-18,05,quantile,0.1,8.11111111111111
2026-04-18,wk inc covid hosp,0,2026-04-18,05,quantile,0.15,8.88888888888889
2026-04-18,wk inc covid hosp,0,2026-04-18,05,quantile,0.2,9.88888888888889
2026-04-18,wk inc covid hosp,0,2026-04-18,05,quantile,0.25,10.222222222222221
2026-04-18,wk inc covid hosp,0,2026-04-18,05,quantile,0.3,10.88888888888889
2026-04-18,wk inc covid hosp,0,2026-04-18,05,quantile,0.35,11.555555555555555
2026-04-18,wk inc covid hosp,0,2026-04-18,05,quantile,0.4,12.0
2026-04-18,wk inc covid hosp,0,2026-04-18,05,quantile,0.45,12.666666666666666
2026-04-18,wk inc covid hosp,0,2026-04-18,05,quantile,0.5,13.222222222222221
2026-04-18,wk inc covid hosp,0,2026-04-18,05,quantile,0.55,13.777777777777779
2026-04-18,wk inc covid hosp,0,2026-04-18,05,quantile,0.6,14.222222222222221
2026-04-18,wk inc covid hosp,0,2026-04-18,05,quantile,0.65,14.88888888888889
2026-04-18,wk inc covid hosp,0,2026-04-18,05,quantile,0.7,15.777777777777779
2026-04-18,wk inc covid hosp,0,2026-04-18,05,quantile,0.75,16.22222222222222
2026-04-18,wk inc covid hosp,0,2026-04-18,05,quantile,0.8,17.333333333333332
2026-04-18,wk inc covid hosp,0,2026-04-18,05,quantile,0.85,18.444444444444443
2026-04-18,wk inc covid hosp,0,2026-04-18,05,quantile,0.9,20.333333333333332
2026-04-18,wk inc covid hosp,0,2026-04-18,05,quantile,0.95,24.00555555555555
2026-04-18,wk inc covid hosp,0,2026-04-18,05,quantile,0.975,29.449999999999996
2026-04-18,wk inc covid hosp,0,2026-04-18,05,quantile,0.99,38.89111111111111
2026-04-18,wk inc covid hosp,0,2026-04-18,06,quantile,0.01,40.333333333333336
2026-04-18,wk inc covid hosp,0,2026-04-18,06,quantile,0.025,51.31666666666667
2026-04-18,wk inc covid hosp,0,2026-04-18,06,quantile,0.05,66.11111111111111
2026-04-18,wk inc covid hosp,0,2026-04-18,06,quantile,0.1,76.32222222222222
2026-04-18,wk inc covid hosp,0,2026-04-18,06,quantile,0.15,84.63333333333334
2026-04-18,wk inc covid hosp,0,2026-04-18,06,quantile,0.2,90.55555555555556
2026-04-18,wk inc covid hosp,0,2026-04-18,06,quantile,0.25,95.0
2026-04-18,wk inc covid hosp,0,2026-04-18,06,quantile,0.3,100.1888888888889
2026-04-18,wk inc covid hosp,0,2026-04-18,06,quantile,0.35,104.33333333333333
2026-04-18,wk inc covid hosp,0,2026-04-18,06,quantile,0.4,108.51111111111112
2026-04-18,wk inc covid hosp,0,2026-04-18,06,quantile,0.45,112.0
2026-04-18,wk inc covid hosp,0,2026-04-18,06,quantile,0.5,115.66666666666667
2026-04-18,wk inc covid hosp,0,2026-04-18,06,quantile,0.55,120.11111111111111
2026-04-18,wk inc covid hosp,0,2026-04-18,06,quantile,0.6,122.11111111111111
2026-04-18,wk inc covid hosp,0,2026-04-18,06,quantile,0.65,126.55555555555556
2026-04-18,wk inc covid hosp,0,2026-04-18,06,quantile,0.7,130.58888888888887
2026-04-18,wk inc covid hosp,0,2026-04-18,06,quantile,0.75,136.44444444444446
2026-04-18,wk inc covid hosp,0,2026-04-18,06,quantile,0.8,145.55555555555554
2026-04-18,wk inc covid hosp,0,2026-04-18,06,quantile,0.85,159.01666666666668
2026-04-18,wk inc covid hosp,0,2026-04-18,06,quantile,0.9,180.5888888888889
2026-04-18,wk inc covid hosp,0,2026-04-18,06,quantile,0.95,226.5944444444444
2026-04-18,wk inc covid hosp,0,2026-04-18,06,quantile,0.975,302.78333333333336
2026-04-18,wk inc covid hosp,0,2026-04-18,06,quantile,0.99,423.3411111111111
2026-04-18,wk inc covid hosp,0,2026-04-18,08,quantile,0.01,1.0
2026-04-18,wk inc covid hosp,0,2026-04-18,08,quantile,0.025,1.6666666666666667
2026-04-18,wk inc covid hosp,0,2026-04-18,08,quantile,0.05,2.2222222222222223
2026-04-18,wk inc covid hosp,0,2026-04-18,08,quantile,0.1,2.888888888888889
2026-04-18,wk inc covid hosp,0,2026-04-18,08,quantile,0.15,3.2222222222222223
2026-04-18,wk inc covid hosp,0,2026-04-18,08,quantile,0.2,4.111111111111111
2026-04-18,wk inc covid hosp,0,2026-04-18,08,quantile,0.25,4.888888888888889
2026-04-18,wk inc covid hosp,0,2026-04-18,08,quantile,0.3,5.666666666666667
2026-04-18,wk inc covid hosp,0,2026-04-18,08,quantile,0.35,6.111111111111111
2026-04-18,wk inc covid hosp,0,2026-04-18,08,quantile,0.4,6.888888888888889
2026-04-18,wk inc covid hosp,0,2026-04-18,08,quantile,0.45,7.444444444444445
2026-04-18,wk inc covid hosp,0,2026-04-18,08,quantile,0.5,8.11111111111111
2026-04-18,wk inc covid hosp,0,2026-04-18,08,quantile,0.55,9.11111111111111
2026-04-18,wk inc covid hosp,0,2026-04-18,08,quantile,0.6,9.666666666666666
2026-04-18,wk inc covid hosp,0,2026-04-18,08,quantile,0.65,10.555555555555555
2026-04-18,wk inc covid hosp,0,2026-04-18,08,quantile,0.7,11.333333333333334
2026-04-18,wk inc covid hosp,0,2026-04-18,08,quantile,0.75,13.11111111111111
2026-04-18,wk inc covid hosp,0,2026-04-18,08,quantile,0.8,15.11111111111111
2026-04-18,wk inc covid hosp,0,2026-04-18,08,quantile,0.85,18.0
2026-04-18,wk inc covid hosp,0,2026-04-18,08,quantile,0.9,21.666666666666668
2026-04-18,wk inc covid hosp,0,2026-04-18,08,quantile,0.95,29.77777777777778
2026-04-18,wk inc covid hosp,0,2026-04-18,08,quantile,0.975,41.55555555555556
2026-04-18,wk inc covid hosp,0,2026-04-18,08,quantile,0.99,65.44555555555556
2026-04-18,wk inc covid hosp,0,2026-04-18,09,quantile,0.01,9.333333333333334
2026-04-18,wk inc covid hosp,0,2026-04-18,09,quantile,0.025,11.555555555555555
2026-04-18,wk inc covid hosp,0,2026-04-18,09,quantile,0.05,13.666666666666666
2026-04-18,wk inc covid hosp,0,2026-04-18,09,quantile,0.1,17.11111111111111
2026-04-18,wk inc covid hosp,0,2026-04-18,09,quantile,0.15,19.11111111111111
2026-04-18,wk inc covid hosp,0,2026-04-18,09,quantile,0.2,20.22222222222222
2026-04-18,wk inc covid hosp,0,2026-04-18,09,quantile,0.25,21.333333333333332
2026-04-18,wk inc covid hosp,0,2026-04-18,09,quantile,0.3,22.333333333333332
