reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-01-04,wk inc covid hosp,0,2025-01-04,01,quantile,0.01,450.0
2025-01-04,wk inc covid hosp,0,2025-01-04,01,quantile,0.025,490.4666666666667
2025-01-04,wk inc covid hosp,0,2025-01-04,01,quantile,0.05,530.4333333333334
2025-01-04,wk inc covid hosp,0,2025-01-04,01,quantile,0.1,577.1666666666667
2025-01-04,wk inc covid hosp,0,2025-01-04,01,quantile,0.15,607.6333333333334
2025-01-04,wk inc covid hosp,0,2025-01-04,01,quantile,0.2,630.2333333333333
2025-01-04,wk inc covid hosp,0,2025-01-04,01,quantile,0.25,649.1666666666667
2025-01-04,wk inc covid hosp,0,2025-01-04,01,quantile,0.3,668.7666666666667
2025-01-04,wk inc covid hosp,0,2025-01-04,01,quantile,0.35,686.5
2025-01-04,wk inc covid hosp,0,2025-01-04,01,quantile,0.4,702.5
2025-01-04,wk inc covid hosp,0,2025-01-04,01,quantile,0.45,717.1666666666667
2025-01-04,wk inc covid hosp,0,2025-01-04,01,quantile,0.5,733.8333333333333
2025-01-04,wk inc covid hosp,0,2025-01-04,01,quantile,0.55,749.1666666666667
2025-01-04,wk inc covid hosp,0,2025-01-04,01,quantile,0.6,765.1666666666667
2025-01-04,wk inc covid hosp,0,2025-01-04,01,quantile,0.65,781.1666666666667
2025-01-04,wk inc covid hosp,0,2025-01-04,01,quantile,0.7,798.5
2025-01-04,wk inc covid hosp,0,2025-01-04,01,quantile,0.75,815.8333333333333
2025-01-04,wk inc covid hosp,0,2025-01-04,01,quantile,0.8,838.5
2025-01-04,wk inc covid hosp,0,2025-01-04,01,quantile,0.85,866.7
2025-01-04,wk inc covid hosp,0,2025-01-04,01,quantile,0.9,898.5
2025-01-04,wk inc covid hosp,0,2025-01-04,01,quantile,0.95,953.1666666666667
2025-01-04,wk inc covid hosp,0,2025-01-04,01,quantile,0.975,990.5666666666666
2025-01-04,wk inc covid hosp,0,2025-01-04,01,quantile,0.99,1051.86
2025-01-04,wk inc covid hosp,0,2025-01-04,02,quantile,0.01,0.0
2025-01-04,wk inc covid hosp,0,2025-01-04,02,quantile,0.025,0.0
2025-01-04,wk inc covid hosp,0,2025-01-04,02,quantile,0.05,0.0
2025-01-04,wk inc covid hosp,0,2025-01-04,02,quantile,0.1,0.0
2025-01-04,wk inc covid hosp,0,2025-01-04,02,quantile,0.15,0.0
2025-01-04,wk inc covid hosp,0,2025-01-04,02,quantile,0.2,2.5
2025-01-04,wk inc covid hosp,0,2025-01-04,02,quantile,0.25,2.5
2025-01-04,wk inc covid hosp,0,2025-01-04,02,quantile,0.3,6.5
2025-01-04,wk inc covid hosp,0,2025-01-04,02,quantile,0.35,6.5
2025-01-04,wk inc covid hosp,0,2025-01-04,02,quantile,0.4,8.5
2025-01-04,wk inc covid hosp,0,2025-01-04,02,quantile,0.45,10.5
2025-01-04,wk inc covid hosp,0,2025-01-04,02,quantile,0.5,12.5
2025-01-04,wk inc covid hosp,0,2025-01-04,02,quantile,0.55,14.5
2025-01-04,wk inc covid hosp,0,2025-01-04,02,quantile,0.6,16.5
2025-01-04,wk inc covid hosp,0,2025-01-04,02,quantile,0.65,16.5
2025-01-04,wk inc covid hosp,0,2025-01-04,02,quantile,0.7,20.5
