reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-07-12,wk inc covid hosp,-1,2025-07-05,01,quantile,0.01,44.88
2025-07-12,wk inc covid hosp,-1,2025-07-05,01,quantile,0.025,45.055
2025-07-12,wk inc covid hosp,-1,2025-07-05,01,quantile,0.05,45.574
2025-07-12,wk inc covid hosp,-1,2025-07-05,01,quantile,0.1,46.159
2025-07-12,wk inc covid hosp,-1,2025-07-05,01,quantile,0.15,46.811
2025-07-12,wk inc covid hosp,-1,2025-07-05,01,quantile,0.2,47.766
2025-07-12,wk inc covid hosp,-1,2025-07-05,01,quantile,0.25,48.527
2025-07-12,wk inc covid hosp,-1,2025-07-05,01,quantile,0.3,49.293
2025-07-12,wk inc covid hosp,-1,2025-07-05,01,quantile,0.35,50.288
2025-07-12,wk inc covid hosp,-1,2025-07-05,01,quantile,0.4,51.291
2025-07-12,wk inc covid hosp,-1,2025-07-05,01,quantile,0.45,52.293
2025-07-12,wk inc covid hosp,-1,2025-07-05,01,quantile,0.5,53.62
2025-07-12,wk inc covid hosp,-1,2025-07-05,01,quantile,0.55,54.791
2025-07-12,wk inc covid hosp,-1,2025-07-05,01,quantile,0.6,56.361
2025-07-12,wk inc covid hosp,-1,2025-07-05,01,quantile,0.65,58.232
2025-07-12,wk inc covid hosp,-1,2025-07-05,01,quantile,0.7,60.149
2025-07-12,wk inc covid hosp,-1,2025-07-05,01,quantile,0.75,62.655
2025-07-12,wk inc covid hosp,-1,2025-07-05,01,quantile,0.8,65.085
2025-07-12,wk inc covid hosp,-1,2025-07-05,01,quantile,0.85,67.946
2025-07-12,wk inc covid hosp,-1,2025-07-05,01,quantile,0.9,71.468
2025-07-12,wk inc covid hosp,-1,2025-07-05,01,quantile,0.95,76.204
2025-07-12,wk inc covid hosp,-1,2025-07-05,01,quantile,0.975,79.001
2025-07-12,wk inc covid hosp,-1,2025-07-05,01,quantile,0.99,81.538
2025-07-12,wk inc covid hosp,0,2025-07-12,01,quantile,0.01,35.602
2025-07-12,wk inc covid hosp,0,2025-07-12,01,quantile,0.025,36.569
2025-07-12,wk inc covid hosp,0,2025-07-12,01,quantile,0.05,37.6
2025-07-12,wk inc covid hosp,0,2025-07-12,01,quantile,0.1,39.07
2025-07-12,wk inc covid hosp,0,2025-07-12,01,quantile,0.15,39.991
2025-07-12,wk inc covid hosp,0,2025-07-12,01,quantile,0.2,41.259
2025-07-12,wk inc covid hosp,0,2025-07-12,01,quantile,0.25,42.222
2025-07-12,wk inc covid hosp,0,2025-07-12,01,quantile,0.3,43.266
2025-07-12,wk inc covid hosp,0,2025-07-12,01,quantile,0.35,44.412
2025-07-12,wk inc covid hosp,0,2025-07-12,01,quantile,0.4,45.497
2025-07-12,wk inc covid hosp,0,2025-07-12,01,quantile,0.45,46.706
2025-07-12,wk inc covid hosp,0,2025-07-12,01,quantile,0.5,48.096
2025-07-12,wk inc covid hosp,0,2025-07-12,01,quantile,0.55,49.501
2025-07-12,wk inc covid hosp,0,2025-07-12,01,quantile,0.6,51.124
2025-07-12,wk inc covid hosp,0,2025-07-12,01,quantile,0.65,53.32
2025-07-12,wk inc covid hosp,0,2025-07-12,01,quantile,0.7,55.656
2025-07-12,wk inc covid hosp,0,2025-07-12,01,quantile,0.75,58.278
2025-07-12,wk inc covid hosp,0,2025-07-12,01,quantile,0.8,61.139
2025-07-12,wk inc covid hosp,0,2025-07-12,01,quantile,0.85,64.696
2025-07-12,wk inc covid hosp,0,2025-07-12,01,quantile,0.9,69.076
2025-07-12,wk inc covid hosp,0,2025-07-12,01,quantile,0.95,74.228
2025-07-12,wk inc covid hosp,0,2025-07-12,01,quantile,0.975,77.946
2025-07-12,wk inc covid hosp,0,2025-07-12,01,quantile,0.99,81.607
2025-07-12,wk inc covid hosp,1,2025-07-19,01,quantile,0.01,28.254
2025-07-12,wk inc covid hosp,1,2025-07-19,01,quantile,0.025,29.597
2025-07-12,wk inc covid hosp,1,2025-07-19,01,quantile,0.05,30.681
2025-07-12,wk inc covid hosp,1,2025-07-19,01,quantile,0.1,32.567
2025-07-12,wk inc covid hosp,1,2025-07-19,01,quantile,0.15,34.142
2025-07-12,wk inc covid hosp,1,2025-07-19,01,quantile,0.2,35.376
2025-07-12,wk inc covid hosp,1,2025-07-19,01,quantile,0.25,36.586
2025-07-12,wk inc covid hosp,1,2025-07-19,01,quantile,0.3,37.667
2025-07-12,wk inc covid hosp,1,2025-07-19,01,quantile,0.35,38.967
2025-07-12,wk inc covid hosp,1,2025-07-19,01,quantile,0.4,40.608
2025-07-12,wk inc covid hosp,1,2025-07-19,01,quantile,0.45,42.338
2025-07-12,wk inc covid hosp,1,2025-07-19,01,quantile,0.5,43.808
2025-07-12,wk inc covid hosp,1,2025-07-19,01,quantile,0.55,45.82
2025-07-12,wk inc covid hosp,1,2025-07-19,01,quantile,0.6,47.957
2025-07-12,wk inc covid hosp,1,2025-07-19,01,quantile,0.65,50.315
2025-07-12,wk inc covid hosp,1,2025-07-19,01,quantile,0.7,52.74
2025-07-12,wk inc covid hosp,1,2025-07-19,01,quantile,0.75,55.938
2025-07-12,wk inc covid hosp,1,2025-07-19,01,quantile,0.8,59.617
2025-07-12,wk inc covid hosp,1,2025-07-19,01,quantile,0.85,64.728
2025-07-12,wk inc covid hosp,1,2025-07-19,01,quantile,0.9,70.032
2025-07-12,wk inc covid hosp,1,2025-07-19,01,quantile,0.95,77.089
2025-07-12,wk inc covid hosp,1,2025-07-19,01,quantile,0.975,82.058
2025-07-12,wk inc covid hosp,1,2025-07-19,01,quantile,0.99,86.502
2025-07-12,wk inc covid hosp,2,2025-07-26,01,quantile,0.01,22.717
2025-07-12,wk inc covid hosp,2,2025-07-26,01,quantile,0.025,24.184
2025-07-12,wk inc covid hosp,2,2025-07-26,01,quantile,0.05,25.363
2025-07-12,wk inc covid hosp,2,2025-07-26,01,quantile,0.1,27.473
2025-07-12,wk inc covid hosp,2,2025-07-26,01,quantile,0.15,29.243
2025-07-12,wk inc covid hosp,2,2025-07-26,01,quantile,0.2,30.51
2025-07-12,wk inc covid hosp,2,2025-07-26,01,quantile,0.25,31.774
2025-07-12,wk inc covid hosp,2,2025-07-26,01,quantile,0.3,33.05
2025-07-12,wk inc covid hosp,2,2025-07-26,01,quantile,0.35,34.519
2025-07-12,wk inc covid hosp,2,2025-07-26,01,quantile,0.4,36.191
2025-07-12,wk inc covid hosp,2,2025-07-26,01,quantile,0.45,37.946
2025-07-12,wk inc covid hosp,2,2025-07-26,01,quantile,0.5,40.222
2025-07-12,wk inc covid hosp,2,2025-07-26,01,quantile,0.55,43.042
2025-07-12,wk inc covid hosp,2,2025-07-26,01,quantile,0.6,45.313
2025-07-12,wk inc covid hosp,2,2025-07-26,01,quantile,0.65,47.938
2025-07-12,wk inc covid hosp,2,2025-07-26,01,quantile,0.7,51.114
2025-07-12,wk inc covid hosp,2,2025-07-26,01,quantile,0.75,55.15
2025-07-12,wk inc covid hosp,2,2025-07-26,01,quantile,0.8,60.086
2025-07-12,wk inc covid hosp,2,2025-07-26,01,quantile,0.85,66.378
2025-07-12,wk inc covid hosp,2,2025-07-26,01,quantile,0.9,73.682
2025-07-12,wk inc covid hosp,2,2025-07-26,01,quantile,0.95,83.065
2025-07-12,wk inc covid hosp,2,2025-07-26,01,quantile,0.975,88.411
2025-07-12,wk inc covid hosp,2,2025-07-26,01,quantile,0.99,94.445
2025-07-12,wk inc covid hosp,3,2025-08-02,01,quantile,0.01,18.753
2025-07-12,wk inc covid hosp,3,2025-08-02,01,quantile,0.025,19.948
2025-07-12,wk inc covid hosp,3,2025-08-02,01,quantile,0.05,21.202
2025-07-12,wk inc covid hosp,3,2025-08-02,01,quantile,0.1,23.55
2025-07-12,wk inc covid hosp,3,2025-08-02,01,quantile,0.15,25.281
2025-07-12,wk inc covid hosp,3,2025-08-02,01,quantile,0.2,26.723
2025-07-12,wk inc covid hosp,3,2025-08-02,01,quantile,0.25,28.032
2025-07-12,wk inc covid hosp,3,2025-08-02,01,quantile,0.3,29.303
2025-07-12,wk inc covid hosp,3,2025-08-02,01,quantile,0.35,30.528
2025-07-12,wk inc covid hosp,3,2025-08-02,01,quantile,0.4,32.125
2025-07-12,wk inc covid hosp,3,2025-08-02,01,quantile,0.45,34.555
2025-07-12,wk inc covid hosp,3,2025-08-02,01,quantile,0.5,36.922
2025-07-12,wk inc covid hosp,3,2025-08-02,01,quantile,0.55,40.189
2025-07-12,wk inc covid hosp,3,2025-08-02,01,quantile,0.6,43.908
2025-07-12,wk inc covid hosp,3,2025-08-02,01,quantile,0.65,48.066
2025-07-12,wk inc covid hosp,3,2025-08-02,01,quantile,0.7,51.241
2025-07-12,wk inc covid hosp,3,2025-08-02,01,quantile,0.75,55.721
2025-07-12,wk inc covid hosp,3,2025-08-02,01,quantile,0.8,61.237
2025-07-12,wk inc covid hosp,3,2025-08-02,01,quantile,0.85,70.644
2025-07-12,wk inc covid hosp,3,2025-08-02,01,quantile,0.9,79.675
2025-07-12,wk inc covid hosp,3,2025-08-02,01,quantile,0.95,90.873
2025-07-12,wk inc covid hosp,3,2025-08-02,01,quantile,0.975,97.786
2025-07-12,wk inc covid hosp,3,2025-08-02,01,quantile,0.99,105.499
2025-07-12,wk inc covid hosp,-1,2025-07-05,02,quantile,0.01,1.0
2025-07-12,wk inc covid hosp,-1,2025-07-05,02,quantile,0.025,2.0
2025-07-12,wk inc covid hosp,-1,2025-07-05,02,quantile,0.05,3.0
2025-07-12,wk inc covid hosp,-1,2025-07-05,02,quantile,0.1,4.0
2025-07-12,wk inc covid hosp,-1,2025-07-05,02,quantile,0.15,5.0
2025-07-12,wk inc covid hosp,-1,2025-07-05,02,quantile,0.2,5.0
2025-07-12,wk inc covid hosp,-1,2025-07-05,02,quantile,0.25,6.0
2025-07-12,wk inc covid hosp,-1,2025-07-05,02,quantile,0.3,6.0
2025-07-12,wk inc covid hosp,-1,2025-07-05,02,quantile,0.35,7.0
2025-07-12,wk inc covid hosp,-1,2025-07-05,02,quantile,0.4,7.0
2025-07-12,wk inc covid hosp,-1,2025-07-05,02,quantile,0.45,8.0
2025-07-12,wk inc covid hosp,-1,2025-07-05,02,quantile,0.5,8.0
2025-07-12,wk inc covid hosp,-1,2025-07-05,02,quantile,0.55,9.0
2025-07-12,wk inc covid hosp,-1,2025-07-05,02,quantile,0.6,9.0
2025-07-12,wk inc covid hosp,-1,2025-07-05,02,quantile,0.65,10.0
2025-07-12,wk inc covid hosp,-1,2025-07-05,02,quantile,0.7,11.0
2025-07-12,wk inc covid hosp,-1,2025-07-05,02,quantile,0.75,11.0
2025-07-12,wk inc covid hosp,-1,2025-07-05,02,quantile,0.8,12.0
2025-07-12,wk inc covid hosp,-1,2025-07-05,02,quantile,0.85,13.0
2025-07-12,wk inc covid hosp,-1,2025-07-05,02,quantile,0.9,14.0
2025-07-12,wk inc covid hosp,-1,2025-07-05,02,quantile,0.95,16.0
2025-07-12,wk inc covid hosp,-1,2025-07-05,02,quantile,0.975,18.0
2025-07-12,wk inc covid hosp,-1,2025-07-05,02,quantile,0.99,20.0
2025-07-12,wk inc covid hosp,0,2025-07-12,02,quantile,0.01,2.0
2025-07-12,wk inc covid hosp,0,2025-07-12,02,quantile,0.025,2.0
2025-07-12,wk inc covid hosp,0,2025-07-12,02,quantile,0.05,3.0
2025-07-12,wk inc covid hosp,0,2025-07-12,02,quantile,0.1,4.0
2025-07-12,wk inc covid hosp,0,2025-07-12,02,quantile,0.15,5.0
2025-07-12,wk inc covid hosp,0,2025-07-12,02,quantile,0.2,5.0
2025-07-12,wk inc covid hosp,0,2025-07-12,02,quantile,0.25,6.0
2025-07-12,wk inc covid hosp,0,2025-07-12,02,quantile,0.3,7.0
2025-07-12,wk inc covid hosp,0,2025-07-12,02,quantile,0.35,7.0
2025-07-12,wk inc covid hosp,0,2025-07-12,02,quantile,0.4,8.0
2025-07-12,wk inc covid hosp,0,2025-07-12,02,quantile,0.45,8.0
2025-07-12,wk inc covid hosp,0,2025-07-12,02,quantile,0.5,9.0
2025-07-12,wk inc covid hosp,0,2025-07-12,02,quantile,0.55,9.0
2025-07-12,wk inc covid hosp,0,2025-07-12,02,quantile,0.6,10.0
2025-07-12,wk inc covid hosp,0,2025-07-12,02,quantile,0.65,10.0
2025-07-12,wk inc covid hosp,0,2025-07-12,02,quantile,0.7,11.0
2025-07-12,wk inc covid hosp,0,2025-07-12,02,quantile,0.75,12.0
2025-07-12,wk inc covid hosp,0,2025-07-12,02,quantile,0.8,12.0
2025-07-12,wk inc covid hosp,0,2025-07-12,02,quantile,0.85,13.0
2025-07-12,wk inc covid hosp,0,2025-07-12,02,quantile,0.9,15.0
2025-07-12,wk inc covid hosp,0,2025-07-12,02,quantile,0.95,17.0
2025-07-12,wk inc covid hosp,0,2025-07-12,02,quantile,0.975,18.0
2025-07-12,wk inc covid hosp,0,2025-07-12,02,quantile,0.99,21.0
2025-07-12,wk inc covid hosp,1,2025-07-19,02,quantile,0.01,2.0
2025-07-12,wk inc covid hosp,1,2025-07-19,02,quantile,0.025,2.0
2025-07-12,wk inc covid hosp,1,2025-07-19,02,quantile,0.05,3.0
2025-07-12,wk inc covid hosp,1,2025-07-19,02,quantile,0.1,4.0
2025-07-12,wk inc covid hosp,1,2025-07-19,02,quantile,0.15,5.0
2025-07-12,wk inc covid hosp,1,2025-07-19,02,quantile,0.2,6.0
2025-07-12,wk inc covid hosp,1,2025-07-19,02,quantile,0.25,6.0
2025-07-12,wk inc covid hosp,1,2025-07-19,02,quantile,0.3,7.0
2025-07-12,wk inc covid hosp,1,2025-07-19,02,quantile,0.35,7.0
2025-07-12,wk inc covid hosp,1,2025-07-19,02,quantile,0.4,8.0
2025-07-12,wk inc covid hosp,1,2025-07-19,02,quantile,0.45,8.0
2025-07-12,wk inc covid hosp,1,2025-07-19,02,quantile,0.5,9.0
2025-07-12,wk inc covid hosp,1,2025-07-19,02,quantile,0.55,9.0
2025-07-12,wk inc covid hosp,1,2025-07-19,02,quantile,0.6,10.0
2025-07-12,wk inc covid hosp,1,2025-07-19,02,quantile,0.65,10.0
2025-07-12,wk inc covid hosp,1,2025-07-19,02,quantile,0.7,11.0
2025-07-12,wk inc covid hosp,1,2025-07-19,02,quantile,0.75,12.0
2025-07-12,wk inc covid hosp,1,2025-07-19,02,quantile,0.8,13.0
2025-07-12,wk inc covid hosp,1,2025-07-19,02,quantile,0.85,14.0
2025-07-12,wk inc covid hosp,1,2025-07-19,02,quantile,0.9,15.0
2025-07-12,wk inc covid hosp,1,2025-07-19,02,quantile,0.95,17.0
2025-07-12,wk inc covid hosp,1,2025-07-19,02,quantile,0.975,19.0
2025-07-12,wk inc covid hosp,1,2025-07-19,02,quantile,0.99,21.0
2025-07-12,wk inc covid hosp,2,2025-07-26,02,quantile,0.01,2.0
2025-07-12,wk inc covid hosp,2,2025-07-26,02,quantile,0.025,3.0
2025-07-12,wk inc covid hosp,2,2025-07-26,02,quantile,0.05,3.0
2025-07-12,wk inc covid hosp,2,2025-07-26,02,quantile,0.1,4.0
2025-07-12,wk inc covid hosp,2,2025-07-26,02,quantile,0.15,5.0
2025-07-12,wk inc covid hosp,2,2025-07-26,02,quantile,0.2,6.0
2025-07-12,wk inc covid hosp,2,2025-07-26,02,quantile,0.25,6.0
2025-07-12,wk inc covid hosp,2,2025-07-26,02,quantile,0.3,7.0
2025-07-12,wk inc covid hosp,2,2025-07-26,02,quantile,0.35,7.0
2025-07-12,wk inc covid hosp,2,2025-07-26,02,quantile,0.4,8.0
2025-07-12,wk inc covid hosp,2,2025-07-26,02,quantile,0.45,9.0
2025-07-12,wk inc covid hosp,2,2025-07-26,02,quantile,0.5,9.0
2025-07-12,wk inc covid hosp,2,2025-07-26,02,quantile,0.55,10.0
2025-07-12,wk inc covid hosp,2,2025-07-26,02,quantile,0.6,10.0
2025-07-12,wk inc covid hosp,2,2025-07-26,02,quantile,0.65,11.0
