reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2024-12-21,wk inc covid hosp,0,2024-12-21,US,quantile,0.01,4714.608764075804
2024-12-21,wk inc covid hosp,0,2024-12-21,US,quantile,0.025,5809.237734787747
2024-12-21,wk inc covid hosp,0,2024-12-21,US,quantile,0.05,6752.70530514713
2024-12-21,wk inc covid hosp,0,2024-12-21,US,quantile,0.1,7847.289120393642
2024-12-21,wk inc covid hosp,0,2024-12-21,US,quantile,0.15,8594.158270104646
2024-12-21,wk inc covid hosp,0,2024-12-21,US,quantile,0.2,9194.762032795408
2024-12-21,wk inc covid hosp,0,2024-12-21,US,quantile,0.25,9716.238096457655
2024-12-21,wk inc covid hosp,0,2024-12-21,US,quantile,0.3,10192.551290875916
2024-12-21,wk inc covid hosp,0,2024-12-21,US,quantile,0.35,10642.355086741363
2024-12-21,wk inc covid hosp,0,2024-12-21,US,quantile,0.4,11079.341498203188
2024-12-21,wk inc covid hosp,0,2024-12-21,US,quantile,0.45,11513.835654878507
2024-12-21,wk inc covid hosp,0,2024-12-21,US,quantile,0.5,11955.277445306532
2024-12-21,wk inc covid hosp,0,2024-12-21,US,quantile,0.55,12414.619309044796
2024-12-21,wk inc covid hosp,0,2024-12-21,US,quantile,0.6,12902.860963260884
2024-12-21,wk inc covid hosp,0,2024-12-21,US,quantile,0.65,13435.210331282127
2024-12-21,wk inc covid hosp,0,2024-12-21,US,quantile,0.7,14032.849314860638
2024-12-21,wk inc covid hosp,0,2024-12-21,US,quantile,0.75,14731.843539518062
2024-12-21,wk inc covid hosp,0,2024-12-21,US,quantile,0.8,15583.320398689346
2024-12-21,wk inc covid hosp,0,2024-12-21,US,quantile,0.85,16702.472064501322
2024-12-21,wk inc covid hosp,0,2024-12-21,US,quantile,0.9,18326.822495954795
2024-12-21,wk inc covid hosp,0,2024-12-21,US,quantile,0.95,21366.25224441237
2024-12-21,wk inc covid hosp,0,2024-12-21,US,quantile,0.975,24987.188807305007
2024-12-21,wk inc covid hosp,0,2024-12-21,US,quantile,0.99,32158.849722098585
2024-12-21,wk inc covid hosp,2,2025-01-04,US,quantile,0.01,6914.70848228676
2024-12-21,wk inc covid hosp,2,2025-01-04,US,quantile,0.025,8708.449886377779
2024-12-21,wk inc covid hosp,2,2025-01-04,US,quantile,0.05,10209.763077748124
2024-12-21,wk inc covid hosp,2,2025-01-04,US,quantile,0.1,11918.734498493193
2024-12-21,wk inc covid hosp,2,2025-01-04,US,quantile,0.15,13048.649766091752
2024-12-21,wk inc covid hosp,2,2025-01-04,US,quantile,0.2,13932.50395574941
2024-12-21,wk inc covid hosp,2,2025-01-04,US,quantile,0.25,14683.973604411034
2024-12-21,wk inc covid hosp,2,2025-01-04,US,quantile,0.3,15353.948941621373
2024-12-21,wk inc covid hosp,2,2025-01-04,US,quantile,0.35,15976.631214969453
2024-12-21,wk inc covid hosp,2,2025-01-04,US,quantile,0.4,16572.5838368478
2024-12-21,wk inc covid hosp,2,2025-01-04,US,quantile,0.45,17157.400182595436
2024-12-21,wk inc covid hosp,2,2025-01-04,US,quantile,0.5,17746.02319079246
2024-12-21,wk inc covid hosp,2,2025-01-04,US,quantile,0.55,18350.219182579083
2024-12-21,wk inc covid hosp,2,2025-01-04,US,quantile,0.6,18987.251861559485
2024-12-21,wk inc covid hosp,2,2025-01-04,US,quantile,0.65,19676.22029469924
2024-12-21,wk inc covid hosp,2,2025-01-04,US,quantile,0.7,20445.10014202466
2024-12-21,wk inc covid hosp,2,2025-01-04,US,quantile,0.75,21339.26664325085
2024-12-21,wk inc covid hosp,2,2025-01-04,US,quantile,0.8,22428.38410821823
2024-12-21,wk inc covid hosp,2,2025-01-04,US,quantile,0.85,23863.187775828348
2024-12-21,wk inc covid hosp,2,2025-01-04,US,quantile,0.9,25978.841442567737
2024-12-21,wk inc covid hosp,2,2025-01-04,US,quantile,0.95,29864.877302077864
2024-12-21,wk inc covid hosp,2,2025-01-04,US,quantile,0.975,34338.54537798951
2024-12-21,wk inc covid hosp,2,2025-01-04,US,quantile,0.99,42823.15838073242
