reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-09-05,wk inc covid hosp,0,2026-09-05,01,quantile,0.01,62.0
2026-09-05,wk inc covid hosp,0,2026-09-05,01,quantile,0.025,63.0
2026-09-05,wk inc covid hosp,0,2026-09-05,01,quantile,0.05,63.0
2026-09-05,wk inc covid hosp,0,2026-09-05,01,quantile,0.1,64.0
2026-09-05,wk inc covid hosp,0,2026-09-05,01,quantile,0.15,64.0
2026-09-05,wk inc covid hosp,0,2026-09-05,01,quantile,0.2,65.0
2026-09-05,wk inc covid hosp,0,2026-09-05,01,quantile,0.25,66.0
2026-09-05,wk inc covid hosp,0,2026-09-05,01,quantile,0.3,67.0
2026-09-05,wk inc covid hosp,0,2026-09-05,01,quantile,0.35,67.0
2026-09-05,wk inc covid hosp,0,2026-09-05,01,quantile,0.4,69.0
2026-09-05,wk inc covid hosp,0,2026-09-05,01,quantile,0.45,69.0
2026-09-05,wk inc covid hosp,0,2026-09-05,01,quantile,0.5,70.0
2026-09-05,wk inc covid hosp,0,2026-09-05,01,quantile,0.55,71.0
2026-09-05,wk inc covid hosp,0,2026-09-05,01,quantile,0.6,71.0
2026-09-05,wk inc covid hosp,0,2026-09-05,01,quantile,0.65,72.0
2026-09-05,wk inc covid hosp,0,2026-09-05,01,quantile,0.7,72.0
2026-09-05,wk inc covid hosp,0,2026-09-05,01,quantile,0.75,73.0
2026-09-05,wk inc covid hosp,0,2026-09-05,01,quantile,0.8,74.0
2026-09-05,wk inc covid hosp,0,2026-09-05,01,quantile,0.85,74.0
2026-09-05,wk inc covid hosp,0,2026-09-05,01,quantile,0.9,75.0
2026-09-05,wk inc covid hosp,0,2026-09-05,01,quantile,0.95,76.0
2026-09-05,wk inc covid hosp,0,2026-09-05,01,quantile,0.975,76.0
2026-09-05,wk inc covid hosp,0,2026-09-05,01,quantile,0.99,76.0
2026-09-05,wk inc covid hosp,1,2026-09-12,01,quantile,0.01,59.0
2026-09-05,wk inc covid hosp,1,2026-09-12,01,quantile,0.025,60.0
2026-09-05,wk inc covid hosp,1,2026-09-12,01,quantile,0.05,60.0
2026-09-05,wk inc covid hosp,1,2026-09-12,01,quantile,0.1,60.0
2026-09-05,wk inc covid hosp,1,2026-09-12,01,quantile,0.15,61.0
2026-09-05,wk inc covid hosp,1,2026-09-12,01,quantile,0.2,62.0
2026-09-05,wk inc covid hosp,1,2026-09-12,01,quantile,0.25,62.0
2026-09-05,wk inc covid hosp,1,2026-09-12,01,quantile,0.3,63.0
2026-09-05,wk inc covid hosp,1,2026-09-12,01,quantile,0.35,64.0
2026-09-05,wk inc covid hosp,1,2026-09-12,01,quantile,0.4,65.0
2026-09-05,wk inc covid hosp,1,2026-09-12,01,quantile,0.45,65.0
2026-09-05,wk inc covid hosp,1,2026-09-12,01,quantile,0.5,66.0
2026-09-05,wk inc covid hosp,1,2026-09-12,01,quantile,0.55,66.0
2026-09-05,wk inc covid hosp,1,2026-09-12,01,quantile,0.6,67.0
2026-09-05,wk inc covid hosp,1,2026-09-12,01,quantile,0.65,67.0
2026-09-05,wk inc covid hosp,1,2026-09-12,01,quantile,0.7,68.0
2026-09-05,wk inc covid hosp,1,2026-09-12,01,quantile,0.75,69.0
2026-09-05,wk inc covid hosp,1,2026-09-12,01,quantile,0.8,69.0
2026-09-05,wk inc covid hosp,1,2026-09-12,01,quantile,0.85,70.0
2026-09-05,wk inc covid hosp,1,2026-09-12,01,quantile,0.9,71.0
2026-09-05,wk inc covid hosp,1,2026-09-12,01,quantile,0.95,71.0
2026-09-05,wk inc covid hosp,1,2026-09-12,01,quantile,0.975,72.0
2026-09-05,wk inc covid hosp,1,2026-09-12,01,quantile,0.99,72.0
2026-09-05,wk inc covid hosp,2,2026-09-19,01,quantile,0.01,59.0
2026-09-05,wk inc covid hosp,2,2026-09-19,01,quantile,0.025,59.0
2026-09-05,wk inc covid hosp,2,2026-09-19,01,quantile,0.05,60.0
2026-09-05,wk inc covid hosp,2,2026-09-19,01,quantile,0.1,60.0
2026-09-05,wk inc covid hosp,2,2026-09-19,01,quantile,0.15,61.0
2026-09-05,wk inc covid hosp,2,2026-09-19,01,quantile,0.2,61.0
2026-09-05,wk inc covid hosp,2,2026-09-19,01,quantile,0.25,62.0
2026-09-05,wk inc covid hosp,2,2026-09-19,01,quantile,0.3,63.0
2026-09-05,wk inc covid hosp,2,2026-09-19,01,quantile,0.35,63.0
2026-09-05,wk inc covid hosp,2,2026-09-19,01,quantile,0.4,64.0
2026-09-05,wk inc covid hosp,2,2026-09-19,01,quantile,0.45,65.0
2026-09-05,wk inc covid hosp,2,2026-09-19,01,quantile,0.5,65.0
2026-09-05,wk inc covid hosp,2,2026-09-19,01,quantile,0.55,66.0
2026-09-05,wk inc covid hosp,2,2026-09-19,01,quantile,0.6,66.0
2026-09-05,wk inc covid hosp,2,2026-09-19,01,quantile,0.65,67.0
2026-09-05,wk inc covid hosp,2,2026-09-19,01,quantile,0.7,67.0
2026-09-05,wk inc covid hosp,2,2026-09-19,01,quantile,0.75,68.0
2026-09-05,wk inc covid hosp,2,2026-09-19,01,quantile,0.8,69.0
2026-09-05,wk inc covid hosp,2,2026-09-19,01,quantile,0.85,69.0
2026-09-05,wk inc covid hosp,2,2026-09-19,01,quantile,0.9,70.0
2026-09-05,wk inc covid hosp,2,2026-09-19,01,quantile,0.95,71.0
2026-09-05,wk inc covid hosp,2,2026-09-19,01,quantile,0.975,71.0
2026-09-05,wk inc covid hosp,2,2026-09-19,01,quantile,0.99,71.0
2026-09-05,wk inc covid hosp,3,2026-09-26,01,quantile,0.01,55.0
2026-09-05,wk inc covid hosp,3,2026-09-26,01,quantile,0.025,55.0
2026-09-05,wk inc covid hosp,3,2026-09-26,01,quantile,0.05,56.0
2026-09-05,wk inc covid hosp,3,2026-09-26,01,quantile,0.1,56.0
2026-09-05,wk inc covid hosp,3,2026-09-26,01,quantile,0.15,57.0
2026-09-05,wk inc covid hosp,3,2026-09-26,01,quantile,0.2,57.0
2026-09-05,wk inc covid hosp,3,2026-09-26,01,quantile,0.25,58.0
2026-09-05,wk inc covid hosp,3,2026-09-26,01,quantile,0.3,59.0
2026-09-05,wk inc covid hosp,3,2026-09-26,01,quantile,0.35,60.0
2026-09-05,wk inc covid hosp,3,2026-09-26,01,quantile,0.4,60.0
2026-09-05,wk inc covid hosp,3,2026-09-26,01,quantile,0.45,61.0
2026-09-05,wk inc covid hosp,3,2026-09-26,01,quantile,0.5,62.0
2026-09-05,wk inc covid hosp,3,2026-09-26,01,quantile,0.55,62.0
2026-09-05,wk inc covid hosp,3,2026-09-26,01,quantile,0.6,63.0
2026-09-05,wk inc covid hosp,3,2026-09-26,01,quantile,0.65,64.0
2026-09-05,wk inc covid hosp,3,2026-09-26,01,quantile,0.7,64.0
2026-09-05,wk inc covid hosp,3,2026-09-26,01,quantile,0.75,65.0
2026-09-05,wk inc covid hosp,3,2026-09-26,01,quantile,0.8,65.0
2026-09-05,wk inc covid hosp,3,2026-09-26,01,quantile,0.85,66.0
2026-09-05,wk inc covid hosp,3,2026-09-26,01,quantile,0.9,67.0
2026-09-05,wk inc covid hosp,3,2026-09-26,01,quantile,0.95,67.0
2026-09-05,wk inc covid hosp,3,2026-09-26,01,quantile,0.975,67.0
2026-09-05,wk inc covid hosp,3,2026-09-26,01,quantile,0.99,68.0
2026-09-05,wk inc covid hosp,0,2026-09-05,02,quantile,0.01,3.0
2026-09-05,wk inc covid hosp,0,2026-09-05,02,quantile,0.025,3.0
2026-09-05,wk inc covid hosp,0,2026-09-05,02,quantile,0.05,3.0
2026-09-05,wk inc covid hosp,0,2026-09-05,02,quantile,0.1,3.0
2026-09-05,wk inc covid hosp,0,2026-09-05,02,quantile,0.15,3.0
2026-09-05,wk inc covid hosp,0,2026-09-05,02,quantile,0.2,3.0
2026-09-05,wk inc covid hosp,0,2026-09-05,02,quantile,0.25,3.0
2026-09-05,wk inc covid hosp,0,2026-09-05,02,quantile,0.3,3.0
2026-09-05,wk inc covid hosp,0,2026-09-05,02,quantile,0.35,3.0
2026-09-05,wk inc covid hosp,0,2026-09-05,02,quantile,0.4,3.0
2026-09-05,wk inc covid hosp,0,2026-09-05,02,quantile,0.45,3.0
2026-09-05,wk inc covid hosp,0,2026-09-05,02,quantile,0.5,3.0
2026-09-05,wk inc covid hosp,0,2026-09-05,02,quantile,0.55,4.0
2026-09-05,wk inc covid hosp,0,2026-09-05,02,quantile,0.6,4.0
2026-09-05,wk inc covid hosp,0,2026-09-05,02,quantile,0.65,4.0
2026-09-05,wk inc covid hosp,0,2026-09-05,02,quantile,0.7,4.0
