reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-06-21,wk inc covid hosp,-1,2025-06-14,01,quantile,0.01,30.72
2025-06-21,wk inc covid hosp,0,2025-06-21,01,quantile,0.01,24.52
2025-06-21,wk inc covid hosp,1,2025-06-28,01,quantile,0.01,24.66
2025-06-21,wk inc covid hosp,2,2025-07-05,01,quantile,0.01,22.98
2025-06-21,wk inc covid hosp,3,2025-07-12,01,quantile,0.01,25.66
2025-06-21,wk inc covid hosp,-1,2025-06-14,01,quantile,0.025,34.54
2025-06-21,wk inc covid hosp,0,2025-06-21,01,quantile,0.025,28.78
2025-06-21,wk inc covid hosp,1,2025-06-28,01,quantile,0.025,29.63
2025-06-21,wk inc covid hosp,2,2025-07-05,01,quantile,0.025,28.49
2025-06-21,wk inc covid hosp,3,2025-07-12,01,quantile,0.025,32.03
2025-06-21,wk inc covid hosp,-1,2025-06-14,01,quantile,0.05,38.14
2025-06-21,wk inc covid hosp,0,2025-06-21,01,quantile,0.05,32.93
2025-06-21,wk inc covid hosp,1,2025-06-28,01,quantile,0.05,34.55
2025-06-21,wk inc covid hosp,2,2025-07-05,01,quantile,0.05,34.1
2025-06-21,wk inc covid hosp,3,2025-07-12,01,quantile,0.05,38.54
2025-06-21,wk inc covid hosp,-1,2025-06-14,01,quantile,0.1,42.67
2025-06-21,wk inc covid hosp,0,2025-06-21,01,quantile,0.1,38.33
2025-06-21,wk inc covid hosp,1,2025-06-28,01,quantile,0.1,41.06
2025-06-21,wk inc covid hosp,2,2025-07-05,01,quantile,0.1,41.69
2025-06-21,wk inc covid hosp,3,2025-07-12,01,quantile,0.1,47.41
2025-06-21,wk inc covid hosp,-1,2025-06-14,01,quantile,0.15,45.98
2025-06-21,wk inc covid hosp,0,2025-06-21,01,quantile,0.15,42.37
2025-06-21,wk inc covid hosp,1,2025-06-28,01,quantile,0.15,46.01
2025-06-21,wk inc covid hosp,2,2025-07-05,01,quantile,0.15,47.57
2025-06-21,wk inc covid hosp,3,2025-07-12,01,quantile,0.15,54.32
2025-06-21,wk inc covid hosp,-1,2025-06-14,01,quantile,0.2,48.76
2025-06-21,wk inc covid hosp,0,2025-06-21,01,quantile,0.2,45.84
2025-06-21,wk inc covid hosp,1,2025-06-28,01,quantile,0.2,50.3
2025-06-21,wk inc covid hosp,2,2025-07-05,01,quantile,0.2,52.74
2025-06-21,wk inc covid hosp,3,2025-07-12,01,quantile,0.2,60.4
2025-06-21,wk inc covid hosp,-1,2025-06-14,01,quantile,0.25,51.26
2025-06-21,wk inc covid hosp,0,2025-06-21,01,quantile,0.25,49.0
2025-06-21,wk inc covid hosp,1,2025-06-28,01,quantile,0.25,54.24
2025-06-21,wk inc covid hosp,2,2025-07-05,01,quantile,0.25,57.54
2025-06-21,wk inc covid hosp,3,2025-07-12,01,quantile,0.25,66.06
2025-06-21,wk inc covid hosp,-1,2025-06-14,01,quantile,0.3,53.59
2025-06-21,wk inc covid hosp,0,2025-06-21,01,quantile,0.3,51.99
2025-06-21,wk inc covid hosp,1,2025-06-28,01,quantile,0.3,58.0
2025-06-21,wk inc covid hosp,2,2025-07-05,01,quantile,0.3,62.15
2025-06-21,wk inc covid hosp,3,2025-07-12,01,quantile,0.3,71.51
2025-06-21,wk inc covid hosp,-1,2025-06-14,01,quantile,0.35,55.83
