reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-08-15,wk inc covid hosp,-1,2026-08-08,01,quantile,0.01,44.46
2026-08-15,wk inc covid hosp,0,2026-08-15,01,quantile,0.01,47.86
2026-08-15,wk inc covid hosp,1,2026-08-22,01,quantile,0.01,48.74
2026-08-15,wk inc covid hosp,2,2026-08-29,01,quantile,0.01,50.84
2026-08-15,wk inc covid hosp,3,2026-09-05,01,quantile,0.01,49.06
2026-08-15,wk inc covid hosp,-1,2026-08-08,01,quantile,0.025,47.0
2026-08-15,wk inc covid hosp,0,2026-08-15,01,quantile,0.025,51.4
2026-08-15,wk inc covid hosp,1,2026-08-22,01,quantile,0.025,53.12
2026-08-15,wk inc covid hosp,2,2026-08-29,01,quantile,0.025,55.81
2026-08-15,wk inc covid hosp,3,2026-09-05,01,quantile,0.025,54.36
2026-08-15,wk inc covid hosp,-1,2026-08-08,01,quantile,0.05,49.27
2026-08-15,wk inc covid hosp,0,2026-08-15,01,quantile,0.05,54.62
2026-08-15,wk inc covid hosp,1,2026-08-22,01,quantile,0.05,57.14
2026-08-15,wk inc covid hosp,2,2026-08-29,01,quantile,0.05,60.4
2026-08-15,wk inc covid hosp,3,2026-09-05,01,quantile,0.05,59.3
2026-08-15,wk inc covid hosp,-1,2026-08-08,01,quantile,0.1,52.01
2026-08-15,wk inc covid hosp,0,2026-08-15,01,quantile,0.1,58.54
2026-08-15,wk inc covid hosp,1,2026-08-22,01,quantile,0.1,62.09
2026-08-15,wk inc covid hosp,2,2026-08-29,01,quantile,0.1,66.09
2026-08-15,wk inc covid hosp,3,2026-09-05,01,quantile,0.1,65.45
2026-08-15,wk inc covid hosp,-1,2026-08-08,01,quantile,0.15,53.93
2026-08-15,wk inc covid hosp,0,2026-08-15,01,quantile,0.15,61.31
2026-08-15,wk inc covid hosp,1,2026-08-22,01,quantile,0.15,65.63
2026-08-15,wk inc covid hosp,2,2026-08-29,01,quantile,0.15,70.17
2026-08-15,wk inc covid hosp,3,2026-09-05,01,quantile,0.15,69.9
2026-08-15,wk inc covid hosp,-1,2026-08-08,01,quantile,0.2,55.49
2026-08-15,wk inc covid hosp,0,2026-08-15,01,quantile,0.2,63.59
2026-08-15,wk inc covid hosp,1,2026-08-22,01,quantile,0.2,68.56
2026-08-15,wk inc covid hosp,2,2026-08-29,01,quantile,0.2,73.57
2026-08-15,wk inc covid hosp,3,2026-09-05,01,quantile,0.2,73.61
2026-08-15,wk inc covid hosp,-1,2026-08-08,01,quantile,0.25,56.87
2026-08-15,wk inc covid hosp,0,2026-08-15,01,quantile,0.25,65.6
2026-08-15,wk inc covid hosp,1,2026-08-22,01,quantile,0.25,71.16
2026-08-15,wk inc covid hosp,2,2026-08-29,01,quantile,0.25,76.59
2026-08-15,wk inc covid hosp,3,2026-09-05,01,quantile,0.25,76.93
2026-08-15,wk inc covid hosp,-1,2026-08-08,01,quantile,0.3,58.13
2026-08-15,wk inc covid hosp,0,2026-08-15,01,quantile,0.3,67.46
2026-08-15,wk inc covid hosp,1,2026-08-22,01,quantile,0.3,73.56
2026-08-15,wk inc covid hosp,2,2026-08-29,01,quantile,0.3,79.39
2026-08-15,wk inc covid hosp,3,2026-09-05,01,quantile,0.3,80.01
2026-08-15,wk inc covid hosp,-1,2026-08-08,01,quantile,0.35,59.31
2026-08-15,wk inc covid hosp,0,2026-08-15,01,quantile,0.35,69.21
2026-08-15,wk inc covid hosp,1,2026-08-22,01,quantile,0.35,75.85
2026-08-15,wk inc covid hosp,2,2026-08-29,01,quantile,0.35,82.06
2026-08-15,wk inc covid hosp,3,2026-09-05,01,quantile,0.35,82.96
2026-08-15,wk inc covid hosp,-1,2026-08-08,01,quantile,0.4,60.46
2026-08-15,wk inc covid hosp,0,2026-08-15,01,quantile,0.4,70.92
2026-08-15,wk inc covid hosp,1,2026-08-22,01,quantile,0.4,78.08
2026-08-15,wk inc covid hosp,2,2026-08-29,01,quantile,0.4,84.67
2026-08-15,wk inc covid hosp,3,2026-09-05,01,quantile,0.4,85.84
2026-08-15,wk inc covid hosp,-1,2026-08-08,01,quantile,0.45,61.58
2026-08-15,wk inc covid hosp,0,2026-08-15,01,quantile,0.45,72.6
2026-08-15,wk inc covid hosp,1,2026-08-22,01,quantile,0.45,80.28
2026-08-15,wk inc covid hosp,2,2026-08-29,01,quantile,0.45,87.25
2026-08-15,wk inc covid hosp,3,2026-09-05,01,quantile,0.45,88.71
2026-08-15,wk inc covid hosp,-1,2026-08-08,01,quantile,0.5,62.7
2026-08-15,wk inc covid hosp,0,2026-08-15,01,quantile,0.5,74.28
2026-08-15,wk inc covid hosp,1,2026-08-22,01,quantile,0.5,82.51
2026-08-15,wk inc covid hosp,2,2026-08-29,01,quantile,0.5,89.86
2026-08-15,wk inc covid hosp,3,2026-09-05,01,quantile,0.5,91.6
2026-08-15,wk inc covid hosp,-1,2026-08-08,01,quantile,0.55,63.85
2026-08-15,wk inc covid hosp,0,2026-08-15,01,quantile,0.55,76.0
2026-08-15,wk inc covid hosp,1,2026-08-22,01,quantile,0.55,84.78
2026-08-15,wk inc covid hosp,2,2026-08-29,01,quantile,0.55,92.53
2026-08-15,wk inc covid hosp,3,2026-09-05,01,quantile,0.55,94.58
2026-08-15,wk inc covid hosp,-1,2026-08-08,01,quantile,0.6,65.02
2026-08-15,wk inc covid hosp,0,2026-08-15,01,quantile,0.6,77.78
2026-08-15,wk inc covid hosp,1,2026-08-22,01,quantile,0.6,87.14
2026-08-15,wk inc covid hosp,2,2026-08-29,01,quantile,0.6,95.31
2026-08-15,wk inc covid hosp,3,2026-09-05,01,quantile,0.6,97.69
2026-08-15,wk inc covid hosp,-1,2026-08-08,01,quantile,0.65,66.26
2026-08-15,wk inc covid hosp,0,2026-08-15,01,quantile,0.65,79.65
2026-08-15,wk inc covid hosp,1,2026-08-22,01,quantile,0.65,89.64
2026-08-15,wk inc covid hosp,2,2026-08-29,01,quantile,0.65,98.26
2026-08-15,wk inc covid hosp,3,2026-09-05,01,quantile,0.65,100.99
2026-08-15,wk inc covid hosp,-1,2026-08-08,01,quantile,0.7,67.58
2026-08-15,wk inc covid hosp,0,2026-08-15,01,quantile,0.7,81.67
2026-08-15,wk inc covid hosp,1,2026-08-22,01,quantile,0.7,92.34
2026-08-15,wk inc covid hosp,2,2026-08-29,01,quantile,0.7,101.45
2026-08-15,wk inc covid hosp,3,2026-09-05,01,quantile,0.7,104.56
2026-08-15,wk inc covid hosp,-1,2026-08-08,01,quantile,0.75,69.03
2026-08-15,wk inc covid hosp,0,2026-08-15,01,quantile,0.75,83.89
2026-08-15,wk inc covid hosp,1,2026-08-22,01,quantile,0.75,95.33
2026-08-15,wk inc covid hosp,2,2026-08-29,01,quantile,0.75,104.99
2026-08-15,wk inc covid hosp,3,2026-09-05,01,quantile,0.75,108.54
2026-08-15,wk inc covid hosp,-1,2026-08-08,01,quantile,0.8,70.68
2026-08-15,wk inc covid hosp,0,2026-08-15,01,quantile,0.8,86.43
2026-08-15,wk inc covid hosp,1,2026-08-22,01,quantile,0.8,98.75
2026-08-15,wk inc covid hosp,2,2026-08-29,01,quantile,0.8,109.05
2026-08-15,wk inc covid hosp,3,2026-09-05,01,quantile,0.8,113.12
2026-08-15,wk inc covid hosp,-1,2026-08-08,01,quantile,0.85,72.64
2026-08-15,wk inc covid hosp,0,2026-08-15,01,quantile,0.85,89.47
2026-08-15,wk inc covid hosp,1,2026-08-22,01,quantile,0.85,102.86
2026-08-15,wk inc covid hosp,2,2026-08-29,01,quantile,0.85,113.94
2026-08-15,wk inc covid hosp,3,2026-09-05,01,quantile,0.85,118.65
2026-08-15,wk inc covid hosp,-1,2026-08-08,01,quantile,0.9,75.17
2026-08-15,wk inc covid hosp,0,2026-08-15,01,quantile,0.9,93.41
2026-08-15,wk inc covid hosp,1,2026-08-22,01,quantile,0.9,108.24
2026-08-15,wk inc covid hosp,2,2026-08-29,01,quantile,0.9,120.36
2026-08-15,wk inc covid hosp,3,2026-09-05,01,quantile,0.9,125.94
2026-08-15,wk inc covid hosp,-1,2026-08-08,01,quantile,0.95,79.06
2026-08-15,wk inc covid hosp,0,2026-08-15,01,quantile,0.95,99.52
2026-08-15,wk inc covid hosp,1,2026-08-22,01,quantile,0.95,116.64
2026-08-15,wk inc covid hosp,2,2026-08-29,01,quantile,0.95,130.42
2026-08-15,wk inc covid hosp,3,2026-09-05,01,quantile,0.95,137.41
2026-08-15,wk inc covid hosp,-1,2026-08-08,01,quantile,0.975,82.56
2026-08-15,wk inc covid hosp,0,2026-08-15,01,quantile,0.975,105.09
2026-08-15,wk inc covid hosp,1,2026-08-22,01,quantile,0.975,124.36
2026-08-15,wk inc covid hosp,2,2026-08-29,01,quantile,0.975,139.71
2026-08-15,wk inc covid hosp,3,2026-09-05,01,quantile,0.975,148.05
2026-08-15,wk inc covid hosp,-1,2026-08-08,01,quantile,0.99,86.8
2026-08-15,wk inc covid hosp,0,2026-08-15,01,quantile,0.99,111.88
2026-08-15,wk inc covid hosp,1,2026-08-22,01,quantile,0.99,133.86
2026-08-15,wk inc covid hosp,2,2026-08-29,01,quantile,0.99,151.18
2026-08-15,wk inc covid hosp,3,2026-09-05,01,quantile,0.99,161.27
2026-08-15,wk inc covid hosp,-1,2026-08-08,02,quantile,0.01,2.78
2026-08-15,wk inc covid hosp,0,2026-08-15,02,quantile,0.01,2.92
2026-08-15,wk inc covid hosp,1,2026-08-22,02,quantile,0.01,3.09
2026-08-15,wk inc covid hosp,2,2026-08-29,02,quantile,0.01,3.15
2026-08-15,wk inc covid hosp,3,2026-09-05,02,quantile,0.01,2.98
2026-08-15,wk inc covid hosp,-1,2026-08-08,02,quantile,0.025,2.92
2026-08-15,wk inc covid hosp,0,2026-08-15,02,quantile,0.025,3.13
2026-08-15,wk inc covid hosp,1,2026-08-22,02,quantile,0.025,3.34
2026-08-15,wk inc covid hosp,2,2026-08-29,02,quantile,0.025,3.44
2026-08-15,wk inc covid hosp,3,2026-09-05,02,quantile,0.025,3.29
2026-08-15,wk inc covid hosp,-1,2026-08-08,02,quantile,0.05,3.05
2026-08-15,wk inc covid hosp,0,2026-08-15,02,quantile,0.05,3.32
2026-08-15,wk inc covid hosp,1,2026-08-22,02,quantile,0.05,3.58
2026-08-15,wk inc covid hosp,2,2026-08-29,02,quantile,0.05,3.7
2026-08-15,wk inc covid hosp,3,2026-09-05,02,quantile,0.05,3.57
2026-08-15,wk inc covid hosp,-1,2026-08-08,02,quantile,0.1,3.21
2026-08-15,wk inc covid hosp,0,2026-08-15,02,quantile,0.1,3.55
2026-08-15,wk inc covid hosp,1,2026-08-22,02,quantile,0.1,3.87
2026-08-15,wk inc covid hosp,2,2026-08-29,02,quantile,0.1,4.03
2026-08-15,wk inc covid hosp,3,2026-09-05,02,quantile,0.1,3.92
2026-08-15,wk inc covid hosp,-1,2026-08-08,02,quantile,0.15,3.31
2026-08-15,wk inc covid hosp,0,2026-08-15,02,quantile,0.15,3.71
2026-08-15,wk inc covid hosp,1,2026-08-22,02,quantile,0.15,4.07
2026-08-15,wk inc covid hosp,2,2026-08-29,02,quantile,0.15,4.26
2026-08-15,wk inc covid hosp,3,2026-09-05,02,quantile,0.15,4.17
2026-08-15,wk inc covid hosp,-1,2026-08-08,02,quantile,0.2,3.4
2026-08-15,wk inc covid hosp,0,2026-08-15,02,quantile,0.2,3.84
2026-08-15,wk inc covid hosp,1,2026-08-22,02,quantile,0.2,4.24
2026-08-15,wk inc covid hosp,2,2026-08-29,02,quantile,0.2,4.46
2026-08-15,wk inc covid hosp,3,2026-09-05,02,quantile,0.2,4.38
2026-08-15,wk inc covid hosp,-1,2026-08-08,02,quantile,0.25,3.48
2026-08-15,wk inc covid hosp,0,2026-08-15,02,quantile,0.25,3.96
2026-08-15,wk inc covid hosp,1,2026-08-22,02,quantile,0.25,4.39
2026-08-15,wk inc covid hosp,2,2026-08-29,02,quantile,0.25,4.63
2026-08-15,wk inc covid hosp,3,2026-09-05,02,quantile,0.25,4.57
2026-08-15,wk inc covid hosp,-1,2026-08-08,02,quantile,0.3,3.55
2026-08-15,wk inc covid hosp,0,2026-08-15,02,quantile,0.3,4.07
2026-08-15,wk inc covid hosp,1,2026-08-22,02,quantile,0.3,4.53
2026-08-15,wk inc covid hosp,2,2026-08-29,02,quantile,0.3,4.79
2026-08-15,wk inc covid hosp,3,2026-09-05,02,quantile,0.3,4.74
2026-08-15,wk inc covid hosp,-1,2026-08-08,02,quantile,0.35,3.61
2026-08-15,wk inc covid hosp,0,2026-08-15,02,quantile,0.35,4.17
2026-08-15,wk inc covid hosp,1,2026-08-22,02,quantile,0.35,4.66
