reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-06-20,wk inc covid hosp,0,2026-06-20,01,quantile,0.01,15
2026-06-20,wk inc covid hosp,0,2026-06-20,01,quantile,0.025,17
2026-06-20,wk inc covid hosp,0,2026-06-20,01,quantile,0.05,19
2026-06-20,wk inc covid hosp,0,2026-06-20,01,quantile,0.1,22
2026-06-20,wk inc covid hosp,0,2026-06-20,01,quantile,0.15,23
2026-06-20,wk inc covid hosp,0,2026-06-20,01,quantile,0.2,25
2026-06-20,wk inc covid hosp,0,2026-06-20,01,quantile,0.25,26
2026-06-20,wk inc covid hosp,0,2026-06-20,01,quantile,0.3,27
2026-06-20,wk inc covid hosp,0,2026-06-20,01,quantile,0.35,28
2026-06-20,wk inc covid hosp,0,2026-06-20,01,quantile,0.4,29
2026-06-20,wk inc covid hosp,0,2026-06-20,01,quantile,0.45,31
2026-06-20,wk inc covid hosp,0,2026-06-20,01,quantile,0.5,32
2026-06-20,wk inc covid hosp,0,2026-06-20,01,quantile,0.55,33
2026-06-20,wk inc covid hosp,0,2026-06-20,01,quantile,0.6,34
2026-06-20,wk inc covid hosp,0,2026-06-20,01,quantile,0.65,35
2026-06-20,wk inc covid hosp,0,2026-06-20,01,quantile,0.7,36
2026-06-20,wk inc covid hosp,0,2026-06-20,01,quantile,0.75,38
2026-06-20,wk inc covid hosp,0,2026-06-20,01,quantile,0.8,39
2026-06-20,wk inc covid hosp,0,2026-06-20,01,quantile,0.85,41
2026-06-20,wk inc covid hosp,0,2026-06-20,01,quantile,0.9,44
2026-06-20,wk inc covid hosp,0,2026-06-20,01,quantile,0.95,49
2026-06-20,wk inc covid hosp,0,2026-06-20,01,quantile,0.975,52
2026-06-20,wk inc covid hosp,0,2026-06-20,01,quantile,0.99,57.01000000000022
2026-06-20,wk inc covid hosp,0,2026-06-20,02,quantile,0.01,0
2026-06-20,wk inc covid hosp,0,2026-06-20,02,quantile,0.025,0
2026-06-20,wk inc covid hosp,0,2026-06-20,02,quantile,0.05,0
2026-06-20,wk inc covid hosp,0,2026-06-20,02,quantile,0.1,0
2026-06-20,wk inc covid hosp,0,2026-06-20,02,quantile,0.15,0
2026-06-20,wk inc covid hosp,0,2026-06-20,02,quantile,0.2,0
2026-06-20,wk inc covid hosp,0,2026-06-20,02,quantile,0.25,0
2026-06-20,wk inc covid hosp,0,2026-06-20,02,quantile,0.3,0
2026-06-20,wk inc covid hosp,0,2026-06-20,02,quantile,0.35,0
2026-06-20,wk inc covid hosp,0,2026-06-20,02,quantile,0.4,0
2026-06-20,wk inc covid hosp,0,2026-06-20,02,quantile,0.45,0
2026-06-20,wk inc covid hosp,0,2026-06-20,02,quantile,0.5,1
2026-06-20,wk inc covid hosp,0,2026-06-20,02,quantile,0.55,1
2026-06-20,wk inc covid hosp,0,2026-06-20,02,quantile,0.6,1
2026-06-20,wk inc covid hosp,0,2026-06-20,02,quantile,0.65,1
2026-06-20,wk inc covid hosp,0,2026-06-20,02,quantile,0.7,1
2026-06-20,wk inc covid hosp,0,2026-06-20,02,quantile,0.75,1
2026-06-20,wk inc covid hosp,0,2026-06-20,02,quantile,0.8,2
2026-06-20,wk inc covid hosp,0,2026-06-20,02,quantile,0.85,2
2026-06-20,wk inc covid hosp,0,2026-06-20,02,quantile,0.9,2
2026-06-20,wk inc covid hosp,0,2026-06-20,02,quantile,0.95,3
2026-06-20,wk inc covid hosp,0,2026-06-20,02,quantile,0.975,4
2026-06-20,wk inc covid hosp,0,2026-06-20,02,quantile,0.99,4
2026-06-20,wk inc covid hosp,0,2026-06-20,04,quantile,0.01,10
2026-06-20,wk inc covid hosp,0,2026-06-20,04,quantile,0.025,12
2026-06-20,wk inc covid hosp,0,2026-06-20,04,quantile,0.05,14
2026-06-20,wk inc covid hosp,0,2026-06-20,04,quantile,0.1,16
2026-06-20,wk inc covid hosp,0,2026-06-20,04,quantile,0.15,18
2026-06-20,wk inc covid hosp,0,2026-06-20,04,quantile,0.2,19
2026-06-20,wk inc covid hosp,0,2026-06-20,04,quantile,0.25,20
2026-06-20,wk inc covid hosp,0,2026-06-20,04,quantile,0.3,21
2026-06-20,wk inc covid hosp,0,2026-06-20,04,quantile,0.35,22
2026-06-20,wk inc covid hosp,0,2026-06-20,04,quantile,0.4,22
2026-06-20,wk inc covid hosp,0,2026-06-20,04,quantile,0.45,23
2026-06-20,wk inc covid hosp,0,2026-06-20,04,quantile,0.5,24
2026-06-20,wk inc covid hosp,0,2026-06-20,04,quantile,0.55,25
2026-06-20,wk inc covid hosp,0,2026-06-20,04,quantile,0.6,26
2026-06-20,wk inc covid hosp,0,2026-06-20,04,quantile,0.65,27
2026-06-20,wk inc covid hosp,0,2026-06-20,04,quantile,0.7,28
2026-06-20,wk inc covid hosp,0,2026-06-20,04,quantile,0.75,29
2026-06-20,wk inc covid hosp,0,2026-06-20,04,quantile,0.8,30
2026-06-20,wk inc covid hosp,0,2026-06-20,04,quantile,0.85,32
2026-06-20,wk inc covid hosp,0,2026-06-20,04,quantile,0.9,34
2026-06-20,wk inc covid hosp,0,2026-06-20,04,quantile,0.95,37
2026-06-20,wk inc covid hosp,0,2026-06-20,04,quantile,0.975,40
2026-06-20,wk inc covid hosp,0,2026-06-20,04,quantile,0.99,44
