location,horizon,output_type_id,value,target_end_date,reference_date,output_type,target
01,0,0.01,73.47214032716396,2026-01-24,2026-01-24,quantile,wk inc covid hosp
02,0,0.01,0.0,2026-01-24,2026-01-24,quantile,wk inc covid hosp
04,0,0.01,28.235411621779274,2026-01-24,2026-01-24,quantile,wk inc covid hosp
05,0,0.01,14.396018873846408,2026-01-24,2026-01-24,quantile,wk inc covid hosp
06,0,0.01,169.4243461260789,2026-01-24,2026-01-24,quantile,wk inc covid hosp
08,0,0.01,63.724928231467324,2026-01-24,2026-01-24,quantile,wk inc covid hosp
09,0,0.01,34.50696405980291,2026-01-24,2026-01-24,quantile,wk inc covid hosp
10,0,0.01,16.884139245169226,2026-01-24,2026-01-24,quantile,wk inc covid hosp
11,0,0.01,2.109088874134515,2026-01-24,2026-01-24,quantile,wk inc covid hosp
12,0,0.01,52.84783645247745,2026-01-24,2026-01-24,quantile,wk inc covid hosp
13,0,0.01,40.573659958853256,2026-01-24,2026-01-24,quantile,wk inc covid hosp
15,0,0.01,0.0,2026-01-24,2026-01-24,quantile,wk inc covid hosp
16,0,0.01,0.11932532295186478,2026-01-24,2026-01-24,quantile,wk inc covid hosp
17,0,0.01,392.7092953216159,2026-01-24,2026-01-24,quantile,wk inc covid hosp
18,0,0.01,151.7573696795463,2026-01-24,2026-01-24,quantile,wk inc covid hosp
19,0,0.01,48.83950815431163,2026-01-24,2026-01-24,quantile,wk inc covid hosp
20,0,0.01,44.54702683222343,2026-01-24,2026-01-24,quantile,wk inc covid hosp
21,0,0.01,60.91024088868319,2026-01-24,2026-01-24,quantile,wk inc covid hosp
22,0,0.01,21.04202559793687,2026-01-24,2026-01-24,quantile,wk inc covid hosp
23,0,0.01,15.931939281916595,2026-01-24,2026-01-24,quantile,wk inc covid hosp
24,0,0.01,39.140207059127974,2026-01-24,2026-01-24,quantile,wk inc covid hosp
25,0,0.01,119.09153663187735,2026-01-24,2026-01-24,quantile,wk inc covid hosp
26,0,0.01,240.68484983182694,2026-01-24,2026-01-24,quantile,wk inc covid hosp
27,0,0.01,78.57410560255181,2026-01-24,2026-01-24,quantile,wk inc covid hosp
28,0,0.01,21.597849877805203,2026-01-24,2026-01-24,quantile,wk inc covid hosp
29,0,0.01,78.018926791255,2026-01-24,2026-01-24,quantile,wk inc covid hosp
30,0,0.01,5.727901130936726,2026-01-24,2026-01-24,quantile,wk inc covid hosp
31,0,0.01,20.1501905769005,2026-01-24,2026-01-24,quantile,wk inc covid hosp
32,0,0.01,1.5129290468106196,2026-01-24,2026-01-24,quantile,wk inc covid hosp
33,0,0.01,32.55372998850991,2026-01-24,2026-01-24,quantile,wk inc covid hosp
34,0,0.01,103.71730420206013,2026-01-24,2026-01-24,quantile,wk inc covid hosp
35,0,0.01,26.385028684627894,2026-01-24,2026-01-24,quantile,wk inc covid hosp
