location,horizon,output_type_id,value,target_end_date,reference_date,output_type,target
01,0,0.01,18.091135447883307,2026-05-09,2026-05-09,quantile,wk inc covid hosp
02,0,0.01,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
04,0,0.01,3.4372873770179204,2026-05-09,2026-05-09,quantile,wk inc covid hosp
05,0,0.01,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
06,0,0.01,75.96628835537828,2026-05-09,2026-05-09,quantile,wk inc covid hosp
08,0,0.01,0.6516956521166727,2026-05-09,2026-05-09,quantile,wk inc covid hosp
09,0,0.01,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
10,0,0.01,0.6419059267657351,2026-05-09,2026-05-09,quantile,wk inc covid hosp
11,0,0.01,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
12,0,0.01,13.478666483009215,2026-05-09,2026-05-09,quantile,wk inc covid hosp
13,0,0.01,7.482720016151321,2026-05-09,2026-05-09,quantile,wk inc covid hosp
15,0,0.01,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
16,0,0.01,0.30056982557654527,2026-05-09,2026-05-09,quantile,wk inc covid hosp
17,0,0.01,0.02747770181469359,2026-05-09,2026-05-09,quantile,wk inc covid hosp
18,0,0.01,2.2120624235741286,2026-05-09,2026-05-09,quantile,wk inc covid hosp
19,0,0.01,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
20,0,0.01,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
21,0,0.01,2.395492433401169,2026-05-09,2026-05-09,quantile,wk inc covid hosp
22,0,0.01,6.108114808700117,2026-05-09,2026-05-09,quantile,wk inc covid hosp
23,0,0.01,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
24,0,0.01,2.812504859858536,2026-05-09,2026-05-09,quantile,wk inc covid hosp
25,0,0.01,6.997442956169393,2026-05-09,2026-05-09,quantile,wk inc covid hosp
26,0,0.01,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
27,0,0.01,6.8327404919712125,2026-05-09,2026-05-09,quantile,wk inc covid hosp
28,0,0.01,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
29,0,0.01,0.6671741090920914,2026-05-09,2026-05-09,quantile,wk inc covid hosp
30,0,0.01,0.6401530046043459,2026-05-09,2026-05-09,quantile,wk inc covid hosp
31,0,0.01,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
32,0,0.01,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
33,0,0.01,0.46297363360645627,2026-05-09,2026-05-09,quantile,wk inc covid hosp
34,0,0.01,21.316391767118308,2026-05-09,2026-05-09,quantile,wk inc covid hosp
35,0,0.01,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
36,0,0.01,73.21201146428446,2026-05-09,2026-05-09,quantile,wk inc covid hosp
37,0,0.01,34.44157406733379,2026-05-09,2026-05-09,quantile,wk inc covid hosp
38,0,0.01,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
39,0,0.01,10.407379944299203,2026-05-09,2026-05-09,quantile,wk inc covid hosp
40,0,0.01,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
41,0,0.01,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
42,0,0.01,34.46080354150523,2026-05-09,2026-05-09,quantile,wk inc covid hosp
44,0,0.01,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
45,0,0.01,7.885206862211847,2026-05-09,2026-05-09,quantile,wk inc covid hosp
46,0,0.01,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
47,0,0.01,11.788969611782413,2026-05-09,2026-05-09,quantile,wk inc covid hosp
48,0,0.01,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
49,0,0.01,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
50,0,0.01,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
51,0,0.01,15.878403571064359,2026-05-09,2026-05-09,quantile,wk inc covid hosp
53,0,0.01,6.331129903327573,2026-05-09,2026-05-09,quantile,wk inc covid hosp
54,0,0.01,1.730449310657826,2026-05-09,2026-05-09,quantile,wk inc covid hosp
55,0,0.01,2.640390362003216,2026-05-09,2026-05-09,quantile,wk inc covid hosp
56,0,0.01,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
72,0,0.01,8.783076611378693,2026-05-09,2026-05-09,quantile,wk inc covid hosp
US,0,0.01,743.7441181402394,2026-05-09,2026-05-09,quantile,wk inc covid hosp
01,0,0.025,21.781895579090378,2026-05-09,2026-05-09,quantile,wk inc covid hosp
02,0,0.025,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
04,0,0.025,6.8303711422763005,2026-05-09,2026-05-09,quantile,wk inc covid hosp
05,0,0.025,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
06,0,0.025,88.39913260674541,2026-05-09,2026-05-09,quantile,wk inc covid hosp
08,0,0.025,3.6474094733769404,2026-05-09,2026-05-09,quantile,wk inc covid hosp
09,0,0.025,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
10,0,0.025,1.5376380580388962,2026-05-09,2026-05-09,quantile,wk inc covid hosp
11,0,0.025,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
12,0,0.025,23.637923084878242,2026-05-09,2026-05-09,quantile,wk inc covid hosp
13,0,0.025,11.001520623270656,2026-05-09,2026-05-09,quantile,wk inc covid hosp
15,0,0.025,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
16,0,0.025,1.2824880170577293,2026-05-09,2026-05-09,quantile,wk inc covid hosp
17,0,0.025,4.946122588152733,2026-05-09,2026-05-09,quantile,wk inc covid hosp
18,0,0.025,4.360237023786096,2026-05-09,2026-05-09,quantile,wk inc covid hosp
19,0,0.025,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
20,0,0.025,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
21,0,0.025,5.556571487421359,2026-05-09,2026-05-09,quantile,wk inc covid hosp
22,0,0.025,9.529806780191953,2026-05-09,2026-05-09,quantile,wk inc covid hosp
23,0,0.025,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
24,0,0.025,4.72272667582304,2026-05-09,2026-05-09,quantile,wk inc covid hosp
25,0,0.025,9.26911241712108,2026-05-09,2026-05-09,quantile,wk inc covid hosp
26,0,0.025,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
27,0,0.025,9.607844561899578,2026-05-09,2026-05-09,quantile,wk inc covid hosp
28,0,0.025,0.40895001470396974,2026-05-09,2026-05-09,quantile,wk inc covid hosp
29,0,0.025,3.7623642566587976,2026-05-09,2026-05-09,quantile,wk inc covid hosp
30,0,0.025,1.560610251629359,2026-05-09,2026-05-09,quantile,wk inc covid hosp
31,0,0.025,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
32,0,0.025,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
33,0,0.025,1.2017677537912927,2026-05-09,2026-05-09,quantile,wk inc covid hosp
34,0,0.025,26.278926129134213,2026-05-09,2026-05-09,quantile,wk inc covid hosp
35,0,0.025,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
36,0,0.025,82.44860104587619,2026-05-09,2026-05-09,quantile,wk inc covid hosp
37,0,0.025,39.9396280576613,2026-05-09,2026-05-09,quantile,wk inc covid hosp
38,0,0.025,0.21631161604601043,2026-05-09,2026-05-09,quantile,wk inc covid hosp
39,0,0.025,14.425296255280097,2026-05-09,2026-05-09,quantile,wk inc covid hosp
40,0,0.025,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
41,0,0.025,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
42,0,0.025,44.061541960402884,2026-05-09,2026-05-09,quantile,wk inc covid hosp
44,0,0.025,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
45,0,0.025,11.461931464669822,2026-05-09,2026-05-09,quantile,wk inc covid hosp
46,0,0.025,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
47,0,0.025,16.032320421919202,2026-05-09,2026-05-09,quantile,wk inc covid hosp
48,0,0.025,8.498411336191777,2026-05-09,2026-05-09,quantile,wk inc covid hosp
49,0,0.025,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
50,0,0.025,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
51,0,0.025,20.68829595307282,2026-05-09,2026-05-09,quantile,wk inc covid hosp
53,0,0.025,8.588347028754093,2026-05-09,2026-05-09,quantile,wk inc covid hosp
54,0,0.025,2.9387327018261487,2026-05-09,2026-05-09,quantile,wk inc covid hosp
55,0,0.025,5.614207703543687,2026-05-09,2026-05-09,quantile,wk inc covid hosp
56,0,0.025,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
72,0,0.025,12.582750214776908,2026-05-09,2026-05-09,quantile,wk inc covid hosp
