location,reference_date,horizon,target_end_date,target,output_type,output_type_id,value
01,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.01,87.74301278718866
02,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.01,34.73873811432715
04,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.01,162.91073260679457
05,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.01,726.4427481988689
06,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.01,439.5612214010541
08,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.01,168.30761684085198
09,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.01,85.04377672849013
10,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.01,31.558302721511392
11,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.01,727.7513591148785
12,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.01,737.3205901828819
13,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.01,187.49892992520273
15,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.01,53.97984944119757
16,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.01,164.97391627483773
17,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.01,227.57481542727945
18,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.01,178.18215460437813
19,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.01,77.054668229871
20,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.01,161.2281167215123
21,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.01,176.4227692631719
22,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.01,116.37680935184788
23,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.01,116.14103136274372
24,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.01,219.3890735721597
25,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.01,428.30913543173864
26,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.01,270.6297343126736
27,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.01,86.60844260868053
28,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.01,147.8855302804197
29,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.01,147.39995680411906
30,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.01,39.53954696869366
31,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.01,82.63127663310622
32,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.01,58.24138853403301
33,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.01,233.73849915925362
34,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.01,114.07299479293866
35,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.01,488.23287603157365
36,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.01,789.7780817540704
37,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.01,142.00944686594198
38,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.01,239.64414303039555
39,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.01,214.94544069196655
40,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.01,163.23350012037824
41,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.01,281.10990436006847
42,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.01,186.4787798835678
44,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.01,87.96705864897442
45,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.01,62.627146460124294
46,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.01,112.53954338343434
47,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.01,712.7652071261577
48,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.01,278.29896266464846
49,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.01,28.414065211994377
50,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.01,81.87695145650214
51,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.01,302.56938771302464
53,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.01,77.86828466547294
54,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.01,192.40354849657416
55,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.01,106.48843788169626
56,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.01,24.59208090410928
72,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.01,4476.069271241839
US,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.01,1124.9271830990342
01,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.01,88.30062678855977
02,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.01,20.227063683147033
04,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.01,164.8892092454231
05,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.01,671.7814410051654
06,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.01,439.3278800220433
08,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.01,169.30023928388337
09,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.01,85.1624015197622
10,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.01,27.533200600412904
11,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.01,650.9497901263305
12,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.01,652.8045658452156
13,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.01,186.0528123235117
15,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.01,48.66936841018131
16,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.01,153.08459668992396
17,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.01,229.91375843907483
18,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.01,177.45980973488844
19,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.01,78.89102711346128
20,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.01,153.16379786216498
21,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.01,177.23534403338195
22,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.01,107.12655169370055
23,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.01,97.55753214410875
24,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.01,205.1288571651686
25,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.01,453.60080612510814
26,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.01,269.0536556462586
27,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.01,88.52562721946911
28,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.01,132.52128981598509
29,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.01,148.72057554417617
30,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.01,35.087082388036215
31,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.01,79.41539136635201
32,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.01,55.980371569222854
33,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.01,204.39026221769097
34,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.01,109.97727016649334
35,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.01,468.967266065438
36,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.01,830.6951287446142
37,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.01,143.23129461621807
