location,reference_date,horizon,target_end_date,target,output_type,output_type_id,value
01,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,22.672286920058813
02,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,0.0
04,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,7.336595281071475
05,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,0.0
06,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,162.55606329770083
08,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,0.0
09,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,0.9434110938426007
10,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,0.0
11,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,0.0
12,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,131.86970746697418
13,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,19.21379642957488
15,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,3.1539519027827865
16,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,0.0
17,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,2.807297867893697
18,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,2.3810142731717914
19,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,0.0
20,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,0.46077015455321124
21,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,0.0
22,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,17.076046504527262
23,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,0.0
24,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,0.0
25,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,2.9193082242574797
26,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,0.0
27,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,4.160219088606629
28,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,7.921561208186136
29,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,0.0
30,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,1.2276619316067308
31,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,0.0
32,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,3.731775985787296
33,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,0.0
34,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,11.013940074432243
35,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,1.0040950516762175
36,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,27.70266849864164
37,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,35.10834167017973
38,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,0.0
39,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,8.079445193459168
40,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,2.9454128215196014
41,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,0.0
42,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,10.74466395280578
44,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,0.0
45,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,3.9696867421740505
46,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,0.0
47,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,12.683976799735685
48,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,131.81701219643438
49,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,0.0
50,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,0.0
51,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,0.6513725155474299
53,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,3.303100911412772
54,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,0.0
55,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,6.318787617649442
56,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,0.0
72,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,10.456073369482011
US,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,733.8078556296481
01,2026-08-08,1,2026-08-15,wk inc covid hosp,quantile,0.01,19.855132217123444
02,2026-08-08,1,2026-08-15,wk inc covid hosp,quantile,0.01,0.0
04,2026-08-08,1,2026-08-15,wk inc covid hosp,quantile,0.01,6.446701736203317
05,2026-08-08,1,2026-08-15,wk inc covid hosp,quantile,0.01,0.0
06,2026-08-08,1,2026-08-15,wk inc covid hosp,quantile,0.01,149.525553483329
08,2026-08-08,1,2026-08-15,wk inc covid hosp,quantile,0.01,0.0
09,2026-08-08,1,2026-08-15,wk inc covid hosp,quantile,0.01,0.8686049785860234
10,2026-08-08,1,2026-08-15,wk inc covid hosp,quantile,0.01,0.0
11,2026-08-08,1,2026-08-15,wk inc covid hosp,quantile,0.01,0.0
12,2026-08-08,1,2026-08-15,wk inc covid hosp,quantile,0.01,129.3529604406696
13,2026-08-08,1,2026-08-15,wk inc covid hosp,quantile,0.01,16.413031929813783
15,2026-08-08,1,2026-08-15,wk inc covid hosp,quantile,0.01,2.7841704660580806
16,2026-08-08,1,2026-08-15,wk inc covid hosp,quantile,0.01,0.0
17,2026-08-08,1,2026-08-15,wk inc covid hosp,quantile,0.01,1.4719397023027752
18,2026-08-08,1,2026-08-15,wk inc covid hosp,quantile,0.01,1.6305980701906688
19,2026-08-08,1,2026-08-15,wk inc covid hosp,quantile,0.01,0.0
20,2026-08-08,1,2026-08-15,wk inc covid hosp,quantile,0.01,0.21468403032402614
21,2026-08-08,1,2026-08-15,wk inc covid hosp,quantile,0.01,0.0
22,2026-08-08,1,2026-08-15,wk inc covid hosp,quantile,0.01,14.580081348586969
23,2026-08-08,1,2026-08-15,wk inc covid hosp,quantile,0.01,0.0
24,2026-08-08,1,2026-08-15,wk inc covid hosp,quantile,0.01,0.0
25,2026-08-08,1,2026-08-15,wk inc covid hosp,quantile,0.01,2.1122642696953378
26,2026-08-08,1,2026-08-15,wk inc covid hosp,quantile,0.01,0.0
27,2026-08-08,1,2026-08-15,wk inc covid hosp,quantile,0.01,3.5432690535026854
28,2026-08-08,1,2026-08-15,wk inc covid hosp,quantile,0.01,6.840976169782391
29,2026-08-08,1,2026-08-15,wk inc covid hosp,quantile,0.01,0.0
30,2026-08-08,1,2026-08-15,wk inc covid hosp,quantile,0.01,0.6479286623735575
31,2026-08-08,1,2026-08-15,wk inc covid hosp,quantile,0.01,0.0
32,2026-08-08,1,2026-08-15,wk inc covid hosp,quantile,0.01,2.5654359429404536
33,2026-08-08,1,2026-08-15,wk inc covid hosp,quantile,0.01,0.0
34,2026-08-08,1,2026-08-15,wk inc covid hosp,quantile,0.01,9.783060809077792
35,2026-08-08,1,2026-08-15,wk inc covid hosp,quantile,0.01,0.8301437865408746
36,2026-08-08,1,2026-08-15,wk inc covid hosp,quantile,0.01,24.934312785937585
37,2026-08-08,1,2026-08-15,wk inc covid hosp,quantile,0.01,31.21231939934452
38,2026-08-08,1,2026-08-15,wk inc covid hosp,quantile,0.01,0.0
39,2026-08-08,1,2026-08-15,wk inc covid hosp,quantile,0.01,6.692488921087994
40,2026-08-08,1,2026-08-15,wk inc covid hosp,quantile,0.01,2.577709167738471
41,2026-08-08,1,2026-08-15,wk inc covid hosp,quantile,0.01,0.0
42,2026-08-08,1,2026-08-15,wk inc covid hosp,quantile,0.01,8.701638964849025
44,2026-08-08,1,2026-08-15,wk inc covid hosp,quantile,0.01,0.0
45,2026-08-08,1,2026-08-15,wk inc covid hosp,quantile,0.01,3.1886464846888813
46,2026-08-08,1,2026-08-15,wk inc covid hosp,quantile,0.01,0.0
47,2026-08-08,1,2026-08-15,wk inc covid hosp,quantile,0.01,10.69699718898009
48,2026-08-08,1,2026-08-15,wk inc covid hosp,quantile,0.01,106.45711581896734
49,2026-08-08,1,2026-08-15,wk inc covid hosp,quantile,0.01,0.0
50,2026-08-08,1,2026-08-15,wk inc covid hosp,quantile,0.01,0.0
51,2026-08-08,1,2026-08-15,wk inc covid hosp,quantile,0.01,0.0
53,2026-08-08,1,2026-08-15,wk inc covid hosp,quantile,0.01,1.748486706592284
54,2026-08-08,1,2026-08-15,wk inc covid hosp,quantile,0.01,0.0
55,2026-08-08,1,2026-08-15,wk inc covid hosp,quantile,0.01,5.108027050762605
56,2026-08-08,1,2026-08-15,wk inc covid hosp,quantile,0.01,0.0
72,2026-08-08,1,2026-08-15,wk inc covid hosp,quantile,0.01,7.303579948290597
US,2026-08-08,1,2026-08-15,wk inc covid hosp,quantile,0.01,685.7000674836517
01,2026-08-08,2,2026-08-22,wk inc covid hosp,quantile,0.01,18.90809585071638
02,2026-08-08,2,2026-08-22,wk inc covid hosp,quantile,0.01,0.0
04,2026-08-08,2,2026-08-22,wk inc covid hosp,quantile,0.01,5.49719450930494
05,2026-08-08,2,2026-08-22,wk inc covid hosp,quantile,0.01,0.0
