date,state,value,location
2024-11-09,AK,13,02
2024-11-16,AK,7,02
2024-11-09,AL,111,01
2024-11-16,AL,80,01
2024-11-09,AR,59,05
2024-11-16,AR,41,05
2024-11-09,AZ,505,04
2024-11-16,AZ,660,04
2024-11-09,CA,601,06
2024-11-16,CA,647,06
2024-11-09,CO,143,08
2024-11-16,CO,161,08
2024-11-09,CT,79,09
2024-11-16,CT,68,09
2024-11-09,DC,8,11
2024-11-16,DC,16,11
2024-11-09,DE,19,10
2024-11-16,DE,18,10
2024-11-09,FL,399,12
2024-11-16,FL,252,12
2024-11-09,GA,83,13
2024-11-16,GA,74,13
2024-11-09,HI,22,15
2024-11-16,HI,20,15
2024-11-09,IA,46,19
2024-11-16,IA,40,19
2024-11-09,ID,33,16
2024-11-16,ID,22,16
2024-11-09,IL,222,17
2024-11-16,IL,193,17
2024-11-09,IN,181,18
2024-11-16,IN,140,18
2024-11-09,KS,56,20
2024-11-16,KS,41,20
2024-11-09,KY,124,21
2024-11-16,KY,94,21
2024-11-09,LA,76,22
2024-11-16,LA,66,22
2024-11-09,MA,204,25
2024-11-16,MA,292,25
2024-11-09,MD,99,24
2024-11-16,MD,65,24
2024-11-09,ME,35,23
2024-11-16,ME,25,23
2024-11-09,MI,546,26
2024-11-16,MI,600,26
2024-11-09,MN,202,27
2024-11-16,MN,179,27
2024-11-09,MO,150,29
2024-11-16,MO,143,29
2024-11-09,MS,37,28
2024-11-16,MS,34,28
2024-11-09,MT,15,30
2024-11-16,MT,20,30
2024-11-09,NC,192,37
2024-11-16,NC,174,37
2024-11-09,ND,14,38
2024-11-16,ND,11,38
2024-11-09,NE,32,31
2024-11-16,NE,35,31
2024-11-09,NH,55,33
2024-11-16,NH,58,33
2024-11-09,NJ,184,34
2024-11-16,NJ,193,34
2024-11-09,NM,89,35
2024-11-16,NM,73,35
2024-11-09,NV,50,32
2024-11-16,NV,67,32
2024-11-09,NY,416,36
2024-11-16,NY,355,36
2024-11-09,OH,393,39
2024-11-16,OH,331,39
2024-11-09,OK,59,40
2024-11-16,OK,71,40
2024-11-09,OR,64,41
2024-11-16,OR,68,41
2024-11-09,PA,868,42
2024-11-16,PA,1005,42
2024-11-09,PR,9,72
2024-11-16,PR,18,72
2024-11-09,RI,28,44
2024-11-16,RI,20,44
2024-11-09,SC,75,45
2024-11-16,SC,69,45
2024-11-09,SD,30,46
2024-11-16,SD,35,46
2024-11-09,TN,113,47
2024-11-16,TN,148,47
2024-11-09,TX,340,48
2024-11-16,TX,222,48
2024-11-09,US,7626,US
2024-11-16,US,7437,US
2024-11-09,UT,41,49
2024-11-16,UT,46,49
2024-11-09,VA,126,51
2024-11-16,VA,101,51
2024-11-09,VT,19,50
2024-11-16,VT,9,50
2024-11-09,WA,92,53
2024-11-16,WA,82,53
2024-11-09,WI,150,55
2024-11-16,WI,136,55
2024-11-09,WV,60,54
2024-11-16,WV,59,54
2024-11-09,WY,59,56
2024-11-16,WY,50,56
