location_name,quantile_0.025_per100k,quantile_0.5_per100k,quantile_0.975_per100k,quantile_0.025_count,quantile_0.5_count,quantile_0.975_count,quantile_0.025_per100k_rounded,quantile_0.5_per100k_rounded,quantile_0.975_per100k_rounded,quantile_0.025_count_rounded,quantile_0.5_count_rounded,quantile_0.975_count_rounded,target,target_end_date,reference_date,forecast_due_date,target_end_date_formatted,forecast_due_date_formatted,reference_date_formatted,model
Alabama,0.84271753972163,0.84271753972163,0.84271753972163,41.32,41.32,41.32,0.84,0.84,0.84,41,41,41,wk inc covid hosp,2024-12-07,2024-12-07,2024-12-04,"December 07, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,0.8996193290687584,0.8996193290687584,0.8996193290687584,44.11,44.11,44.11,0.9,0.9,0.9,44,44,44,wk inc covid hosp,2024-12-07,2024-12-07,2024-12-04,"December 07, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,1.162509674833807,1.162509674833807,1.162509674833807,57,57,57,1.16,1.16,1.16,57,57,57,wk inc covid hosp,2024-12-07,2024-12-07,2024-12-04,"December 07, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,1.2644842077139655,1.2644842077139655,1.2644842077139655,62,62,62,1.26,1.26,1.26,62,62,62,wk inc covid hosp,2024-12-07,2024-12-07,2024-12-04,"December 07, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,1.3256689274420606,1.3256689274420606,1.3256689274420606,65,65,65,1.33,1.33,1.33,65,65,65,wk inc covid hosp,2024-12-07,2024-12-07,2024-12-04,"December 07, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,1.3868536471701556,1.3868536471701556,1.3868536471701556,68,68,68,1.39,1.39,1.39,68,68,68,wk inc covid hosp,2024-12-07,2024-12-07,2024-12-04,"December 07, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,1.4480383668982508,1.4480383668982508,1.4480383668982508,71,71,71,1.45,1.45,1.45,71,71,71,wk inc covid hosp,2024-12-07,2024-12-07,2024-12-04,"December 07, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,1.4888281800503143,1.4888281800503143,1.4888281800503143,73,73,73,1.49,1.49,1.49,73,73,73,wk inc covid hosp,2024-12-07,2024-12-07,2024-12-04,"December 07, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,1.5270484257355086,1.5270484257355086,1.5270484257355086,74.8740093533996,74.8740093533996,74.8740093533996,1.53,1.53,1.53,75,75,75,wk inc covid hosp,2024-12-07,2024-12-07,2024-12-04,"December 07, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,1.577206108546451,1.577206108546451,1.577206108546451,77.3333333333333,77.3333333333333,77.3333333333333,1.58,1.58,1.58,77,77,77,wk inc covid hosp,2024-12-07,2024-12-07,2024-12-04,"December 07, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,1.6807123485403286,1.6807123485403286,1.6807123485403286,82.4084357667771,82.4084357667771,82.4084357667771,1.68,1.68,1.68,82,82,82,wk inc covid hosp,2024-12-07,2024-12-07,2024-12-04,"December 07, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,1.7313714843765675,1.7313714843765675,1.7313714843765675,84.8923469162292,84.8923469162292,84.8923469162292,1.73,1.73,1.73,85,85,85,wk inc covid hosp,2024-12-07,2024-12-07,2024-12-04,"December 07, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,1.7431946776279033,1.7431946776279033,1.7431946776279033,85.4720599542497,85.4720599542497,85.4720599542497,1.74,1.74,1.74,85,85,85,wk inc covid hosp,2024-12-07,2024-12-07,2024-12-04,"December 07, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,1.9068404661226508,1.9068404661226508,1.9068404661226508,93.4959157088559,93.4959157088559,93.4959157088559,1.91,1.91,1.91,93,93,93,wk inc covid hosp,2024-12-07,2024-12-07,2024-12-04,"December 07, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,1.9160474622270829,1.9160474622270829,1.9160474622270829,93.947351760799,93.947351760799,93.947351760799,1.92,1.92,1.92,94,94,94,wk inc covid hosp,2024-12-07,2024-12-07,2024-12-04,"December 07, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,1.9375789886835089,1.9375789886835089,1.9375789886835089,95.0030823362815,95.0030823362815,95.0030823362815,1.94,1.94,1.94,95,95,95,wk inc covid hosp,2024-12-07,2024-12-07,2024-12-04,"December 07, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,2.0237342519589268,2.0237342519589268,2.0237342519589268,99.2274342819123,99.2274342819123,99.2274342819123,2.02,2.02,2.02,99,99,99,wk inc covid hosp,2024-12-07,2024-12-07,2024-12-04,"December 07, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,2.201866250169349,2.201866250169349,2.201866250169349,107.961575698366,107.961575698366,107.961575698366,2.2,2.2,2.2,108,108,108,wk inc covid hosp,2024-12-07,2024-12-07,2024-12-04,"December 07, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,2.460985393507832,2.460985393507832,2.460985393507832,120.666666666667,120.666666666667,120.666666666667,2.46,2.46,2.46,121,121,121,wk inc covid hosp,2024-12-07,2024-12-07,2024-12-04,"December 07, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,2.596282638734639,2.596282638734639,2.596282638734639,127.300540900041,127.300540900041,127.300540900041,2.6,2.6,2.6,127,127,127,wk inc covid hosp,2024-12-07,2024-12-07,2024-12-04,"December 07, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,2.8048903677227557,2.8048903677227557,2.8048903677227557,137.528963776627,137.528963776627,137.528963776627,2.8,2.8,2.8,138,138,138,wk inc covid hosp,2024-12-07,2024-12-07,2024-12-04,"December 07, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,2.9738499170000727,2.9738499170000727,2.9738499170000727,145.81336305286,145.81336305286,145.81336305286,2.97,2.97,2.97,146,146,146,wk inc covid hosp,2024-12-07,2024-12-07,2024-12-04,"December 07, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,3.372093853281082,3.372093853281082,3.372093853281082,165.34,165.34,165.34,3.37,3.37,3.37,165,165,165,wk inc covid hosp,2024-12-07,2024-12-07,2024-12-04,"December 07, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,0.6526370104330145,0.6526370104330145,0.6526370104330145,32,32,32,0.65,0.65,0.65,32,32,32,wk inc covid hosp,2024-12-14,2024-12-07,2024-12-04,"December 14, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,0.7484930713403635,0.7484930713403635,0.7484930713403635,36.7,36.7,36.7,0.75,0.75,0.75,37,37,37,wk inc covid hosp,2024-12-14,2024-12-07,2024-12-04,"December 14, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,0.8361911696172999,0.8361911696172999,0.8361911696172999,41,41,41,0.84,0.84,0.84,41,41,41,wk inc covid hosp,2024-12-14,2024-12-07,2024-12-04,"December 14, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,1.0061487244175633,1.0061487244175633,1.0061487244175633,49.3333333333333,49.3333333333333,49.3333333333333,1.01,1.01,1.01,49,49,49,wk inc covid hosp,2024-12-14,2024-12-07,2024-12-04,"December 14, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,1.1965011857938606,1.1965011857938606,1.1965011857938606,58.6666666666667,58.6666666666667,58.6666666666667,1.2,1.2,1.2,59,59,59,wk inc covid hosp,2024-12-14,2024-12-07,2024-12-04,"December 14, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,1.3460638340180924,1.3460638340180924,1.3460638340180924,66,66,66,1.35,1.35,1.35,66,66,66,wk inc covid hosp,2024-12-14,2024-12-07,2024-12-04,"December 14, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,1.481753635044103,1.481753635044103,1.481753635044103,72.6531219704372,72.6531219704372,72.6531219704372,1.48,1.48,1.48,73,73,73,wk inc covid hosp,2024-12-14,2024-12-07,2024-12-04,"December 14, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
