location_name,abbreviation,horizon,forecast_date,target_end_date,model,quantile_0.025,quantile_0.25,quantile_0.5,quantile_0.75,quantile_0.975,quantile_0.025_rounded,quantile_0.25_rounded,quantile_0.5_rounded,quantile_0.75_rounded,quantile_0.975_rounded,forecast_team,forecast_due_date,model_full_name
Alabama,AL,0,2024-12-21,2024-12-21,CEPH-Rtrend_covid,85,105,118,133,162,85,105,118,133,162,CEPH Lab at Indiana University,2024-12-18,Rtrend COVID
Alabama,AL,1,2024-12-21,2024-12-28,CEPH-Rtrend_covid,71,104,130,159,228,71,104,130,159,228,CEPH Lab at Indiana University,2024-12-18,Rtrend COVID
Alabama,AL,2,2024-12-21,2025-01-04,CEPH-Rtrend_covid,59,103,142,192,321,59,103,142,192,321,CEPH Lab at Indiana University,2024-12-18,Rtrend COVID
Alaska,AK,0,2024-12-21,2024-12-21,CEPH-Rtrend_covid,8,11,12,14,19,8,11,12,14,19,CEPH Lab at Indiana University,2024-12-18,Rtrend COVID
Alaska,AK,1,2024-12-21,2024-12-28,CEPH-Rtrend_covid,6,10,13,17,28,6,10,13,17,28,CEPH Lab at Indiana University,2024-12-18,Rtrend COVID
Alaska,AK,2,2024-12-21,2025-01-04,CEPH-Rtrend_covid,5,9,14,21,39,5,9,14,21,39,CEPH Lab at Indiana University,2024-12-18,Rtrend COVID
Arizona,AZ,0,2024-12-21,2024-12-21,CEPH-Rtrend_covid,652,734,784,838,936,652,734,784,838,936,CEPH Lab at Indiana University,2024-12-18,Rtrend COVID
Arizona,AZ,1,2024-12-21,2024-12-28,CEPH-Rtrend_covid,544,673,759,854,1042,544,673,759,854,1042,CEPH Lab at Indiana University,2024-12-18,Rtrend COVID
Arizona,AZ,2,2024-12-21,2025-01-04,CEPH-Rtrend_covid,448,606,717,849,1121,448,606,717,849,1121,CEPH Lab at Indiana University,2024-12-18,Rtrend COVID
Arkansas,AR,0,2024-12-21,2024-12-21,CEPH-Rtrend_covid,29,40,48,57,77,29,40,48,57,77,CEPH Lab at Indiana University,2024-12-18,Rtrend COVID
Arkansas,AR,1,2024-12-21,2024-12-28,CEPH-Rtrend_covid,18,33,46,63,105,18,33,46,63,105,CEPH Lab at Indiana University,2024-12-18,Rtrend COVID
Arkansas,AR,2,2024-12-21,2025-01-04,CEPH-Rtrend_covid,11,27,44,67,139,11,27,44,67,139,CEPH Lab at Indiana University,2024-12-18,Rtrend COVID
California,CA,0,2024-12-21,2024-12-21,CEPH-Rtrend_covid,582,680,741,808,936,582,680,741,808,936,CEPH Lab at Indiana University,2024-12-18,Rtrend COVID
California,CA,1,2024-12-21,2024-12-28,CEPH-Rtrend_covid,479,636,745,865,1129,479,636,745,865,1129,CEPH Lab at Indiana University,2024-12-18,Rtrend COVID
California,CA,2,2024-12-21,2025-01-04,CEPH-Rtrend_covid,393,589,739,919,1345,393,589,739,919,1345,CEPH Lab at Indiana University,2024-12-18,Rtrend COVID
Colorado,CO,0,2024-12-21,2024-12-21,CEPH-Rtrend_covid,143,166,180,195,225,143,166,180,195,225,CEPH Lab at Indiana University,2024-12-18,Rtrend COVID
Colorado,CO,1,2024-12-21,2024-12-28,CEPH-Rtrend_covid,117,154,180,208,268,117,154,180,208,268,CEPH Lab at Indiana University,2024-12-18,Rtrend COVID
Colorado,CO,2,2024-12-21,2025-01-04,CEPH-Rtrend_covid,97,143,177,219,313,97,143,177,219,313,CEPH Lab at Indiana University,2024-12-18,Rtrend COVID
Connecticut,CT,0,2024-12-21,2024-12-21,CEPH-Rtrend_covid,80,96,107,118,141,80,96,107,118,141,CEPH Lab at Indiana University,2024-12-18,Rtrend COVID
Connecticut,CT,1,2024-12-21,2024-12-28,CEPH-Rtrend_covid,68,96,116,139,190,68,96,116,139,190,CEPH Lab at Indiana University,2024-12-18,Rtrend COVID
Connecticut,CT,2,2024-12-21,2025-01-04,CEPH-Rtrend_covid,58,95,125,162,253,58,95,125,162,253,CEPH Lab at Indiana University,2024-12-18,Rtrend COVID
