location_name,horizon,quantile_0.025_per100k,quantile_0.5_per100k,quantile_0.975_per100k,quantile_0.025_count,quantile_0.5_count,quantile_0.975_count,quantile_0.025_per100k_rounded,quantile_0.5_per100k_rounded,quantile_0.975_per100k_rounded,quantile_0.025_count_rounded,quantile_0.5_count_rounded,quantile_0.975_count_rounded,target,target_end_date,reference_date,forecast_due_date,target_end_date_formatted,forecast_due_date_formatted,reference_date_formatted,model
US,0,2.9072960982888216,4.502577718444931,6.485552763254644,9706,15031.8432859139,21652,2.91,4.5,6.49,9706,15032,21652,wk inc covid hosp,2025-01-18,2025-01-18,2025-01-15,"January 18, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
US,1,2.660071046700835,4.648258721469394,7.599594742878626,8880.63984761465,15518.1989124315,25371.2260742188,2.66,4.65,7.6,8881,15518,25371,wk inc covid hosp,2025-01-25,2025-01-18,2025-01-15,"January 25, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
US,2,2.56010827817769,4.603186686318362,8.29616643860685,8546.91442079737,15367.7260474786,27696.7287578696,2.56,4.6,8.3,8547,15368,27697,wk inc covid hosp,2025-02-01,2025-01-18,2025-01-15,"February 01, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
Alabama,0,2.6095866734251314,4.196408164379019,6.1988162715332304,133.02005335237,213.906073171872,315.976043086789,2.61,4.2,6.2,133,214,316,wk inc covid hosp,2025-01-18,2025-01-18,2025-01-15,"January 18, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
Alabama,1,2.206490489083861,4.299552909984264,7.651017850217005,112.47278565927,219.163733207903,390,2.21,4.3,7.65,112,219,390,wk inc covid hosp,2025-01-25,2025-01-18,2025-01-15,"January 25, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
Alabama,2,2.0082869118030877,4.409928451750151,8.586557121787038,102.369633810355,224.789973027416,437.687813968695,2.01,4.41,8.59,102,225,438,wk inc covid hosp,2025-02-01,2025-01-18,2025-01-15,"February 01, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
Alaska,0,0.5639986312797667,1.7563308702549207,3.6863713937554285,4.01404029866754,12.5,26.2363107102107,0.56,1.76,3.69,4,12,26,wk inc covid hosp,2025-01-18,2025-01-18,2025-01-15,"January 18, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
Alaska,1,0.4503232351333617,1.9670905746855114,4.224573103447706,3.205,14,30.0667514802787,0.45,1.97,4.22,3,14,30,wk inc covid hosp,2025-01-25,2025-01-18,2025-01-15,"January 25, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
Alaska,2,0.46529788625329943,2.037131786599898,4.706801530210113,3.31157623923222,14.498491009728,33.4988242386737,0.47,2.04,4.71,3,14,33,wk inc covid hosp,2025-02-01,2025-01-18,2025-01-15,"February 01, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
Arizona,0,3.0563795270316776,5.697694750994005,9.53892112349991,226.601384068711,422.429709778281,707.22,3.06,5.7,9.54,227,422,707,wk inc covid hosp,2025-01-18,2025-01-18,2025-01-15,"January 18, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
Arizona,1,2.6244965273254577,5.324789528386174,9.553698682015934,194.581379804312,394.782345037734,708.315614986055,2.62,5.32,9.55,195,395,708,wk inc covid hosp,2025-01-25,2025-01-18,2025-01-15,"January 25, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
Arizona,2,2.2316049212635045,4.999089532280754,10.368400259105904,165.45221540074,370.63479750448,768.717964674231,2.23,5,10.37,165,371,769,wk inc covid hosp,2025-02-01,2025-01-18,2025-01-15,"February 01, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
Arkansas,0,1.1749439290647186,2.521720359452982,5.09142369261378,36,77.2649066007531,156,1.17,2.52,5.09,36,77,156,wk inc covid hosp,2025-01-18,2025-01-18,2025-01-15,"January 18, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
Arkansas,1,1.1096692663389007,2.682934329579429,6.56695744353089,34,82.2044639540746,201.21,1.11,2.68,6.57,34,82,201,wk inc covid hosp,2025-01-25,2025-01-18,2025-01-15,"January 25, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
Arkansas,2,1.185604504763797,2.6205728964589703,6.421721318965945,36.3266374808816,80.2937246100077,196.76,1.19,2.62,6.42,36,80,197,wk inc covid hosp,2025-02-01,2025-01-18,2025-01-15,"February 01, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
California,0,1.3871995202765062,2.3096395420128415,3.5443301981276076,538.624368308084,896.791068013108,1376.19901545325,1.39,2.31,3.54,539,897,1376,wk inc covid hosp,2025-01-18,2025-01-18,2025-01-15,"January 18, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
California,1,1.1869900864860095,2.41885488897207,3.8843085250838034,460.886682972646,939.197402794522,1508.20642240414,1.19,2.42,3.88,461,939,1508,wk inc covid hosp,2025-01-25,2025-01-18,2025-01-15,"January 25, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
California,2,1.1575314831147057,2.539781750422032,4.635460278942231,449.448442546392,986.15110585447,1799.865,1.16,2.54,4.64,449,986,1800,wk inc covid hosp,2025-02-01,2025-01-18,2025-01-15,"February 01, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
Colorado,0,2.4157428453714904,4.25786490844878,6.346841077593667,141.159512359876,248.800544032422,370.866043650014,2.42,4.26,6.35,141,249,371,wk inc covid hosp,2025-01-18,2025-01-18,2025-01-15,"January 18, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
Colorado,1,2.1913382483153656,4.108485901973057,6.9076994956075115,128.046840391314,240.071855152595,403.638778935748,2.19,4.11,6.91,128,240,404,wk inc covid hosp,2025-01-25,2025-01-18,2025-01-15,"January 25, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
Colorado,2,1.905476803695692,4.012586417113225,7.815465824131517,111.343050001407,234.468144250868,456.682443130667,1.91,4.01,7.82,111,234,457,wk inc covid hosp,2025-02-01,2025-01-18,2025-01-15,"February 01, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
Connecticut,0,4.611477228724527,7.669191163729444,11.428429670271491,166.581498687751,277.036033013278,412.831907802338,4.61,7.67,11.43,167,277,413,wk inc covid hosp,2025-01-18,2025-01-18,2025-01-15,"January 18, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
Connecticut,1,4.385080694362577,8.020910930212269,13.22908490549563,158.403322341826,289.741290550681,477.877409021596,4.39,8.02,13.23,158,290,478,wk inc covid hosp,2025-01-25,2025-01-18,2025-01-15,"January 25, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
Connecticut,2,3.6919930696600582,8.274421626834082,14.355341946136171,133.366751733667,298.898918287318,518.561462402344,3.69,8.27,14.36,133,299,519,wk inc covid hosp,2025-02-01,2025-01-18,2025-01-15,"February 01, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
Delaware,0,1.6435689444614379,3.8451415226293753,7.77875660465053,16.9031533237981,39.54505037816,80,1.64,3.85,7.78,17,40,80,wk inc covid hosp,2025-01-18,2025-01-18,2025-01-15,"January 18, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
Delaware,1,1.4585168633719743,3.8744935463529298,10.20961804360382,15,39.846918917983,105,1.46,3.87,10.21,15,40,105,wk inc covid hosp,2025-01-25,2025-01-18,2025-01-15,"January 25, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
Delaware,2,1.1668134906975793,3.59767492965087,12.28308543261195,12,37,126.324409484863,1.17,3.6,12.28,12,37,126,wk inc covid hosp,2025-02-01,2025-01-18,2025-01-15,"February 01, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
District of Columbia,0,1.2566451299950308,3.1224790904405286,6.439235312136069,8.49214389302912,21.1010579725881,43.515,1.26,3.12,6.44,8,21,44,wk inc covid hosp,2025-01-18,2025-01-18,2025-01-15,"January 18, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
District of Columbia,1,1.185854610364773,3.2508680337165106,7.577836209786099,8.01375642737696,21.9686834895691,51.2094257601304,1.19,3.25,7.58,8,22,51,wk inc covid hosp,2025-01-25,2025-01-18,2025-01-15,"January 25, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
District of Columbia,2,1.0577543935109837,3.1267642840425793,9.154861925111094,7.14808206292459,21.1300164110601,61.8666343688965,1.06,3.13,9.15,7,21,62,wk inc covid hosp,2025-02-01,2025-01-18,2025-01-15,"February 01, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
Florida,0,1.3379251738292386,2.7937599708249716,4.350756283859122,301.71272306587,630.015,981.13,1.34,2.79,4.35,302,630,981,wk inc covid hosp,2025-01-18,2025-01-18,2025-01-15,"January 18, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
Florida,1,1.3872172339620976,2.9359643179544377,5.523087614838539,312.828473018946,662.083206536124,1245.5,1.39,2.94,5.52,313,662,1246,wk inc covid hosp,2025-01-25,2025-01-18,2025-01-15,"January 25, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
Florida,2,1.199742669216119,3.263235378901038,7.092877270119826,270.551473870175,735.885422766385,1599.5,1.2,3.26,7.09,271,736,1600,wk inc covid hosp,2025-02-01,2025-01-18,2025-01-15,"February 01, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
Georgia,0,1.406550982869676,2.4124509396047182,3.4949159101222187,154.331935882568,264.702970788378,383.475,1.41,2.41,3.49,154,265,383,wk inc covid hosp,2025-01-18,2025-01-18,2025-01-15,"January 18, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
Georgia,1,1.2778153335367746,2.6042758744648715,4.413441406046617,140.206587977929,285.750706638745,484.258988401395,1.28,2.6,4.41,140,286,484,wk inc covid hosp,2025-01-25,2025-01-18,2025-01-15,"January 25, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
Georgia,2,1.088220778130881,2.7391318353623606,5.42727015966564,119.403577546776,300.547597589794,595.5,1.09,2.74,5.43,119,301,596,wk inc covid hosp,2025-02-01,2025-01-18,2025-01-15,"February 01, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
Hawaii,0,0.32960526157840464,1.069233541197905,2.2579216892337577,4.59761435296793,14.9145782811384,31.4954109548683,0.33,1.07,2.26,5,15,31,wk inc covid hosp,2025-01-18,2025-01-18,2025-01-15,"January 18, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
Hawaii,1,0.21379088516103117,1.2527137710228513,3.0555912906381533,2.98213698847845,17.4739164849321,42.621984574418,0.21,1.25,3.06,3,17,43,wk inc covid hosp,2025-01-25,2025-01-18,2025-01-15,"January 25, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
Hawaii,2,0.15269058985716313,1.5147361577217477,4.330984858227395,2.12985813432909,21.128827453637,60.4122581396852,0.15,1.51,4.33,2,21,60,wk inc covid hosp,2025-02-01,2025-01-18,2025-01-15,"February 01, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
Idaho,0,1.374320215013749,2.4421565041877167,4.198509238559132,26.9532642592647,47.8957443110848,82.3414570822684,1.37,2.44,4.2,27,48,82,wk inc covid hosp,2025-01-18,2025-01-18,2025-01-15,"January 18, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
Idaho,1,1.1243703297296819,2.510048516737728,4.987728406714432,22.0512296125816,49.2272472136565,97.8196786534719,1.12,2.51,4.99,22,49,98,wk inc covid hosp,2025-01-25,2025-01-18,2025-01-15,"January 25, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
Idaho,2,0.9816523013242304,2.4355524321187922,5.870496083954218,19.2522336492319,47.766224787384,115.132580133236,0.98,2.44,5.87,19,48,115,wk inc covid hosp,2025-02-01,2025-01-18,2025-01-15,"February 01, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
Illinois,0,4.275984375892995,6.541434059625844,10.142558786084377,535.902023696605,819.827071912368,1271.15005601237,4.28,6.54,10.14,536,820,1271,wk inc covid hosp,2025-01-18,2025-01-18,2025-01-15,"January 18, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
Illinois,1,4.062198456045936,6.669919987769725,11.031159486659442,509.1085892468,835.93,1382.51690673828,4.06,6.67,11.03,509,836,1383,wk inc covid hosp,2025-01-25,2025-01-18,2025-01-15,"January 25, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
Illinois,2,3.487141382324836,6.295351311130945,11.192823707205568,437.037640792077,788.985929540865,1402.77801513672,3.49,6.3,11.19,437,789,1403,wk inc covid hosp,2025-02-01,2025-01-18,2025-01-15,"February 01, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
Indiana,0,5.20733759773597,7.763966176912738,10.875666160546805,357.282202119542,532.695812554013,746.193593641125,5.21,7.76,10.88,357,533,746,wk inc covid hosp,2025-01-18,2025-01-18,2025-01-15,"January 18, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
Indiana,1,4.595067859653847,7.599690466029707,12.214481499494704,315.273579439068,521.424642471904,838.051454506281,4.6,7.6,12.21,315,521,838,wk inc covid hosp,2025-01-25,2025-01-18,2025-01-15,"January 25, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
Indiana,2,3.7454530476131627,7.458846466841394,13.139326434009034,256.980402685701,511.761152590395,901.506267761724,3.75,7.46,13.14,257,512,902,wk inc covid hosp,2025-02-01,2025-01-18,2025-01-15,"February 01, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
Iowa,0,2.5344466124529297,4.920794231585031,7.456197083344903,81.2724036551216,157.795699119545,239.098766615271,2.53,4.92,7.46,81,158,239,wk inc covid hosp,2025-01-18,2025-01-18,2025-01-15,"January 18, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
Iowa,1,2.476188233517731,4.942671817076713,8.654142067691266,79.4042252268011,158.497250278817,277.513412181704,2.48,4.94,8.65,79,158,278,wk inc covid hosp,2025-01-25,2025-01-18,2025-01-15,"January 25, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
Iowa,2,2.1122841362795786,5.054637345842719,9.558076933631709,67.7348688721736,162.08766232562,306.5,2.11,5.05,9.56,68,162,306,wk inc covid hosp,2025-02-01,2025-01-18,2025-01-15,"February 01, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
Kansas,0,3.1607994288698817,5.276017538311591,8.090807900504434,92.2988518103666,154.065568498166,236.260571491499,3.16,5.28,8.09,92,154,236,wk inc covid hosp,2025-01-18,2025-01-18,2025-01-15,"January 18, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
Kansas,1,2.9789556433534305,5.344229789181062,9.563653131999947,86.9888114266843,156.057441939153,279.269287109375,2.98,5.34,9.56,87,156,279,wk inc covid hosp,2025-01-25,2025-01-18,2025-01-15,"January 25, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
Kansas,2,2.613675696330982,5.193707679823027,9.919869085609829,76.3222315128876,151.662029266357,289.671188354492,2.61,5.19,9.92,76,152,290,wk inc covid hosp,2025-02-01,2025-01-18,2025-01-15,"February 01, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
Kentucky,0,2.9092939550194816,5.280886336540722,9.668670624316707,131.191992537044,238.136816548601,436,2.91,5.28,9.67,131,238,436,wk inc covid hosp,2025-01-18,2025-01-18,2025-01-15,"January 18, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
Kentucky,1,2.5213031840694016,5.328749659760035,10.107752455420997,113.695897912744,240.295170032185,455.8,2.52,5.33,10.11,114,240,456,wk inc covid hosp,2025-01-25,2025-01-18,2025-01-15,"January 25, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
Kentucky,2,2.096546990243739,5.179432705965127,9.854151464467835,94.5418996327502,233.561856386062,444.364091553859,2.1,5.18,9.85,95,234,444,wk inc covid hosp,2025-02-01,2025-01-18,2025-01-15,"February 01, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
Louisiana,0,2.3376159085233033,3.795644899862976,5.553564408681362,106.573171582168,173.045500632999,253.190000316564,2.34,3.8,5.55,107,173,253,wk inc covid hosp,2025-01-18,2025-01-18,2025-01-15,"January 18, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
Louisiana,1,1.7596852329452557,3.7688978905031614,6.987843448788718,80.225,171.8260900329,318.57955626574,1.76,3.77,6.99,80,172,319,wk inc covid hosp,2025-01-25,2025-01-18,2025-01-15,"January 25, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
Louisiana,2,1.61906473721147,3.7088647965338866,7.750467596749436,73.814035664429,169.08914886097,353.348002988309,1.62,3.71,7.75,74,169,353,wk inc covid hosp,2025-02-01,2025-01-18,2025-01-15,"February 01, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
Maine,0,4.238864151950999,6.166391033233849,9.520336539408056,59.1349101814152,86.0251630677838,132.814882943493,4.24,6.17,9.52,59,86,133,wk inc covid hosp,2025-01-18,2025-01-18,2025-01-15,"January 18, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
Maine,1,3.765820476351998,6.168056714659425,10.592889212007684,52.53564342842,86.0484004063635,147.777689885495,3.77,6.17,10.59,53,86,148,wk inc covid hosp,2025-01-25,2025-01-18,2025-01-15,"January 25, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
Maine,2,3.76863517118702,6.505490836882217,10.997307697700036,52.5749102509202,90.7558257435509,153.419590632919,3.77,6.51,11,53,91,153,wk inc covid hosp,2025-02-01,2025-01-18,2025-01-15,"February 01, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
Maryland,0,2.048425456241684,3.6597899805075116,5.684096758361367,125.961245564595,225.046853935973,349.525,2.05,3.66,5.68,126,225,350,wk inc covid hosp,2025-01-18,2025-01-18,2025-01-15,"January 18, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
Maryland,1,2.0790791628544096,3.7966720658336226,6.216782197353092,127.846195321661,233.463971537504,382.280754516265,2.08,3.8,6.22,128,233,382,wk inc covid hosp,2025-01-25,2025-01-18,2025-01-15,"January 25, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
Maryland,2,1.8789162943941902,3.728330598791236,6.622555693197314,115.537832256651,229.261535814915,407.232472821609,1.88,3.73,6.62,116,229,407,wk inc covid hosp,2025-02-01,2025-01-18,2025-01-15,"February 01, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
Massachusetts,0,5.09195722029073,7.7472492821131596,11.037121522636447,356.336846621828,542.155061354542,772.381406404201,5.09,7.75,11.04,356,542,772,wk inc covid hosp,2025-01-18,2025-01-18,2025-01-15,"January 18, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
Massachusetts,1,4.46521084394635,7.73544308164447,12.073404644462908,312.476928378944,541.328859549697,844.900841243047,4.47,7.74,12.07,312,541,845,wk inc covid hosp,2025-01-25,2025-01-18,2025-01-15,"January 25, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
Massachusetts,2,3.7764329309591997,7.730952973292867,13.043852659776825,264.276022731392,541.014640285516,912.81311360256,3.78,7.73,13.04,264,541,913,wk inc covid hosp,2025-02-01,2025-01-18,2025-01-15,"February 01, 2025","January 15, 2025","January 18, 2025",CovidHub-ensemble
