location_name,abbreviation,horizon,forecast_date,target_end_date,model_id,quantile_0.025,quantile_0.25,quantile_0.5,quantile_0.75,quantile_0.975,quantile_0.025_rounded,quantile_0.25_rounded,quantile_0.5_rounded,quantile_0.75_rounded,quantile_0.975_rounded
Alabama,AL,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,74,97,113,131,170,74,97,113,131,170
Alabama,AL,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,70,105,130,161,231,70,105,130,161,231
Alabama,AL,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,67,111,146,192,302,67,111,146,192,302
Alabama,AL,3,2024-11-23,2024-12-14,CEPH-Rtrend_covid,62,115,161,221,376,62,115,161,221,376
Connecticut,CT,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,41,71,94,123,197,41,71,94,123,197
Connecticut,CT,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,28,63,94,139,272,28,63,94,139,272
Connecticut,CT,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,20,55,93,155,367,20,55,93,155,367
Connecticut,CT,3,2024-11-23,2024-12-14,CEPH-Rtrend_covid,13,48,92,171,478,13,48,92,171,478
Hawaii,HI,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,11,16,20,26,38,11,16,20,26,38
Hawaii,HI,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,9,17,24,33,59,9,17,24,33,59
Hawaii,HI,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,8,18,28,42,85,8,18,28,42,85
Hawaii,HI,3,2024-11-23,2024-12-14,CEPH-Rtrend_covid,7,19,31,51,114,7,19,31,51,114
Idaho,ID,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,9,16,22,29,46,9,16,22,29,46
Idaho,ID,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,6,14,22,33,66,6,14,22,33,66
Idaho,ID,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,4,13,22,38,88,4,13,22,38,88
Idaho,ID,3,2024-11-23,2024-12-14,CEPH-Rtrend_covid,3,11,22,41,111,3,11,22,41,111
New Mexico,NM,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,47,65,77,91,121,47,65,77,91,121
New Mexico,NM,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,43,67,86,109,163,43,67,86,109,163
New Mexico,NM,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,39,68,93,124,202,39,68,93,124,202
New Mexico,NM,3,2024-11-23,2024-12-14,CEPH-Rtrend_covid,34,67,96,134,228,34,67,96,134,228
North Dakota,ND,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,3,7,10,15,28,3,7,10,15,28
North Dakota,ND,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,2,6,10,17,42,2,6,10,17,42
North Dakota,ND,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,1,4,9,19,58,1,4,9,19,58
North Dakota,ND,3,2024-11-23,2024-12-14,CEPH-Rtrend_covid,1,4,9,20,73,1,4,9,20,73
Oregon,OR,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,29,47,61,78,121,29,47,61,78,121
Oregon,OR,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,21,43,63,92,171,21,43,63,92,171
Oregon,OR,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,16,40,65,105,233,16,40,65,105,233
Oregon,OR,3,2024-11-23,2024-12-14,CEPH-Rtrend_covid,12,37,67,119,307,12,37,67,119,307
Rhode Island,RI,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,14,22,29,37,58,14,22,29,37,58
Rhode Island,RI,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,11,23,33,47,89,11,23,33,47,89
Rhode Island,RI,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,9,23,37,59,129,9,23,37,59,129
Rhode Island,RI,3,2024-11-23,2024-12-14,CEPH-Rtrend_covid,7,23,41,71,177,7,23,41,71,177
South Carolina,SC,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,39,61,78,99,149,39,61,78,99,149
